"Time","Average Response Rate","edge-server-cv-74d975f7cd-h8kdk Response","edge-server-cv-74d975f7cd-mqhqf Response"
2022-04-18 17:31:26,269 ms,265 ms,272 ms
2022-04-18 17:31:28,270 ms,265 ms,276 ms
2022-04-18 17:31:30,266 ms,219 ms,314 ms
2022-04-18 17:31:32,286 ms,240 ms,332 ms
2022-04-18 17:31:34,280 ms,223 ms,337 ms
2022-04-18 17:31:36,304 ms,223 ms,386 ms
2022-04-18 17:31:38,305 ms,209 ms,401 ms
2022-04-18 17:31:40,320 ms,258 ms,383 ms
2022-04-18 17:31:42,329 ms,275 ms,383 ms
2022-04-18 17:31:44,270 ms,307 ms,233 ms
2022-04-18 17:31:46,282 ms,296 ms,269 ms
2022-04-18 17:31:48,267 ms,285 ms,250 ms
2022-04-18 17:31:50,255 ms,261 ms,250 ms
2022-04-18 17:31:52,266 ms,260 ms,271 ms
2022-04-18 17:31:54,258 ms,247 ms,269 ms
2022-04-18 17:31:56,263 ms,257 ms,268 ms
2022-04-18 17:31:58,288 ms,292 ms,285 ms
2022-04-18 17:32:00,323 ms,402 ms,245 ms
2022-04-18 17:32:02,354 ms,474 ms,235 ms
2022-04-18 17:32:04,283 ms,332 ms,235 ms
2022-04-18 17:32:06,270 ms,311 ms,228 ms
2022-04-18 17:32:08,270 ms,300 ms,239 ms
2022-04-18 17:32:10,256 ms,286 ms,225 ms
2022-04-18 17:32:12,369 ms,348 ms,391 ms
2022-04-18 17:32:14,388 ms,384 ms,391 ms
2022-04-18 17:32:16,433 ms,392 ms,474 ms
2022-04-18 17:32:18,443 ms,396 ms,490 ms
2022-04-18 17:32:20,378 ms,266 ms,490 ms
2022-04-18 17:32:22,267 ms,262 ms,272 ms
2022-04-18 17:32:24,266 ms,260 ms,272 ms
2022-04-18 17:32:26,268 ms,261 ms,276 ms
2022-04-18 17:32:28,390 ms,501 ms,278 ms
2022-04-18 17:32:30,407 ms,554 ms,260 ms
2022-04-18 17:32:32,431 ms,586 ms,276 ms
2022-04-18 17:32:34,481 ms,589 ms,373 ms
2022-04-18 17:32:36,521 ms,589 ms,454 ms
2022-04-18 17:32:38,376 ms,337 ms,415 ms
2022-04-18 17:32:40,386 ms,340 ms,432 ms
2022-04-18 17:32:42,351 ms,303 ms,398 ms
2022-04-18 17:32:44,315 ms,311 ms,319 ms
2022-04-18 17:32:46,349 ms,333 ms,365 ms
2022-04-18 17:32:48,324 ms,367 ms,281 ms
2022-04-18 17:32:50,347 ms,401 ms,294 ms
2022-04-18 17:32:52,374 ms,440 ms,308 ms
2022-04-18 17:32:54,364 ms,420 ms,308 ms
2022-04-18 17:32:56,338 ms,378 ms,298 ms
2022-04-18 17:32:58,333 ms,378 ms,289 ms
2022-04-18 17:33:00,274 ms,285 ms,262 ms
2022-04-18 17:33:02,240 ms,225 ms,254 ms
2022-04-18 17:33:04,308 ms,362 ms,254 ms
2022-04-18 17:33:06,320 ms,391 ms,248 ms
2022-04-18 17:33:08,338 ms,414 ms,262 ms
2022-04-18 17:33:10,355 ms,414 ms,296 ms
2022-04-18 17:33:12,353 ms,428 ms,278 ms
2022-04-18 17:33:14,272 ms,266 ms,278 ms
2022-04-18 17:33:16,,,274 ms
2022-04-18 17:33:18,283 ms,300 ms,266 ms
2022-04-18 17:33:20,281 ms,300 ms,262 ms
2022-04-18 17:33:22,285 ms,300 ms,270 ms
2022-04-18 17:33:24,285 ms,300 ms,270 ms
2022-04-18 17:33:26,,,382 ms
2022-04-18 17:33:28,,,351 ms
2022-04-18 17:33:30,,,316 ms
2022-04-18 17:33:32,276 ms,250 ms,302 ms
2022-04-18 17:33:34,280 ms,262 ms,298 ms
2022-04-18 17:33:36,265 ms,262 ms,268 ms
2022-04-18 17:33:38,259 ms,262 ms,256 ms
2022-04-18 17:33:40,257 ms,274 ms,241 ms
2022-04-18 17:33:42,258 ms,275 ms,241 ms
2022-04-18 17:33:44,261 ms,282 ms,239 ms
2022-04-18 17:33:46,291 ms,340 ms,242 ms
2022-04-18 17:33:48,313 ms,383 ms,244 ms
2022-04-18 17:33:50,321 ms,382 ms,260 ms
2022-04-18 17:33:52,333 ms,422 ms,244 ms
2022-04-18 17:33:54,330 ms,422 ms,239 ms
2022-04-18 17:33:56,256 ms,273 ms,239 ms
2022-04-18 17:33:58,249 ms,283 ms,214 ms
2022-04-18 17:34:00,331 ms,305 ms,357 ms
2022-04-18 17:34:02,366 ms,294 ms,439 ms
2022-04-18 17:34:04,350 ms,294 ms,406 ms
2022-04-18 17:34:06,429 ms,472 ms,385 ms
2022-04-18 17:34:08,442 ms,465 ms,418 ms
2022-04-18 17:34:10,397 ms,454 ms,341 ms
2022-04-18 17:34:12,357 ms,447 ms,267 ms
2022-04-18 17:34:14,253 ms,255 ms,251 ms
2022-04-18 17:34:16,249 ms,248 ms,251 ms
2022-04-18 17:34:18,264 ms,277 ms,252 ms
2022-04-18 17:34:20,251 ms,283 ms,219 ms
2022-04-18 17:34:22,402 ms,292 ms,512 ms
2022-04-18 17:34:24,400 ms,287 ms,512 ms
2022-04-18 17:34:26,371 ms,229 ms,512 ms
2022-04-18 17:34:28,494 ms,229 ms,758 ms
2022-04-18 17:34:30,,404 ms,
2022-04-18 17:34:32,,465 ms,
2022-04-18 17:34:34,,578 ms,
2022-04-18 17:34:36,376 ms,474 ms,277 ms
2022-04-18 17:34:38,273 ms,269 ms,277 ms
2022-04-18 17:34:40,248 ms,220 ms,276 ms
2022-04-18 17:34:42,241 ms,220 ms,262 ms
2022-04-18 17:34:44,216 ms,172 ms,259 ms
2022-04-18 17:34:46,248 ms,235 ms,261 ms
2022-04-18 17:34:48,239 ms,235 ms,243 ms
2022-04-18 17:34:50,367 ms,282 ms,451 ms
2022-04-18 17:34:52,344 ms,265 ms,424 ms
2022-04-18 17:34:54,330 ms,257 ms,403 ms
2022-04-18 17:34:56,333 ms,254 ms,413 ms
2022-04-18 17:34:58,278 ms,249 ms,308 ms
2022-04-18 17:35:00,306 ms,349 ms,263 ms
2022-04-18 17:35:02,331 ms,349 ms,314 ms
2022-04-18 17:35:04,341 ms,329 ms,352 ms
2022-04-18 17:35:06,340 ms,329 ms,351 ms
2022-04-18 17:35:08,328 ms,254 ms,402 ms
2022-04-18 17:35:10,300 ms,247 ms,354 ms
2022-04-18 17:35:12,287 ms,209 ms,365 ms
2022-04-18 17:35:14,266 ms,253 ms,279 ms
2022-04-18 17:35:16,295 ms,256 ms,334 ms
2022-04-18 17:35:18,299 ms,264 ms,334 ms
2022-04-18 17:35:20,311 ms,272 ms,349 ms
2022-04-18 17:35:22,364 ms,276 ms,453 ms
2022-04-18 17:35:24,314 ms,269 ms,359 ms
2022-04-18 17:35:26,360 ms,318 ms,401 ms
2022-04-18 17:35:28,339 ms,333 ms,346 ms
2022-04-18 17:35:30,349 ms,369 ms,330 ms
2022-04-18 17:35:32,336 ms,416 ms,256 ms
2022-04-18 17:35:34,335 ms,413 ms,257 ms
2022-04-18 17:35:36,317 ms,377 ms,257 ms
2022-04-18 17:35:38,260 ms,260 ms,259 ms
2022-04-18 17:35:40,345 ms,431 ms,259 ms
2022-04-18 17:35:42,556 ms,849 ms,263 ms
2022-04-18 17:35:44,512 ms,761 ms,263 ms
2022-04-18 17:35:46,478 ms,688 ms,269 ms
2022-04-18 17:35:48,487 ms,687 ms,288 ms
2022-04-18 17:35:50,319 ms,350 ms,288 ms
2022-04-18 17:35:52,269 ms,234 ms,305 ms
2022-04-18 17:35:54,281 ms,248 ms,313 ms
2022-04-18 17:35:56,,250 ms,
2022-04-18 17:35:58,249 ms,293 ms,205 ms
2022-04-18 17:36:00,450 ms,316 ms,584 ms
2022-04-18 17:36:02,438 ms,320 ms,557 ms
2022-04-18 17:36:04,442 ms,328 ms,557 ms
2022-04-18 17:36:06,432 ms,307 ms,557 ms
2022-04-18 17:36:08,418 ms,262 ms,575 ms
2022-04-18 17:36:10,287 ms,265 ms,308 ms
2022-04-18 17:36:12,282 ms,255 ms,308 ms
2022-04-18 17:36:14,278 ms,252 ms,303 ms
2022-04-18 17:36:16,283 ms,262 ms,303 ms
2022-04-18 17:36:18,280 ms,246 ms,314 ms
2022-04-18 17:36:20,260 ms,252 ms,268 ms
2022-04-18 17:36:22,269 ms,271 ms,268 ms
2022-04-18 17:36:24,284 ms,311 ms,258 ms
2022-04-18 17:36:26,298 ms,338 ms,258 ms
2022-04-18 17:36:28,,312 ms,
2022-04-18 17:36:30,303 ms,304 ms,303 ms
2022-04-18 17:36:32,329 ms,355 ms,303 ms
2022-04-18 17:36:34,330 ms,357 ms,303 ms
2022-04-18 17:36:36,352 ms,402 ms,303 ms
2022-04-18 17:36:38,370 ms,462 ms,279 ms
2022-04-18 17:36:40,338 ms,423 ms,253 ms
2022-04-18 17:36:42,372 ms,491 ms,253 ms
2022-04-18 17:36:44,406 ms,491 ms,322 ms
2022-04-18 17:36:46,344 ms,352 ms,335 ms
2022-04-18 17:36:48,358 ms,352 ms,365 ms
2022-04-18 17:36:50,327 ms,303 ms,351 ms
2022-04-18 17:36:52,317 ms,322 ms,311 ms
2022-04-18 17:36:54,329 ms,382 ms,276 ms
2022-04-18 17:36:56,335 ms,394 ms,276 ms
2022-04-18 17:36:58,346 ms,420 ms,272 ms
2022-04-18 17:37:00,323 ms,404 ms,242 ms
2022-04-18 17:37:02,318 ms,404 ms,231 ms
2022-04-18 17:37:04,313 ms,401 ms,225 ms
2022-04-18 17:37:06,319 ms,413 ms,225 ms
2022-04-18 17:37:08,257 ms,287 ms,228 ms
2022-04-18 17:37:10,262 ms,291 ms,233 ms
2022-04-18 17:37:12,280 ms,278 ms,281 ms
2022-04-18 17:37:14,270 ms,273 ms,268 ms
2022-04-18 17:37:16,274 ms,280 ms,268 ms
2022-04-18 17:37:18,393 ms,482 ms,303 ms
2022-04-18 17:37:20,364 ms,418 ms,310 ms
2022-04-18 17:37:22,415 ms,534 ms,295 ms
2022-04-18 17:37:24,403 ms,509 ms,297 ms
2022-04-18 17:37:26,424 ms,440 ms,408 ms
2022-04-18 17:37:28,396 ms,384 ms,408 ms
2022-04-18 17:37:30,416 ms,401 ms,431 ms
2022-04-18 17:37:32,344 ms,257 ms,431 ms
2022-04-18 17:37:34,343 ms,251 ms,435 ms
2022-04-18 17:37:36,271 ms,250 ms,293 ms
2022-04-18 17:37:38,260 ms,256 ms,265 ms
2022-04-18 17:37:40,356 ms,296 ms,416 ms
2022-04-18 17:37:42,356 ms,291 ms,421 ms
2022-04-18 17:37:44,352 ms,321 ms,383 ms
2022-04-18 17:37:46,359 ms,314 ms,404 ms
2022-04-18 17:37:48,297 ms,305 ms,289 ms
2022-04-18 17:37:50,259 ms,283 ms,235 ms
2022-04-18 17:37:52,311 ms,371 ms,252 ms
2022-04-18 17:37:54,345 ms,412 ms,279 ms
2022-04-18 17:37:56,367 ms,489 ms,245 ms
2022-04-18 17:37:58,368 ms,491 ms,245 ms
2022-04-18 17:38:00,401 ms,570 ms,232 ms
2022-04-18 17:38:02,388 ms,543 ms,232 ms
2022-04-18 17:38:04,372 ms,506 ms,239 ms
2022-04-18 17:38:06,335 ms,431 ms,239 ms
2022-04-18 17:38:08,,314 ms,
2022-04-18 17:38:10,281 ms,267 ms,295 ms
2022-04-18 17:38:12,277 ms,283 ms,271 ms
2022-04-18 17:38:14,286 ms,303 ms,270 ms
2022-04-18 17:38:16,329 ms,303 ms,356 ms
2022-04-18 17:38:18,335 ms,321 ms,348 ms
2022-04-18 17:38:20,340 ms,347 ms,333 ms
2022-04-18 17:38:22,346 ms,337 ms,354 ms
2022-04-18 17:38:24,304 ms,304 ms,304 ms
2022-04-18 17:38:26,300 ms,294 ms,307 ms
2022-04-18 17:38:28,326 ms,333 ms,319 ms
2022-04-18 17:38:30,295 ms,333 ms,258 ms
2022-04-18 17:38:32,300 ms,333 ms,268 ms
2022-04-18 17:38:34,327 ms,386 ms,268 ms
2022-04-18 17:38:36,,,274 ms
2022-04-18 17:38:38,261 ms,254 ms,268 ms
2022-04-18 17:38:40,248 ms,238 ms,258 ms
2022-04-18 17:38:42,330 ms,402 ms,258 ms
2022-04-18 17:38:44,299 ms,339 ms,258 ms
2022-04-18 17:38:46,,346 ms,
2022-04-18 17:38:48,,369 ms,
2022-04-18 17:38:50,,298 ms,
2022-04-18 17:38:52,273 ms,323 ms,223 ms
2022-04-18 17:38:54,324 ms,399 ms,250 ms
2022-04-18 17:38:56,313 ms,376 ms,250 ms
2022-04-18 17:38:58,299 ms,348 ms,250 ms
2022-04-18 17:39:00,333 ms,335 ms,331 ms
2022-04-18 17:39:02,291 ms,264 ms,319 ms
2022-04-18 17:39:04,293 ms,257 ms,329 ms
2022-04-18 17:39:06,288 ms,246 ms,329 ms
2022-04-18 17:39:08,278 ms,241 ms,315 ms
2022-04-18 17:39:10,319 ms,241 ms,397 ms
2022-04-18 17:39:12,314 ms,233 ms,395 ms
2022-04-18 17:39:14,303 ms,211 ms,395 ms
2022-04-18 17:39:16,457 ms,475 ms,438 ms
2022-04-18 17:39:18,471 ms,537 ms,405 ms
2022-04-18 17:39:20,374 ms,486 ms,261 ms
2022-04-18 17:39:22,371 ms,486 ms,255 ms
2022-04-18 17:39:24,305 ms,354 ms,255 ms
2022-04-18 17:39:26,301 ms,332 ms,271 ms
2022-04-18 17:39:28,393 ms,249 ms,537 ms
2022-04-18 17:39:30,520 ms,266 ms,773 ms
2022-04-18 17:39:32,486 ms,268 ms,704 ms
2022-04-18 17:39:34,405 ms,262 ms,548 ms
2022-04-18 17:39:36,394 ms,265 ms,523 ms
2022-04-18 17:39:38,305 ms,270 ms,340 ms
2022-04-18 17:39:40,298 ms,277 ms,319 ms
2022-04-18 17:39:42,292 ms,275 ms,309 ms
2022-04-18 17:39:44,248 ms,275 ms,220 ms
2022-04-18 17:39:46,258 ms,274 ms,242 ms
2022-04-18 17:39:48,277 ms,265 ms,288 ms
2022-04-18 17:39:50,270 ms,251 ms,288 ms
2022-04-18 17:39:52,264 ms,246 ms,282 ms
2022-04-18 17:39:54,264 ms,246 ms,282 ms
2022-04-18 17:39:56,254 ms,261 ms,247 ms
2022-04-18 17:39:58,261 ms,281 ms,240 ms
2022-04-18 17:40:00,291 ms,270 ms,312 ms
2022-04-18 17:40:02,287 ms,269 ms,306 ms
2022-04-18 17:40:04,281 ms,268 ms,294 ms
2022-04-18 17:40:06,284 ms,254 ms,313 ms
2022-04-18 17:40:08,284 ms,260 ms,307 ms
2022-04-18 17:40:10,247 ms,256 ms,239 ms
2022-04-18 17:40:12,472 ms,674 ms,271 ms
2022-04-18 17:40:14,476 ms,674 ms,277 ms
2022-04-18 17:40:16,478 ms,676 ms,280 ms
2022-04-18 17:40:18,484 ms,676 ms,291 ms
2022-04-18 17:40:20,331 ms,405 ms,258 ms
2022-04-18 17:40:22,332 ms,410 ms,254 ms
2022-04-18 17:40:24,353 ms,440 ms,266 ms
2022-04-18 17:40:26,341 ms,415 ms,266 ms
2022-04-18 17:40:28,335 ms,415 ms,254 ms
2022-04-18 17:40:30,418 ms,484 ms,352 ms
2022-04-18 17:40:32,502 ms,484 ms,520 ms
2022-04-18 17:40:34,463 ms,318 ms,608 ms
2022-04-18 17:40:36,431 ms,289 ms,573 ms
2022-04-18 17:40:38,457 ms,289 ms,624 ms
2022-04-18 17:40:40,499 ms,351 ms,647 ms
2022-04-18 17:40:42,324 ms,362 ms,287 ms
2022-04-18 17:40:44,321 ms,362 ms,281 ms
2022-04-18 17:40:46,395 ms,501 ms,289 ms
2022-04-18 17:40:48,440 ms,591 ms,289 ms
2022-04-18 17:40:50,334 ms,408 ms,259 ms
2022-04-18 17:40:52,322 ms,408 ms,237 ms
2022-04-18 17:40:54,272 ms,334 ms,210 ms
2022-04-18 17:40:56,246 ms,282 ms,210 ms
2022-04-18 17:40:58,269 ms,303 ms,236 ms
2022-04-18 17:41:00,325 ms,362 ms,287 ms
2022-04-18 17:41:02,344 ms,400 ms,287 ms
2022-04-18 17:41:04,346 ms,405 ms,287 ms
2022-04-18 17:41:06,325 ms,405 ms,245 ms
2022-04-18 17:41:08,271 ms,296 ms,245 ms
2022-04-18 17:41:10,266 ms,293 ms,238 ms
2022-04-18 17:41:12,267 ms,293 ms,242 ms
2022-04-18 17:41:14,262 ms,282 ms,242 ms
2022-04-18 17:41:16,259 ms,272 ms,246 ms
2022-04-18 17:41:18,307 ms,269 ms,345 ms
2022-04-18 17:41:20,281 ms,249 ms,313 ms
2022-04-18 17:41:22,344 ms,272 ms,417 ms
2022-04-18 17:41:24,330 ms,282 ms,378 ms
2022-04-18 17:41:26,321 ms,281 ms,361 ms
2022-04-18 17:41:28,310 ms,284 ms,335 ms
2022-04-18 17:41:30,274 ms,267 ms,281 ms
2022-04-18 17:41:32,297 ms,261 ms,334 ms
2022-04-18 17:41:34,296 ms,254 ms,338 ms
2022-04-18 17:41:36,295 ms,243 ms,347 ms
2022-04-18 17:41:38,281 ms,224 ms,337 ms
2022-04-18 17:41:40,,,369 ms
2022-04-18 17:41:42,310 ms,221 ms,399 ms
2022-04-18 17:41:44,474 ms,221 ms,727 ms
2022-04-18 17:41:46,867 ms,957 ms,777 ms
2022-04-18 17:41:48,886 ms,928 ms,845 ms
2022-04-18 17:41:50,838 ms,942 ms,733 ms
2022-04-18 17:41:52,678 ms,942 ms,414 ms
2022-04-18 17:41:54,644 ms,973 ms,315 ms
2022-04-18 17:41:56,358 ms,308 ms,407 ms
2022-04-18 17:41:58,339 ms,247 ms,432 ms
2022-04-18 17:42:00,282 ms,185 ms,378 ms
2022-04-18 17:42:02,312 ms,215 ms,410 ms
2022-04-18 17:42:04,242 ms,230 ms,255 ms
2022-04-18 17:42:06,253 ms,237 ms,270 ms
2022-04-18 17:42:08,258 ms,254 ms,261 ms
2022-04-18 17:42:10,261 ms,272 ms,251 ms
2022-04-18 17:42:12,263 ms,276 ms,249 ms
2022-04-18 17:42:14,282 ms,337 ms,227 ms
2022-04-18 17:42:16,370 ms,353 ms,388 ms
2022-04-18 17:42:18,379 ms,374 ms,385 ms
2022-04-18 17:42:20,433 ms,418 ms,449 ms
2022-04-18 17:42:22,419 ms,418 ms,421 ms
2022-04-18 17:42:24,339 ms,258 ms,421 ms
2022-04-18 17:42:26,320 ms,266 ms,375 ms
2022-04-18 17:42:28,322 ms,273 ms,372 ms
2022-04-18 17:42:30,290 ms,276 ms,304 ms
2022-04-18 17:42:32,288 ms,276 ms,301 ms
2022-04-18 17:42:34,288 ms,276 ms,301 ms
2022-04-18 17:42:36,285 ms,268 ms,302 ms
2022-04-18 17:42:38,325 ms,391 ms,259 ms
2022-04-18 17:42:40,338 ms,416 ms,259 ms
2022-04-18 17:42:42,325 ms,389 ms,262 ms
2022-04-18 17:42:44,379 ms,374 ms,384 ms
2022-04-18 17:42:46,457 ms,357 ms,558 ms
2022-04-18 17:42:48,586 ms,298 ms,874 ms
2022-04-18 17:42:50,572 ms,271 ms,874 ms
2022-04-18 17:42:52,430 ms,280 ms,581 ms
2022-04-18 17:42:54,264 ms,262 ms,266 ms
2022-04-18 17:42:56,274 ms,277 ms,270 ms
2022-04-18 17:42:58,276 ms,277 ms,274 ms
2022-04-18 17:43:00,370 ms,471 ms,270 ms
2022-04-18 17:43:02,475 ms,694 ms,256 ms
2022-04-18 17:43:04,517 ms,781 ms,253 ms
2022-04-18 17:43:06,465 ms,691 ms,240 ms
2022-04-18 17:43:08,625 ms,647 ms,603 ms
2022-04-18 17:43:10,932 ms,603 ms,1.26 s
2022-04-18 17:43:12,771 ms,282 ms,1.26 s
2022-04-18 17:43:14,777 ms,297 ms,1.26 s
2022-04-18 17:43:16,782 ms,308 ms,1.26 s
2022-04-18 17:43:18,600 ms,320 ms,880 ms
2022-04-18 17:43:20,313 ms,329 ms,297 ms
2022-04-18 17:43:22,277 ms,268 ms,286 ms
2022-04-18 17:43:24,344 ms,393 ms,295 ms
2022-04-18 17:43:26,339 ms,393 ms,285 ms
2022-04-18 17:43:28,352 ms,451 ms,252 ms
2022-04-18 17:43:30,354 ms,451 ms,256 ms
2022-04-18 17:43:32,454 ms,643 ms,266 ms
2022-04-18 17:43:34,271 ms,272 ms,271 ms
2022-04-18 17:43:36,278 ms,282 ms,275 ms
2022-04-18 17:43:38,280 ms,285 ms,275 ms
2022-04-18 17:43:40,282 ms,285 ms,278 ms
2022-04-18 17:43:42,279 ms,284 ms,274 ms
2022-04-18 17:43:44,289 ms,318 ms,260 ms
2022-04-18 17:43:46,226 ms,187 ms,264 ms
2022-04-18 17:43:48,226 ms,187 ms,264 ms
2022-04-18 17:43:50,230 ms,206 ms,254 ms
2022-04-18 17:43:52,321 ms,359 ms,283 ms
2022-04-18 17:43:54,318 ms,359 ms,276 ms
2022-04-18 17:43:56,340 ms,416 ms,264 ms
2022-04-18 17:43:58,386 ms,511 ms,260 ms
2022-04-18 17:44:00,291 ms,316 ms,266 ms
2022-04-18 17:44:02,277 ms,316 ms,239 ms
2022-04-18 17:44:04,287 ms,316 ms,257 ms
2022-04-18 17:44:06,292 ms,316 ms,269 ms

