"Time","Total requests"
2022-04-18 17:15:00,33
2022-04-18 17:15:15,36
2022-04-18 17:15:30,30
2022-04-18 17:15:45,30
2022-04-18 17:16:00,34
2022-04-18 17:16:15,36
2022-04-18 17:16:30,30
2022-04-18 17:16:45,35
2022-04-18 17:17:00,37
2022-04-18 17:17:15,24
2022-04-18 17:17:30,20
2022-04-18 17:17:45,26
2022-04-18 17:18:00,28
2022-04-18 17:18:15,20
2022-04-18 17:18:30,24
2022-04-18 17:18:45,21
2022-04-18 17:19:00,17
2022-04-18 17:19:15,25
2022-04-18 17:19:30,33
2022-04-18 17:19:45,35
2022-04-18 17:20:00,31
2022-04-18 17:20:15,27
2022-04-18 17:20:30,26
2022-04-18 17:20:45,26
2022-04-18 17:21:00,30
2022-04-18 17:21:15,36
2022-04-18 17:21:30,38
2022-04-18 17:21:45,27
2022-04-18 17:22:00,34
2022-04-18 17:22:15,38
2022-04-18 17:22:30,27
2022-04-18 17:22:45,36
2022-04-18 17:23:00,39
2022-04-18 17:23:15,29
2022-04-18 17:23:30,22
2022-04-18 17:23:45,26
2022-04-18 17:24:00,31
2022-04-18 17:24:15,29
2022-04-18 17:24:30,25
2022-04-18 17:24:45,29
2022-04-18 17:25:00,40
2022-04-18 17:25:15,34
2022-04-18 17:25:30,30
2022-04-18 17:25:45,33
2022-04-18 17:26:00,34
2022-04-18 17:26:15,28
2022-04-18 17:26:30,32
2022-04-18 17:26:45,31
2022-04-18 17:27:00,33
2022-04-18 17:27:15,33
2022-04-18 17:27:30,23
2022-04-18 17:27:45,34
2022-04-18 17:28:00,41
2022-04-18 17:28:15,34
2022-04-18 17:28:30,30
2022-04-18 17:28:45,40
2022-04-18 17:29:00,37
2022-04-18 17:29:15,25
2022-04-18 17:29:30,26
2022-04-18 17:29:45,26
2022-04-18 17:30:00,21
2022-04-18 17:30:15,26
2022-04-18 17:30:30,27
2022-04-18 17:30:45,27
2022-04-18 17:31:00,37
2022-04-18 17:31:15,39
2022-04-18 17:31:30,32
2022-04-18 17:31:45,27
2022-04-18 17:32:00,24
2022-04-18 17:32:15,29
2022-04-18 17:32:30,35
2022-04-18 17:32:45,35
2022-04-18 17:33:00,33
2022-04-18 17:33:15,27
2022-04-18 17:33:30,18
2022-04-18 17:33:45,22
2022-04-18 17:34:00,24
2022-04-18 17:34:15,30
2022-04-18 17:34:30,28
2022-04-18 17:34:45,19
2022-04-18 17:35:00,32
2022-04-18 17:35:15,38
2022-04-18 17:35:30,30
2022-04-18 17:35:45,28
2022-04-18 17:36:00,29
2022-04-18 17:36:15,32
2022-04-18 17:36:30,25
2022-04-18 17:36:45,29
2022-04-18 17:37:00,32
2022-04-18 17:37:15,33
2022-04-18 17:37:30,39
2022-04-18 17:37:45,41
2022-04-18 17:38:00,42
2022-04-18 17:38:15,36
2022-04-18 17:38:30,33
2022-04-18 17:38:45,30
2022-04-18 17:39:00,23
2022-04-18 17:39:15,27
2022-04-18 17:39:30,33
2022-04-18 17:39:45,33
2022-04-18 17:40:00,35
2022-04-18 17:40:15,36
2022-04-18 17:40:30,29
2022-04-18 17:40:45,25
2022-04-18 17:41:00,29
2022-04-18 17:41:15,21
2022-04-18 17:41:30,31
2022-04-18 17:41:45,41
2022-04-18 17:42:00,35
2022-04-18 17:42:15,33
2022-04-18 17:42:30,32
2022-04-18 17:42:45,30
2022-04-18 17:43:00,30
2022-04-18 17:43:15,32
2022-04-18 17:43:30,27
2022-04-18 17:43:45,19
2022-04-18 17:44:00,26

