"Time","Average Response Rate","edge-server-cv-74d975f7cd-pvhxn Response","edge-server-cv-74d975f7cd-v2ct9 Response","edge-server-cv-74d975f7cd-v8hnl Response"
2022-04-19 16:38:40,445 ms,299 ms,415 ms,622 ms
2022-04-19 16:38:42,630 ms,851 ms,409 ms,629 ms
2022-04-19 16:38:44,654 ms,773 ms,345 ms,844 ms
2022-04-19 16:38:46,744 ms,875 ms,363 ms,994 ms
2022-04-19 16:38:48,720 ms,789 ms,380 ms,990 ms
2022-04-19 16:38:50,696 ms,816 ms,400 ms,873 ms
2022-04-19 16:38:52,539 ms,459 ms,349 ms,810 ms
2022-04-19 16:38:54,361 ms,459 ms,292 ms,332 ms
2022-04-19 16:38:56,335 ms,381 ms,290 ms,334 ms
2022-04-19 16:38:58,481 ms,711 ms,426 ms,307 ms
2022-04-19 16:39:00,461 ms,756 ms,386 ms,242 ms
2022-04-19 16:39:02,456 ms,731 ms,396 ms,242 ms
2022-04-19 16:39:04,530 ms,652 ms,702 ms,237 ms
2022-04-19 16:39:06,538 ms,613 ms,754 ms,247 ms
2022-04-19 16:39:08,526 ms,281 ms,1.05 s,250 ms
2022-04-19 16:39:10,608 ms,303 ms,1.20 s,318 ms
2022-04-19 16:39:12,732 ms,739 ms,1.11 s,351 ms
2022-04-19 16:39:14,931 ms,1.48 s,935 ms,381 ms
2022-04-19 16:39:16,942 ms,1.60 s,841 ms,384 ms
2022-04-19 16:39:18,809 ms,1.69 s,269 ms,464 ms
2022-04-19 16:39:20,777 ms,1.52 s,336 ms,479 ms
2022-04-19 16:39:22,795 ms,1.16 s,305 ms,919 ms
2022-04-19 16:39:24,665 ms,713 ms,338 ms,943 ms
2022-04-19 16:39:26,622 ms,607 ms,360 ms,898 ms
2022-04-19 16:39:28,640 ms,640 ms,458 ms,821 ms
2022-04-19 16:39:30,611 ms,551 ms,487 ms,794 ms
2022-04-19 16:39:32,397 ms,349 ms,468 ms,374 ms
2022-04-19 16:39:34,384 ms,344 ms,467 ms,342 ms
2022-04-19 16:39:36,609 ms,343 ms,1.13 s,356 ms
2022-04-19 16:39:38,755 ms,347 ms,1.57 s,348 ms
2022-04-19 16:39:40,839 ms,399 ms,1.78 s,341 ms
2022-04-19 16:39:42,962 ms,640 ms,1.98 s,266 ms
2022-04-19 16:39:44,1.16 s,1.33 s,1.88 s,275 ms
2022-04-19 16:39:46,988 ms,1.53 s,1.16 s,274 ms
2022-04-19 16:39:48,624 ms,1.31 s,265 ms,297 ms
2022-04-19 16:39:50,639 ms,1.25 s,264 ms,404 ms
2022-04-19 16:39:52,605 ms,1.01 s,263 ms,543 ms
2022-04-19 16:39:54,536 ms,737 ms,265 ms,607 ms
2022-04-19 16:39:56,574 ms,714 ms,267 ms,739 ms
2022-04-19 16:39:58,681 ms,363 ms,810 ms,871 ms
2022-04-19 16:40:00,778 ms,272 ms,1.26 s,804 ms
2022-04-19 16:40:02,730 ms,281 ms,1.26 s,652 ms
2022-04-19 16:40:04,692 ms,288 ms,1.26 s,532 ms
2022-04-19 16:40:06,937 ms,1.51 s,960 ms,345 ms
2022-04-19 16:40:08,1.05 s,2.22 s,552 ms,387 ms
2022-04-19 16:40:10,932 ms,1.68 s,532 ms,586 ms
2022-04-19 16:40:12,1.04 s,1.65 s,799 ms,655 ms
2022-04-19 16:40:14,971 ms,1.35 s,780 ms,784 ms
2022-04-19 16:40:16,873 ms,1.07 s,797 ms,756 ms
2022-04-19 16:40:18,748 ms,547 ms,805 ms,894 ms
2022-04-19 16:40:20,669 ms,545 ms,519 ms,945 ms
2022-04-19 16:40:22,585 ms,442 ms,501 ms,811 ms
2022-04-19 16:40:24,587 ms,423 ms,536 ms,803 ms
2022-04-19 16:40:26,433 ms,359 ms,464 ms,475 ms
2022-04-19 16:40:28,362 ms,335 ms,397 ms,353 ms
2022-04-19 16:40:30,364 ms,324 ms,409 ms,359 ms
2022-04-19 16:40:32,344 ms,338 ms,317 ms,375 ms
2022-04-19 16:40:34,387 ms,382 ms,307 ms,471 ms
2022-04-19 16:40:36,386 ms,392 ms,312 ms,453 ms
2022-04-19 16:40:38,386 ms,371 ms,374 ms,412 ms
2022-04-19 16:40:40,655 ms,309 ms,707 ms,948 ms
2022-04-19 16:40:42,618 ms,306 ms,759 ms,787 ms
2022-04-19 16:40:44,595 ms,311 ms,775 ms,700 ms
2022-04-19 16:40:46,629 ms,315 ms,799 ms,773 ms
2022-04-19 16:40:48,517 ms,324 ms,583 ms,643 ms
2022-04-19 16:40:50,365 ms,378 ms,323 ms,393 ms
2022-04-19 16:40:52,353 ms,344 ms,303 ms,411 ms
2022-04-19 16:40:54,383 ms,301 ms,347 ms,500 ms
2022-04-19 16:40:56,363 ms,274 ms,362 ms,454 ms
2022-04-19 16:40:58,424 ms,276 ms,543 ms,454 ms
2022-04-19 16:41:00,529 ms,253 ms,894 ms,439 ms
2022-04-19 16:41:02,494 ms,266 ms,832 ms,383 ms
2022-04-19 16:41:04,529 ms,310 ms,924 ms,351 ms
2022-04-19 16:41:06,638 ms,354 ms,1.23 s,334 ms
