"Time","edge-server-cv-74d975f7cd-pvhxn","edge-server-cv-74d975f7cd-v2ct9","edge-server-cv-74d975f7cd-v8hnl","average"
2022-04-19 17:02:15,0.605,0.679,0.724,0.669
2022-04-19 17:02:30,0.605,0.679,0.724,0.669
2022-04-19 17:02:45,0.441,0.538,0.926,0.635
2022-04-19 17:03:00,0.441,0.538,0.926,0.635
2022-04-19 17:03:15,0.491,0.530,0.740,0.587
2022-04-19 17:03:30,0.491,0.530,0.740,0.587
2022-04-19 17:03:45,0.592,0.686,0.539,0.606
2022-04-19 17:04:00,0.592,0.686,0.539,0.606
2022-04-19 17:04:15,0.558,0.586,0.386,0.510
2022-04-19 17:04:30,0.558,0.586,0.386,0.510

