"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-pvhxn Memory Usage","edge-server-cv-74d975f7cd-v2ct9 Memory Usage","edge-server-cv-74d975f7cd-v8hnl Memory Usage"
2022-04-19 16:54:00,2327003136,775667712,653918208,685412352,987672576
2022-04-19 16:54:15,2827481088,942493696,969809920,898625536,959045632
2022-04-19 16:54:30,2827481088,942493696,969809920,898625536,959045632
2022-04-19 16:54:45,3399544832,1133181611,1280487424,986046464,1133010944
2022-04-19 16:55:00,3399544832,1133181611,1280487424,986046464,1133010944
2022-04-19 16:55:15,3049959424,1016653141,968200192,825905152,1255854080
2022-04-19 16:55:30,3049959424,1016653141,968200192,825905152,1255854080
2022-04-19 16:55:45,2488561664,829520555,1087193088,893190144,508178432
2022-04-19 16:56:00,2488561664,829520555,1087193088,893190144,508178432
2022-04-19 16:56:15,2482192384,827397461,747540480,1152208896,582443008
2022-04-19 16:56:30,2482192384,827397461,747540480,1152208896,582443008
2022-04-19 16:56:45,2941980672,980660224,938901504,1190141952,812937216
2022-04-19 16:57:00,2941980672,980660224,938901504,1190141952,812937216
2022-04-19 16:57:15,3643834368,1214611456,1152589824,1294512128,1196732416
2022-04-19 16:57:30,3643834368,1214611456,1152589824,1294512128,1196732416
2022-04-19 16:57:45,2625064960,875021653,886280192,985886720,752898048
2022-04-19 16:58:00,2625064960,875021653,886280192,985886720,752898048
2022-04-19 16:58:15,3373555712,1124518571,1164529664,1005793280,1203232768
2022-04-19 16:58:30,3373555712,1124518571,1164529664,1005793280,1203232768
2022-04-19 16:58:45,2964082688,988027563,877957120,936783872,1149341696
2022-04-19 16:59:00,2964082688,988027563,877957120,936783872,1149341696
2022-04-19 16:59:15,2474061824,824687275,870887424,917299200,685875200
2022-04-19 16:59:30,2474061824,824687275,870887424,917299200,685875200
2022-04-19 16:59:45,2984079360,994693120,966754304,1136562176,880762880
2022-04-19 17:00:00,2984079360,994693120,966754304,1136562176,880762880
2022-04-19 17:00:15,2897862656,965954219,1079136256,1018548224,800178176
2022-04-19 17:00:30,2897862656,965954219,1079136256,1018548224,800178176
2022-04-19 17:00:45,2968915968,989638656,782872576,1130561536,1055481856
2022-04-19 17:01:00,2968915968,989638656,782872576,1130561536,1055481856
2022-04-19 17:01:15,3088154624,1029384875,974196736,1096011776,1017946112
2022-04-19 17:01:30,3088154624,1029384875,974196736,1096011776,1017946112
2022-04-19 17:01:45,3289784320,1096594773,815005696,1585152000,889626624
2022-04-19 17:02:00,3289784320,1096594773,815005696,1585152000,889626624
2022-04-19 17:02:15,2761334784,920444928,1078153216,659394560,1023787008
2022-04-19 17:02:30,2761334784,920444928,1078153216,659394560,1023787008
2022-04-19 17:02:45,2761289728,920429909,917159936,874254336,969875456
2022-04-19 17:03:00,2761289728,920429909,917159936,874254336,969875456
2022-04-19 17:03:15,2753904640,917968213,943673344,1045815296,764416000
2022-04-19 17:03:30,2753904640,917968213,943673344,1045815296,764416000
2022-04-19 17:03:45,3719086080,1239695360,1145991168,1469534208,1103560704
2022-04-19 17:04:00,3719086080,1239695360,1145991168,1469534208,1103560704
2022-04-19 17:04:15,2833055744,944351915,839548928,901271552,1092235264
2022-04-19 17:04:30,2833055744,944351915,839548928,901271552,1092235264

