"Time","Total requests"
2022-04-15 18:01:00,11
2022-04-15 18:01:15,10
2022-04-15 18:01:30,12
2022-04-15 18:01:45,16
2022-04-15 18:02:00,16
2022-04-15 18:02:15,14
2022-04-15 18:02:30,14
2022-04-15 18:02:45,14
2022-04-15 18:03:00,13
2022-04-15 18:03:15,12
2022-04-15 18:03:30,10
2022-04-15 18:03:45,16
2022-04-15 18:04:00,16
2022-04-15 18:04:15,11
2022-04-15 18:04:30,13
2022-04-15 18:04:45,19
2022-04-15 18:05:00,16
2022-04-15 18:05:15,8
2022-04-15 18:05:30,8
2022-04-15 18:05:45,5
2022-04-15 18:06:00,8
2022-04-15 18:06:15,14
2022-04-15 18:06:30,22
2022-04-15 18:06:45,19
2022-04-15 18:07:00,11
2022-04-15 18:07:15,13
2022-04-15 18:07:30,18
2022-04-15 18:07:45,21
2022-04-15 18:08:00,18
2022-04-15 18:08:15,10
2022-04-15 18:08:30,14
2022-04-15 18:08:45,17
2022-04-15 18:09:00,18
2022-04-15 18:09:15,18
2022-04-15 18:09:30,12
2022-04-15 18:09:45,10
2022-04-15 18:10:00,8
2022-04-15 18:10:15,11
2022-04-15 18:10:30,11
2022-04-15 18:10:45,11
2022-04-15 18:11:00,10
2022-04-15 18:11:15,14
2022-04-15 18:11:30,18
2022-04-15 18:11:45,14
2022-04-15 18:12:00,11
2022-04-15 18:12:15,8
2022-04-15 18:12:30,12
2022-04-15 18:12:45,8
2022-04-15 18:13:00,7
2022-04-15 18:13:15,8
2022-04-15 18:13:30,12
2022-04-15 18:13:45,12
2022-04-15 18:14:00,12
2022-04-15 18:14:15,10
2022-04-15 18:14:30,11
2022-04-15 18:14:45,14
2022-04-15 18:15:00,10
2022-04-15 18:15:15,11
2022-04-15 18:15:30,16
2022-04-15 18:15:45,12
2022-04-15 18:16:00,10
2022-04-15 18:16:15,18
2022-04-15 18:16:30,14
2022-04-15 18:16:45,9
2022-04-15 18:17:00,12
2022-04-15 18:17:15,17
2022-04-15 18:17:30,16
2022-04-15 18:17:45,11
2022-04-15 18:18:00,13
2022-04-15 18:18:15,10
2022-04-15 18:18:30,7
2022-04-15 18:18:45,11
2022-04-15 18:19:00,18
2022-04-15 18:19:15,17
2022-04-15 18:19:30,17
2022-04-15 18:19:45,25
2022-04-15 18:20:00,21
2022-04-15 18:20:15,13
2022-04-15 18:20:30,17
2022-04-15 18:20:45,14
2022-04-15 18:21:00,10
2022-04-15 18:21:15,14
2022-04-15 18:21:30,16
2022-04-15 18:21:45,12
2022-04-15 18:22:00,14
2022-04-15 18:22:15,19
2022-04-15 18:22:30,16
2022-04-15 18:22:45,16
2022-04-15 18:23:00,14
2022-04-15 18:23:15,8
2022-04-15 18:23:30,7
2022-04-15 18:23:45,7
2022-04-15 18:24:00,3
2022-04-15 18:24:15,10
2022-04-15 18:24:30,20
2022-04-15 18:24:45,16
2022-04-15 18:25:00,11
2022-04-15 18:25:15,17
2022-04-15 18:25:30,11
2022-04-15 18:25:45,7
2022-04-15 18:26:00,13
2022-04-15 18:26:15,11
2022-04-15 18:26:30,7
2022-04-15 18:26:45,9
2022-04-15 18:27:00,12
2022-04-15 18:27:15,18
2022-04-15 18:27:30,18
2022-04-15 18:27:45,14
2022-04-15 18:28:00,14
2022-04-15 18:28:15,13
2022-04-15 18:28:30,6
2022-04-15 18:28:45,9
2022-04-15 18:29:00,13
2022-04-15 18:29:15,17
2022-04-15 18:29:30,13
2022-04-15 18:29:45,12
2022-04-15 18:30:00,11

