"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-15 18:01:00,260 ms
2022-04-15 18:01:02,281 ms
2022-04-15 18:01:04,282 ms
2022-04-15 18:01:06,283 ms
2022-04-15 18:01:08,296 ms
2022-04-15 18:01:10,395 ms
2022-04-15 18:01:12,690 ms
2022-04-15 18:01:14,488 ms
2022-04-15 18:01:16,417 ms
2022-04-15 18:01:18,285 ms
2022-04-15 18:01:20,306 ms
2022-04-15 18:01:22,312 ms
2022-04-15 18:01:24,291 ms
2022-04-15 18:01:26,295 ms
2022-04-15 18:01:28,275 ms
2022-04-15 18:01:30,275 ms
2022-04-15 18:01:32,280 ms
2022-04-15 18:01:34,265 ms
2022-04-15 18:01:36,266 ms
2022-04-15 18:01:38,274 ms
2022-04-15 18:01:40,270 ms
2022-04-15 18:01:42,277 ms
2022-04-15 18:01:44,270 ms
2022-04-15 18:01:46,271 ms
2022-04-15 18:01:48,301 ms
2022-04-15 18:01:50,338 ms
2022-04-15 18:01:52,309 ms
2022-04-15 18:01:54,343 ms
2022-04-15 18:01:56,270 ms
2022-04-15 18:01:58,256 ms
2022-04-15 18:02:00,293 ms
2022-04-15 18:02:02,298 ms
2022-04-15 18:02:04,300 ms
2022-04-15 18:02:06,295 ms
2022-04-15 18:02:08,306 ms
2022-04-15 18:02:10,265 ms
2022-04-15 18:02:12,234 ms
2022-04-15 18:02:14,206 ms
2022-04-15 18:02:16,206 ms
2022-04-15 18:02:18,280 ms
2022-04-15 18:02:20,296 ms
2022-04-15 18:02:22,341 ms
2022-04-15 18:02:24,344 ms
2022-04-15 18:02:26,344 ms
2022-04-15 18:02:28,282 ms
2022-04-15 18:02:30,266 ms
2022-04-15 18:02:32,266 ms
2022-04-15 18:02:34,266 ms
2022-04-15 18:02:36,346 ms
2022-04-15 18:02:38,377 ms
2022-04-15 18:02:40,369 ms
2022-04-15 18:02:42,353 ms
2022-04-15 18:02:44,249 ms
2022-04-15 18:02:46,246 ms
2022-04-15 18:02:48,246 ms
2022-04-15 18:02:50,262 ms
2022-04-15 18:02:52,259 ms
2022-04-15 18:02:54,267 ms
2022-04-15 18:02:56,516 ms
2022-04-15 18:02:58,472 ms
2022-04-15 18:03:00,456 ms
2022-04-15 18:03:02,462 ms
2022-04-15 18:03:04,393 ms
2022-04-15 18:03:06,230 ms
2022-04-15 18:03:08,243 ms
2022-04-15 18:03:10,232 ms
2022-04-15 18:03:12,284 ms
2022-04-15 18:03:14,232 ms
2022-04-15 18:03:16,252 ms
2022-04-15 18:03:18,231 ms
2022-04-15 18:03:20,238 ms
2022-04-15 18:03:22,238 ms
2022-04-15 18:03:24,314 ms
2022-04-15 18:03:26,327 ms
2022-04-15 18:03:28,370 ms
2022-04-15 18:03:30,366 ms
2022-04-15 18:03:32,366 ms
2022-04-15 18:03:34,253 ms
2022-04-15 18:03:36,247 ms
2022-04-15 18:03:38,231 ms
2022-04-15 18:03:40,224 ms
2022-04-15 18:03:42,255 ms
2022-04-15 18:03:44,482 ms
2022-04-15 18:03:46,539 ms
2022-04-15 18:03:48,507 ms
2022-04-15 18:03:50,512 ms
2022-04-15 18:03:52,302 ms
2022-04-15 18:03:54,299 ms
2022-04-15 18:03:56,297 ms
2022-04-15 18:03:58,287 ms
2022-04-15 18:04:00,273 ms
2022-04-15 18:04:02,274 ms
2022-04-15 18:04:04,296 ms
2022-04-15 18:04:06,350 ms
2022-04-15 18:04:08,350 ms
2022-04-15 18:04:10,330 ms
2022-04-15 18:04:12,348 ms
2022-04-15 18:04:14,283 ms
2022-04-15 18:04:16,310 ms
2022-04-15 18:04:18,380 ms
2022-04-15 18:04:20,408 ms
2022-04-15 18:04:22,408 ms
2022-04-15 18:04:24,433 ms
2022-04-15 18:04:26,448 ms
2022-04-15 18:04:28,378 ms
2022-04-15 18:04:30,363 ms
2022-04-15 18:04:32,343 ms
2022-04-15 18:04:34,336 ms
2022-04-15 18:04:36,282 ms
2022-04-15 18:04:38,282 ms
2022-04-15 18:04:40,293 ms
2022-04-15 18:04:42,352 ms
2022-04-15 18:04:44,344 ms
2022-04-15 18:04:46,344 ms
2022-04-15 18:04:48,344 ms
2022-04-15 18:04:50,311 ms
2022-04-15 18:04:52,322 ms
2022-04-15 18:04:54,319 ms
2022-04-15 18:04:56,352 ms
2022-04-15 18:04:58,325 ms
2022-04-15 18:05:00,309 ms
2022-04-15 18:05:02,299 ms
2022-04-15 18:05:04,304 ms
2022-04-15 18:05:06,287 ms
2022-04-15 18:05:08,259 ms
2022-04-15 18:05:10,259 ms
2022-04-15 18:05:12,
2022-04-15 18:05:14,
2022-04-15 18:05:16,483 ms
2022-04-15 18:05:18,454 ms
2022-04-15 18:05:20,476 ms
2022-04-15 18:05:22,405 ms
2022-04-15 18:05:24,333 ms
2022-04-15 18:05:26,346 ms
2022-04-15 18:05:28,339 ms
2022-04-15 18:05:30,184 ms
2022-04-15 18:05:32,
2022-04-15 18:05:34,
2022-04-15 18:05:36,
2022-04-15 18:05:38,589 ms
2022-04-15 18:05:40,589 ms
2022-04-15 18:05:42,589 ms
2022-04-15 18:05:44,589 ms
2022-04-15 18:05:46,427 ms
2022-04-15 18:05:48,285 ms
2022-04-15 18:05:50,289 ms
2022-04-15 18:05:52,289 ms
2022-04-15 18:05:54,289 ms
2022-04-15 18:05:56,293 ms
2022-04-15 18:05:58,284 ms
