"Time","edge-server-cv-78d887c496-f2l75","edge-server-cv-78d887c496-wrh5q","edge-server-cv-78d887c496-fczhb","average"
2022-04-19 18:51:45,1.12,1.59,1.13,1.28
2022-04-19 18:52:00,1.12,1.59,1.13,1.28
2022-04-19 18:52:15,1.46,1.62,2.00,1.69
2022-04-19 18:52:30,1.46,1.62,2.00,1.69
2022-04-19 18:52:45,0.984,1.24,1.45,1.23
2022-04-19 18:53:00,0.984,1.24,1.45,1.23
2022-04-19 18:53:15,1.82,2.15,0.863,1.61
2022-04-19 18:53:30,1.82,2.15,0.863,1.61
2022-04-19 18:53:45,1.77,1.49,1.80,1.69

