"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-f2l75 Memory Usage","edge-server-cv-78d887c496-wrh5q Memory Usage","edge-server-cv-78d887c496-fczhb Memory Usage"
2022-04-19 18:24:45,4086792192,1362264064,1192890368,1370226688,1523675136
2022-04-19 18:25:00,4086792192,1362264064,1192890368,1370226688,1523675136
2022-04-19 18:25:15,3064532992,1021510997,1149763584,916828160,997941248
2022-04-19 18:25:30,3064532992,1021510997,1149763584,916828160,997941248
2022-04-19 18:25:45,3917361152,1305787051,1396563968,1263652864,1257144320
2022-04-19 18:26:00,3917361152,1305787051,1396563968,1263652864,1257144320
2022-04-19 18:26:15,3442425856,1147475285,1499959296,1068204032,874262528
2022-04-19 18:26:30,3442425856,1147475285,1499959296,1068204032,874262528
2022-04-19 18:26:45,4040257536,1346752512,1328238592,1335197696,1376821248
2022-04-19 18:27:00,4040257536,1346752512,1328238592,1335197696,1376821248
2022-04-19 18:27:15,3132108800,1044036267,930455552,1274281984,927371264
2022-04-19 18:27:30,3132108800,1044036267,930455552,1274281984,927371264
2022-04-19 18:27:45,3555422208,1185140736,1354899456,1210286080,990236672
2022-04-19 18:28:00,3555422208,1185140736,1354899456,1210286080,990236672
2022-04-19 18:28:15,3658391552,1219463851,1564626944,1207095296,886669312
2022-04-19 18:28:30,3658391552,1219463851,1564626944,1207095296,886669312
2022-04-19 18:28:45,3872141312,1290713771,1468952576,1222770688,1180418048
2022-04-19 18:29:00,3872141312,1290713771,1468952576,1222770688,1180418048
2022-04-19 18:29:15,3734548480,1244849493,1318133760,1532727296,883687424
2022-04-19 18:29:30,3734548480,1244849493,1318133760,1532727296,883687424
2022-04-19 18:29:45,3483492352,1161164117,1010192384,916754432,1556545536
2022-04-19 18:30:00,3483492352,1161164117,1010192384,916754432,1556545536
2022-04-19 18:30:15,3317280768,1105760256,1225789440,1094021120,997470208
2022-04-19 18:30:30,3317280768,1105760256,1225789440,1094021120,997470208
2022-04-19 18:30:45,3560992768,1186997589,1487032320,890093568,1183866880
2022-04-19 18:31:00,3560992768,1186997589,1487032320,890093568,1183866880
2022-04-19 18:31:15,4116951040,1372317013,1395441664,1237422080,1484087296
2022-04-19 18:31:30,4116951040,1372317013,1395441664,1237422080,1484087296
2022-04-19 18:31:45,3865849856,1288616619,1228820480,1033752576,1603276800
2022-04-19 18:32:00,3865849856,1288616619,1228820480,1033752576,1603276800
2022-04-19 18:32:15,2979000320,993000107,618373120,1015988224,1344638976
2022-04-19 18:32:30,2979000320,993000107,618373120,1015988224,1344638976
2022-04-19 18:32:45,3954040832,1318013611,1287569408,1212764160,1453707264
2022-04-19 18:33:00,3954040832,1318013611,1287569408,1212764160,1453707264
2022-04-19 18:33:15,4098723840,1366241280,1386270720,1169838080,1542615040
2022-04-19 18:33:30,4098723840,1366241280,1386270720,1169838080,1542615040
2022-04-19 18:33:45,3391004672,1130334891,1286754304,1032978432,1071271936
2022-04-19 18:34:00,3391004672,1130334891,1286754304,1032978432,1071271936
2022-04-19 18:34:15,3343355904,1114451968,1369059328,962248704,1012047872
2022-04-19 18:34:30,3343355904,1114451968,1369059328,962248704,1012047872
2022-04-19 18:34:45,3475599360,1158533120,1250377728,1204920320,1020301312
