"Time","edge-server-cv-78d887c496-f2l75","edge-server-cv-78d887c496-wrh5q","edge-server-cv-78d887c496-fczhb","Average"
2022-04-19 18:51:45,29.1,21.0,28.0,26.0
2022-04-19 18:52:00,29.1,21.0,28.0,26.0
2022-04-19 18:52:15,26.1,30.4,16.2,24.2
2022-04-19 18:52:30,26.1,30.4,16.2,24.2
2022-04-19 18:52:45,31.1,25.9,38.3,31.8
2022-04-19 18:53:00,31.1,25.9,38.3,31.8
2022-04-19 18:53:15,28.0,32.8,33.3,31.4
2022-04-19 18:53:30,28.0,32.8,33.3,31.4
2022-04-19 18:53:45,32.3,31.5,28.5,30.8

