"Time","Average"
2022-04-19 16:01:00,15.3
2022-04-19 16:01:15,15.8
2022-04-19 16:01:30,15.8
2022-04-19 16:01:45,23.8
2022-04-19 16:02:00,23.8
2022-04-19 16:02:15,22.3
2022-04-19 16:02:30,22.3
2022-04-19 16:02:45,15.7
2022-04-19 16:03:00,15.7
2022-04-19 16:03:15,24.4
2022-04-19 16:03:30,24.4
2022-04-19 16:03:45,16.9
2022-04-19 16:04:00,16.9
2022-04-19 16:04:15,19.6
2022-04-19 16:04:30,19.6
2022-04-19 16:04:45,16.6
2022-04-19 16:05:00,16.6
2022-04-19 16:05:15,22.6
2022-04-19 16:05:30,22.6
2022-04-19 16:05:45,22.0
2022-04-19 16:06:00,22.0
2022-04-19 16:06:15,18.1
2022-04-19 16:06:30,18.1
2022-04-19 16:06:45,17.3
2022-04-19 16:07:00,17.3
2022-04-19 16:07:15,21.5
2022-04-19 16:07:30,21.5
2022-04-19 16:07:45,16.3
2022-04-19 16:08:00,16.3
2022-04-19 16:08:15,23.5
2022-04-19 16:08:30,23.5
2022-04-19 16:08:45,17.7
2022-04-19 16:09:00,17.7
2022-04-19 16:09:15,20.3
2022-04-19 16:09:30,20.3
2022-04-19 16:09:45,18.0
2022-04-19 16:10:00,18.0
2022-04-19 16:10:15,23.1
2022-04-19 16:10:30,23.1
2022-04-19 16:10:45,29.2
2022-04-19 16:11:00,29.2
2022-04-19 16:11:15,14.8
2022-04-19 16:11:30,14.8
2022-04-19 16:11:45,25.6
2022-04-19 16:12:00,25.6
2022-04-19 16:12:15,19.2
2022-04-19 16:12:30,19.2
2022-04-19 16:12:45,24.6
2022-04-19 16:13:00,24.6
2022-04-19 16:13:15,20.7
2022-04-19 16:13:30,20.7
2022-04-19 16:13:45,18.6
2022-04-19 16:14:00,18.6
2022-04-19 16:14:15,21.9
2022-04-19 16:14:30,21.9
2022-04-19 16:14:45,24.1
2022-04-19 16:15:00,24.1
2022-04-19 16:15:15,21.0
2022-04-19 16:15:30,21.0
2022-04-19 16:15:45,22.2
2022-04-19 16:16:00,22.2
2022-04-19 16:16:15,22.1
2022-04-19 16:16:30,22.1
2022-04-19 16:16:45,22.4
2022-04-19 16:17:00,22.4
2022-04-19 16:17:15,24.5
2022-04-19 16:17:30,24.5
2022-04-19 16:17:45,20.2
2022-04-19 16:18:00,20.2
2022-04-19 16:18:15,20.1
2022-04-19 16:18:30,20.1
2022-04-19 16:18:45,28.2
2022-04-19 16:19:00,28.2
2022-04-19 16:19:15,22.5
2022-04-19 16:19:30,22.5
2022-04-19 16:19:45,25.5
2022-04-19 16:20:00,25.5
2022-04-19 16:20:15,27.7
2022-04-19 16:20:30,27.7
2022-04-19 16:20:45,18.5
2022-04-19 16:21:00,18.5
2022-04-19 16:21:15,20.3
2022-04-19 16:21:30,20.3
2022-04-19 16:21:45,20.7
2022-04-19 16:22:00,20.7
2022-04-19 16:22:15,26.6
2022-04-19 16:22:30,26.6
2022-04-19 16:22:45,20.9
2022-04-19 16:23:00,20.9
2022-04-19 16:23:15,25.7
2022-04-19 16:23:30,25.7
2022-04-19 16:23:45,20.8
2022-04-19 16:24:00,20.8
2022-04-19 16:24:15,23.5
2022-04-19 16:24:30,23.5
2022-04-19 16:24:45,26.3
2022-04-19 16:25:00,26.3
2022-04-19 16:25:15,18.8
2022-04-19 16:25:30,18.8
2022-04-19 16:25:45,27.6
2022-04-19 16:26:00,27.6
2022-04-19 16:26:15,24.2
2022-04-19 16:26:30,24.2
2022-04-19 16:26:45,24.2
2022-04-19 16:27:00,24.2
2022-04-19 16:27:15,20.5
2022-04-19 16:27:30,20.5
2022-04-19 16:27:45,30.9
2022-04-19 16:28:00,30.9
2022-04-19 16:28:15,19.8
2022-04-19 16:28:30,19.8
2022-04-19 16:28:45,30.6
2022-04-19 16:29:00,30.6
2022-04-19 16:29:15,26.2
2022-04-19 16:29:30,26.2
2022-04-19 16:29:45,27.0
2022-04-19 16:30:00,27.0

