"Time","edge-server-cv-74d975f7cd-z798l","edge-server-cv-74d975f7cd-bbbwx","edge-server-cv-74d975f7cd-gw56j","Average"
2022-04-19 16:27:45,35.5,40.3,36.7,37.5
2022-04-19 16:28:00,35.5,40.3,36.7,37.5
2022-04-19 16:28:15,27.2,32.9,29.4,29.8
2022-04-19 16:28:30,27.2,32.9,29.4,29.8
2022-04-19 16:28:45,35.3,28.5,36.6,33.5
2022-04-19 16:29:00,35.3,28.5,36.6,33.5
2022-04-19 16:29:15,37.7,33.7,24.3,31.9
2022-04-19 16:29:30,37.7,33.7,24.3,31.9
2022-04-19 16:29:45,31.7,29.7,27.0,29.5
2022-04-19 16:30:00,31.7,29.7,27.0,29.5

