"Time","edge-server-cv-74d975f7cd-z798l","edge-server-cv-74d975f7cd-bbbwx","edge-server-cv-74d975f7cd-gw56j","average"
2022-04-19 16:27:45,0.194,0.298,0.436,0.309
2022-04-19 16:28:00,0.194,0.298,0.436,0.309
2022-04-19 16:28:15,0.139,0.197,0.258,0.198
2022-04-19 16:28:30,0.139,0.197,0.258,0.198
2022-04-19 16:28:45,0.355,0.321,0.240,0.306
2022-04-19 16:29:00,0.355,0.321,0.240,0.306
2022-04-19 16:29:15,0.379,0.191,0.214,0.262
2022-04-19 16:29:30,0.379,0.191,0.214,0.262
2022-04-19 16:29:45,0.244,0.309,0.257,0.270
2022-04-19 16:30:00,0.244,0.309,0.257,0.270

