"Time","edge-server-cv-74d975f7cd-z798l 60s","edge-server-cv-74d975f7cd-bbbwx 60s","edge-server-cv-74d975f7cd-gw56j 60s","average"
2022-04-19 16:27:30,0.139,0.326,0.0738,0.179
2022-04-19 16:27:45,0.219,0.298,0.644,0.387
2022-04-19 16:28:00,0.219,0.298,0.644,0.387
2022-04-19 16:28:15,0.135,0.161,0.283,0.193
2022-04-19 16:28:30,0.135,0.161,0.283,0.193
2022-04-19 16:28:45,0.326,0.225,0.256,0.269
2022-04-19 16:29:00,0.326,0.225,0.256,0.269
2022-04-19 16:29:15,0.385,0.241,0.173,0.266
2022-04-19 16:29:30,0.385,0.241,0.173,0.266
2022-04-19 16:29:45,0.221,0.264,0.231,0.239
2022-04-19 16:30:00,0.221,0.264,0.231,0.239

