"Time","Total"
2022-04-19 17:50:30,3
2022-04-19 17:50:45,3
2022-04-19 17:51:00,3
2022-04-19 17:51:15,3
2022-04-19 17:51:30,3
2022-04-19 17:51:45,3
2022-04-19 17:52:00,3
2022-04-19 17:52:15,3
2022-04-19 17:52:30,3
2022-04-19 17:52:45,3
2022-04-19 17:53:00,3
2022-04-19 17:53:15,3
2022-04-19 17:53:30,3
2022-04-19 17:53:45,3
2022-04-19 17:54:00,3
2022-04-19 17:54:15,3
2022-04-19 17:54:30,3
2022-04-19 17:54:45,3
2022-04-19 17:55:00,3
2022-04-19 17:55:15,3
2022-04-19 17:55:30,3
2022-04-19 17:55:45,3
2022-04-19 17:56:00,3
2022-04-19 17:56:15,3
2022-04-19 17:56:30,3
2022-04-19 17:56:45,3
2022-04-19 17:57:00,3
2022-04-19 17:57:15,3
2022-04-19 17:57:30,3
2022-04-19 17:57:45,3
2022-04-19 17:58:00,3
2022-04-19 17:58:15,3
2022-04-19 17:58:30,3
2022-04-19 17:58:45,3
2022-04-19 17:59:00,3
2022-04-19 17:59:15,3
2022-04-19 17:59:30,3
2022-04-19 17:59:45,3
2022-04-19 18:00:00,3
2022-04-19 18:00:15,3
2022-04-19 18:00:30,3
2022-04-19 18:00:45,3
2022-04-19 18:01:00,3
2022-04-19 18:01:15,3
2022-04-19 18:01:30,3
2022-04-19 18:01:45,3
2022-04-19 18:02:00,3
2022-04-19 18:02:15,3
2022-04-19 18:02:30,3
2022-04-19 18:02:45,3
2022-04-19 18:03:00,3
2022-04-19 18:03:15,3
2022-04-19 18:03:30,3
2022-04-19 18:03:45,3
2022-04-19 18:04:00,3
2022-04-19 18:04:15,3
2022-04-19 18:04:30,3
2022-04-19 18:04:45,3
2022-04-19 18:05:00,3
2022-04-19 18:05:15,3
2022-04-19 18:05:30,3
2022-04-19 18:05:45,3
2022-04-19 18:06:00,3
2022-04-19 18:06:15,3
2022-04-19 18:06:30,3
2022-04-19 18:06:45,3
2022-04-19 18:07:00,3
2022-04-19 18:07:15,3
2022-04-19 18:07:30,3
2022-04-19 18:07:45,3
2022-04-19 18:08:00,3
2022-04-19 18:08:15,3
2022-04-19 18:08:30,3
2022-04-19 18:08:45,3
2022-04-19 18:09:00,3
2022-04-19 18:09:15,3
2022-04-19 18:09:30,3
2022-04-19 18:09:45,3
2022-04-19 18:10:00,3
2022-04-19 18:10:15,3
2022-04-19 18:10:30,3
2022-04-19 18:10:45,3
2022-04-19 18:11:00,3
2022-04-19 18:11:15,3
2022-04-19 18:11:30,3
2022-04-19 18:11:45,3
2022-04-19 18:12:00,3
2022-04-19 18:12:15,3
2022-04-19 18:12:30,3
2022-04-19 18:12:45,3
2022-04-19 18:13:00,3
2022-04-19 18:13:15,3
2022-04-19 18:13:30,3
2022-04-19 18:13:45,3
2022-04-19 18:14:00,3
2022-04-19 18:14:15,3
2022-04-19 18:14:30,3
2022-04-19 18:14:45,3
2022-04-19 18:15:00,3
2022-04-19 18:15:15,3
2022-04-19 18:15:30,3
2022-04-19 18:15:45,3
2022-04-19 18:16:00,3
2022-04-19 18:16:15,3
2022-04-19 18:16:30,3
2022-04-19 18:16:45,3
2022-04-19 18:17:00,3
2022-04-19 18:17:15,3
2022-04-19 18:17:30,3
2022-04-19 18:17:45,3
2022-04-19 18:18:00,3
2022-04-19 18:18:15,3
2022-04-19 18:18:30,3
2022-04-19 18:18:45,3
2022-04-19 18:19:00,3
2022-04-19 18:19:15,3
2022-04-19 18:19:30,3

