"Time","edge-server-cv-78d887c496-pr2rl","edge-server-cv-78d887c496-r2wgp","edge-server-cv-78d887c496-kcrxl","Average"
2022-04-19 18:17:30,16.6,26.1,22.3,21.7
2022-04-19 18:17:45,23.0,24.3,23.1,23.5
2022-04-19 18:18:00,23.0,24.3,23.1,23.5
2022-04-19 18:18:15,17.3,24.8,16.9,19.7
2022-04-19 18:18:30,17.3,24.8,16.9,19.7
2022-04-19 18:18:45,26.5,31.0,29.0,28.8
2022-04-19 18:19:00,26.5,31.0,29.0,28.8
2022-04-19 18:19:15,20.7,34.2,23.9,26.3
2022-04-19 18:19:30,20.7,34.2,23.9,26.3

