"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 17:53:38,286 ms,244 ms,352 ms,263 ms
2022-04-19 17:53:40,286 ms,236 ms,354 ms,269 ms
2022-04-19 17:53:42,299 ms,279 ms,350 ms,269 ms
2022-04-19 17:53:44,292 ms,289 ms,309 ms,278 ms
2022-04-19 17:53:46,277 ms,282 ms,270 ms,278 ms
2022-04-19 17:53:48,274 ms,283 ms,268 ms,271 ms
2022-04-19 17:53:50,271 ms,291 ms,259 ms,264 ms
2022-04-19 17:53:52,256 ms,248 ms,261 ms,259 ms
2022-04-19 17:53:54,256 ms,259 ms,255 ms,254 ms
2022-04-19 17:53:56,254 ms,260 ms,248 ms,253 ms
2022-04-19 17:53:58,256 ms,263 ms,245 ms,259 ms
2022-04-19 17:54:00,262 ms,273 ms,249 ms,264 ms
2022-04-19 17:54:02,253 ms,270 ms,232 ms,257 ms
2022-04-19 17:54:04,253 ms,257 ms,245 ms,258 ms
2022-04-19 17:54:06,260 ms,266 ms,249 ms,266 ms
2022-04-19 17:54:08,279 ms,265 ms,246 ms,324 ms
2022-04-19 17:54:10,283 ms,261 ms,257 ms,331 ms
2022-04-19 17:54:12,292 ms,264 ms,277 ms,335 ms
2022-04-19 17:54:14,291 ms,268 ms,267 ms,338 ms
2022-04-19 17:54:16,287 ms,251 ms,277 ms,334 ms
2022-04-19 17:54:18,277 ms,286 ms,269 ms,277 ms
2022-04-19 17:54:20,270 ms,289 ms,267 ms,255 ms
2022-04-19 17:54:22,277 ms,293 ms,281 ms,258 ms
2022-04-19 17:54:24,289 ms,330 ms,279 ms,257 ms
2022-04-19 17:54:26,269 ms,256 ms,283 ms,266 ms
2022-04-19 17:54:28,272 ms,257 ms,279 ms,280 ms
2022-04-19 17:54:30,256 ms,249 ms,250 ms,269 ms
2022-04-19 17:54:32,285 ms,258 ms,279 ms,317 ms
2022-04-19 17:54:34,276 ms,257 ms,274 ms,297 ms
2022-04-19 17:54:36,279 ms,262 ms,282 ms,293 ms
2022-04-19 17:54:38,288 ms,272 ms,291 ms,302 ms
2022-04-19 17:54:40,265 ms,257 ms,266 ms,271 ms
2022-04-19 17:54:42,258 ms,254 ms,267 ms,253 ms
2022-04-19 17:54:44,280 ms,268 ms,316 ms,255 ms
2022-04-19 17:54:46,274 ms,262 ms,306 ms,255 ms
2022-04-19 17:54:48,289 ms,284 ms,307 ms,276 ms
2022-04-19 17:54:50,295 ms,286 ms,316 ms,282 ms
2022-04-19 17:54:52,286 ms,281 ms,282 ms,296 ms
2022-04-19 17:54:54,278 ms,267 ms,270 ms,297 ms
2022-04-19 17:54:56,273 ms,275 ms,268 ms,276 ms
2022-04-19 17:54:58,258 ms,249 ms,245 ms,279 ms
2022-04-19 17:55:00,272 ms,265 ms,279 ms,271 ms
2022-04-19 17:55:02,270 ms,271 ms,283 ms,255 ms
2022-04-19 17:55:04,272 ms,266 ms,282 ms,266 ms
2022-04-19 17:55:06,267 ms,274 ms,280 ms,247 ms
2022-04-19 17:55:08,269 ms,270 ms,289 ms,250 ms
2022-04-19 17:55:10,263 ms,272 ms,244 ms,273 ms
2022-04-19 17:55:12,276 ms,276 ms,256 ms,296 ms
2022-04-19 17:55:14,280 ms,280 ms,269 ms,292 ms
2022-04-19 17:55:16,279 ms,269 ms,274 ms,293 ms
2022-04-19 17:55:18,275 ms,260 ms,278 ms,288 ms
2022-04-19 17:55:20,270 ms,255 ms,270 ms,287 ms
2022-04-19 17:55:22,257 ms,251 ms,264 ms,257 ms
2022-04-19 17:55:24,273 ms,259 ms,305 ms,257 ms
2022-04-19 17:55:26,275 ms,250 ms,303 ms,272 ms
2022-04-19 17:55:28,273 ms,259 ms,293 ms,268 ms
2022-04-19 17:55:30,276 ms,258 ms,300 ms,270 ms
2022-04-19 17:55:32,259 ms,272 ms,243 ms,261 ms
2022-04-19 17:55:34,253 ms,285 ms,206 ms,267 ms
2022-04-19 17:55:36,256 ms,297 ms,222 ms,247 ms
2022-04-19 17:55:38,254 ms,285 ms,228 ms,248 ms
2022-04-19 17:55:40,258 ms,285 ms,246 ms,243 ms
2022-04-19 17:55:42,256 ms,262 ms,256 ms,251 ms
2022-04-19 17:55:44,253 ms,262 ms,249 ms,247 ms
2022-04-19 17:55:46,268 ms,263 ms,258 ms,284 ms
2022-04-19 17:55:48,273 ms,265 ms,259 ms,293 ms
2022-04-19 17:55:50,271 ms,261 ms,248 ms,304 ms
2022-04-19 17:55:52,289 ms,298 ms,248 ms,320 ms
2022-04-19 17:55:54,334 ms,307 ms,252 ms,443 ms
2022-04-19 17:55:56,328 ms,319 ms,244 ms,420 ms
2022-04-19 17:55:58,325 ms,330 ms,248 ms,397 ms
2022-04-19 17:56:00,312 ms,298 ms,261 ms,376 ms
2022-04-19 17:56:02,295 ms,258 ms,263 ms,364 ms
2022-04-19 17:56:04,252 ms,240 ms,263 ms,255 ms
2022-04-19 17:56:06,274 ms,241 ms,326 ms,256 ms
2022-04-19 17:56:08,278 ms,249 ms,327 ms,258 ms
2022-04-19 17:56:10,277 ms,251 ms,332 ms,248 ms
2022-04-19 17:56:12,278 ms,260 ms,335 ms,238 ms
2022-04-19 17:56:14,281 ms,261 ms,347 ms,234 ms
2022-04-19 17:56:16,269 ms,263 ms,286 ms,258 ms
2022-04-19 17:56:18,313 ms,256 ms,308 ms,376 ms
2022-04-19 17:56:20,312 ms,272 ms,287 ms,378 ms
2022-04-19 17:56:22,300 ms,244 ms,277 ms,380 ms
2022-04-19 17:56:24,293 ms,250 ms,257 ms,371 ms
2022-04-19 17:56:26,256 ms,249 ms,254 ms,266 ms
2022-04-19 17:56:28,248 ms,241 ms,242 ms,262 ms
2022-04-19 17:56:30,275 ms,246 ms,319 ms,258 ms
2022-04-19 17:56:32,291 ms,254 ms,360 ms,259 ms
2022-04-19 17:56:34,309 ms,328 ms,344 ms,254 ms
2022-04-19 17:56:36,305 ms,334 ms,337 ms,243 ms
