"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 18:04:18,296 ms,245 ms,380 ms,264 ms
2022-04-19 18:04:20,297 ms,250 ms,381 ms,259 ms
2022-04-19 18:04:22,270 ms,261 ms,285 ms,264 ms
2022-04-19 18:04:24,259 ms,240 ms,277 ms,259 ms
2022-04-19 18:04:26,275 ms,245 ms,279 ms,300 ms
2022-04-19 18:04:28,274 ms,250 ms,266 ms,305 ms
2022-04-19 18:04:30,266 ms,252 ms,237 ms,309 ms
2022-04-19 18:04:32,277 ms,267 ms,244 ms,320 ms
2022-04-19 18:04:34,278 ms,276 ms,256 ms,303 ms
2022-04-19 18:04:36,264 ms,274 ms,263 ms,256 ms
2022-04-19 18:04:38,263 ms,271 ms,264 ms,253 ms
2022-04-19 18:04:40,254 ms,251 ms,261 ms,251 ms
2022-04-19 18:04:42,254 ms,252 ms,260 ms,250 ms
2022-04-19 18:04:44,255 ms,254 ms,252 ms,259 ms
2022-04-19 18:04:46,258 ms,254 ms,253 ms,268 ms
2022-04-19 18:04:48,272 ms,257 ms,296 ms,264 ms
2022-04-19 18:04:50,272 ms,260 ms,290 ms,266 ms
2022-04-19 18:04:52,282 ms,283 ms,294 ms,269 ms
2022-04-19 18:04:54,317 ms,387 ms,293 ms,271 ms
2022-04-19 18:04:56,291 ms,366 ms,249 ms,259 ms
2022-04-19 18:04:58,286 ms,348 ms,251 ms,259 ms
2022-04-19 18:05:00,284 ms,357 ms,250 ms,246 ms
2022-04-19 18:05:02,262 ms,296 ms,253 ms,237 ms
2022-04-19 18:05:04,250 ms,257 ms,251 ms,241 ms
2022-04-19 18:05:06,259 ms,264 ms,259 ms,252 ms
2022-04-19 18:05:08,253 ms,258 ms,253 ms,249 ms
2022-04-19 18:05:10,249 ms,253 ms,246 ms,248 ms
2022-04-19 18:05:12,255 ms,265 ms,245 ms,255 ms
2022-04-19 18:05:14,276 ms,334 ms,246 ms,247 ms
2022-04-19 18:05:16,272 ms,331 ms,244 ms,242 ms
2022-04-19 18:05:18,276 ms,339 ms,242 ms,246 ms
2022-04-19 18:05:20,284 ms,358 ms,249 ms,246 ms
2022-04-19 18:05:22,278 ms,269 ms,311 ms,253 ms
2022-04-19 18:05:24,282 ms,267 ms,331 ms,248 ms
2022-04-19 18:05:26,289 ms,261 ms,322 ms,283 ms
2022-04-19 18:05:28,289 ms,259 ms,306 ms,303 ms
2022-04-19 18:05:30,275 ms,276 ms,257 ms,292 ms
2022-04-19 18:05:32,344 ms,438 ms,292 ms,301 ms
2022-04-19 18:05:34,333 ms,418 ms,302 ms,278 ms
2022-04-19 18:05:36,342 ms,427 ms,312 ms,286 ms
2022-04-19 18:05:38,352 ms,453 ms,319 ms,282 ms
2022-04-19 18:05:40,286 ms,297 ms,273 ms,288 ms
2022-04-19 18:05:42,272 ms,263 ms,269 ms,285 ms
2022-04-19 18:05:44,265 ms,263 ms,255 ms,276 ms
2022-04-19 18:05:46,263 ms,268 ms,255 ms,265 ms
2022-04-19 18:05:48,260 ms,262 ms,254 ms,263 ms
2022-04-19 18:05:50,261 ms,261 ms,258 ms,263 ms
2022-04-19 18:05:52,267 ms,260 ms,262 ms,280 ms
2022-04-19 18:05:54,270 ms,267 ms,264 ms,278 ms
2022-04-19 18:05:56,269 ms,267 ms,263 ms,276 ms
2022-04-19 18:05:58,270 ms,270 ms,271 ms,271 ms
2022-04-19 18:06:00,264 ms,263 ms,266 ms,262 ms
2022-04-19 18:06:02,260 ms,266 ms,262 ms,252 ms
2022-04-19 18:06:04,256 ms,257 ms,257 ms,253 ms
2022-04-19 18:06:06,254 ms,253 ms,257 ms,253 ms
2022-04-19 18:06:08,266 ms,284 ms,258 ms,254 ms
2022-04-19 18:06:10,265 ms,292 ms,255 ms,249 ms
2022-04-19 18:06:12,262 ms,294 ms,255 ms,238 ms
2022-04-19 18:06:14,271 ms,290 ms,273 ms,251 ms
2022-04-19 18:06:16,262 ms,268 ms,267 ms,251 ms
2022-04-19 18:06:18,259 ms,259 ms,266 ms,251 ms
2022-04-19 18:06:20,262 ms,254 ms,265 ms,268 ms
2022-04-19 18:06:22,260 ms,252 ms,260 ms,268 ms
2022-04-19 18:06:24,258 ms,243 ms,256 ms,275 ms
2022-04-19 18:06:26,267 ms,237 ms,289 ms,275 ms
2022-04-19 18:06:28,265 ms,247 ms,285 ms,264 ms
2022-04-19 18:06:30,298 ms,344 ms,286 ms,264 ms
2022-04-19 18:06:32,294 ms,353 ms,278 ms,251 ms
2022-04-19 18:06:34,296 ms,360 ms,274 ms,255 ms
2022-04-19 18:06:36,307 ms,389 ms,256 ms,274 ms
2022-04-19 18:06:38,297 ms,381 ms,237 ms,275 ms
2022-04-19 18:06:40,269 ms,274 ms,231 ms,303 ms
2022-04-19 18:06:42,283 ms,285 ms,250 ms,313 ms
2022-04-19 18:06:44,274 ms,284 ms,242 ms,295 ms
2022-04-19 18:06:46,273 ms,278 ms,251 ms,291 ms
2022-04-19 18:06:48,266 ms,271 ms,252 ms,273 ms
2022-04-19 18:06:50,262 ms,265 ms,261 ms,259 ms
2022-04-19 18:06:52,268 ms,281 ms,261 ms,261 ms
2022-04-19 18:06:54,264 ms,278 ms,259 ms,256 ms
2022-04-19 18:06:56,275 ms,296 ms,260 ms,267 ms
2022-04-19 18:06:58,276 ms,290 ms,274 ms,264 ms
2022-04-19 18:07:00,273 ms,281 ms,271 ms,267 ms
2022-04-19 18:07:02,273 ms,249 ms,273 ms,296 ms
2022-04-19 18:07:04,267 ms,251 ms,262 ms,289 ms
2022-04-19 18:07:06,264 ms,247 ms,255 ms,290 ms
2022-04-19 18:07:08,261 ms,247 ms,252 ms,284 ms
2022-04-19 18:07:10,258 ms,266 ms,241 ms,268 ms
2022-04-19 18:07:12,268 ms,269 ms,273 ms,261 ms
2022-04-19 18:07:14,298 ms,362 ms,276 ms,256 ms
2022-04-19 18:07:16,302 ms,350 ms,305 ms,249 ms
2022-04-19 18:07:18,293 ms,336 ms,305 ms,237 ms
2022-04-19 18:07:20,294 ms,331 ms,299 ms,252 ms
2022-04-19 18:07:22,277 ms,266 ms,308 ms,257 ms
2022-04-19 18:07:24,275 ms,258 ms,305 ms,262 ms
2022-04-19 18:07:26,279 ms,260 ms,309 ms,267 ms
2022-04-19 18:07:28,289 ms,261 ms,305 ms,302 ms
2022-04-19 18:07:30,274 ms,258 ms,257 ms,307 ms
2022-04-19 18:07:32,278 ms,271 ms,261 ms,301 ms
2022-04-19 18:07:34,279 ms,275 ms,267 ms,295 ms
2022-04-19 18:07:36,279 ms,279 ms,267 ms,292 ms
2022-04-19 18:07:38,267 ms,281 ms,268 ms,253 ms
2022-04-19 18:07:40,263 ms,277 ms,259 ms,253 ms
2022-04-19 18:07:42,259 ms,273 ms,248 ms,256 ms
2022-04-19 18:07:44,274 ms,279 ms,260 ms,284 ms
2022-04-19 18:07:46,264 ms,261 ms,254 ms,278 ms
2022-04-19 18:07:48,264 ms,261 ms,255 ms,277 ms
2022-04-19 18:07:50,260 ms,246 ms,258 ms,275 ms
2022-04-19 18:07:52,255 ms,234 ms,270 ms,260 ms
2022-04-19 18:07:54,270 ms,238 ms,290 ms,282 ms
2022-04-19 18:07:56,270 ms,239 ms,284 ms,288 ms
2022-04-19 18:07:58,273 ms,244 ms,287 ms,288 ms
2022-04-19 18:08:00,275 ms,248 ms,311 ms,266 ms
2022-04-19 18:08:02,294 ms,332 ms,291 ms,259 ms
2022-04-19 18:08:04,294 ms,343 ms,291 ms,248 ms
2022-04-19 18:08:06,295 ms,347 ms,292 ms,247 ms
2022-04-19 18:08:08,293 ms,342 ms,290 ms,246 ms
2022-04-19 18:08:10,255 ms,265 ms,253 ms,247 ms
2022-04-19 18:08:12,252 ms,260 ms,249 ms,248 ms
2022-04-19 18:08:14,283 ms,256 ms,348 ms,244 ms
2022-04-19 18:08:16,281 ms,256 ms,347 ms,240 ms
2022-04-19 18:08:18,274 ms,242 ms,343 ms,238 ms
2022-04-19 18:08:20,290 ms,300 ms,338 ms,232 ms
2022-04-19 18:08:22,305 ms,322 ms,355 ms,238 ms
2022-04-19 18:08:24,274 ms,324 ms,253 ms,246 ms
2022-04-19 18:08:26,315 ms,339 ms,354 ms,254 ms
2022-04-19 18:08:28,307 ms,271 ms,372 ms,278 ms
2022-04-19 18:08:30,319 ms,279 ms,407 ms,270 ms
2022-04-19 18:08:32,310 ms,265 ms,393 ms,274 ms
2022-04-19 18:08:34,313 ms,272 ms,391 ms,277 ms
2022-04-19 18:08:36,301 ms,273 ms,375 ms,255 ms
2022-04-19 18:08:38,316 ms,307 ms,348 ms,294 ms
2022-04-19 18:08:40,299 ms,308 ms,294 ms,294 ms
2022-04-19 18:08:42,302 ms,314 ms,288 ms,303 ms
2022-04-19 18:08:44,280 ms,300 ms,255 ms,286 ms
2022-04-19 18:08:46,261 ms,275 ms,254 ms,254 ms
2022-04-19 18:08:48,262 ms,274 ms,255 ms,257 ms
2022-04-19 18:08:50,261 ms,267 ms,253 ms,263 ms
2022-04-19 18:08:52,254 ms,238 ms,254 ms,270 ms
2022-04-19 18:08:54,265 ms,246 ms,254 ms,295 ms
2022-04-19 18:08:56,269 ms,249 ms,267 ms,289 ms
2022-04-19 18:08:58,266 ms,251 ms,268 ms,279 ms
2022-04-19 18:09:00,262 ms,248 ms,268 ms,271 ms
2022-04-19 18:09:02,260 ms,247 ms,282 ms,250 ms
2022-04-19 18:09:04,280 ms,304 ms,288 ms,246 ms
2022-04-19 18:09:06,275 ms,298 ms,277 ms,251 ms
2022-04-19 18:09:08,286 ms,317 ms,283 ms,257 ms
2022-04-19 18:09:10,280 ms,314 ms,264 ms,261 ms
2022-04-19 18:09:12,284 ms,270 ms,325 ms,257 ms
2022-04-19 18:09:14,292 ms,265 ms,355 ms,257 ms
2022-04-19 18:09:16,279 ms,255 ms,343 ms,239 ms
2022-04-19 18:09:18,282 ms,251 ms,348 ms,246 ms
2022-04-19 18:09:20,280 ms,248 ms,343 ms,250 ms
2022-04-19 18:09:22,263 ms,254 ms,259 ms,278 ms
2022-04-19 18:09:24,275 ms,266 ms,263 ms,297 ms
2022-04-19 18:09:26,284 ms,277 ms,274 ms,301 ms
2022-04-19 18:09:28,283 ms,274 ms,273 ms,303 ms
2022-04-19 18:09:30,282 ms,274 ms,259 ms,314 ms
2022-04-19 18:09:32,259 ms,271 ms,262 ms,245 ms
2022-04-19 18:09:34,260 ms,268 ms,260 ms,251 ms
2022-04-19 18:09:36,255 ms,262 ms,260 ms,242 ms
2022-04-19 18:09:38,242 ms,233 ms,261 ms,232 ms
2022-04-19 18:09:40,244 ms,233 ms,253 ms,244 ms
2022-04-19 18:09:42,246 ms,234 ms,259 ms,245 ms
2022-04-19 18:09:44,253 ms,248 ms,255 ms,256 ms
2022-04-19 18:09:46,255 ms,261 ms,255 ms,250 ms
2022-04-19 18:09:48,264 ms,271 ms,269 ms,254 ms
2022-04-19 18:09:50,273 ms,293 ms,275 ms,250 ms
2022-04-19 18:09:52,273 ms,298 ms,275 ms,245 ms
2022-04-19 18:09:54,275 ms,289 ms,287 ms,248 ms
2022-04-19 18:09:56,271 ms,291 ms,262 ms,260 ms
2022-04-19 18:09:58,262 ms,258 ms,268 ms,261 ms
2022-04-19 18:10:00,286 ms,248 ms,353 ms,259 ms
2022-04-19 18:10:02,286 ms,249 ms,348 ms,261 ms
2022-04-19 18:10:04,290 ms,257 ms,364 ms,249 ms
2022-04-19 18:10:06,303 ms,296 ms,361 ms,253 ms
2022-04-19 18:10:08,318 ms,330 ms,366 ms,259 ms
2022-04-19 18:10:10,295 ms,332 ms,293 ms,260 ms
2022-04-19 18:10:12,285 ms,334 ms,272 ms,248 ms
2022-04-19 18:10:14,291 ms,362 ms,267 ms,243 ms
2022-04-19 18:10:16,255 ms,258 ms,262 ms,243 ms
2022-04-19 18:10:18,244 ms,261 ms,232 ms,238 ms
2022-04-19 18:10:20,251 ms,256 ms,247 ms,249 ms
2022-04-19 18:10:22,282 ms,308 ms,271 ms,267 ms
2022-04-19 18:10:24,286 ms,305 ms,286 ms,267 ms
2022-04-19 18:10:26,279 ms,291 ms,291 ms,254 ms
2022-04-19 18:10:28,282 ms,295 ms,300 ms,252 ms
2022-04-19 18:10:30,322 ms,290 ms,336 ms,340 ms
2022-04-19 18:10:32,306 ms,259 ms,336 ms,324 ms
2022-04-19 18:10:34,302 ms,264 ms,316 ms,327 ms
2022-04-19 18:10:36,307 ms,262 ms,313 ms,347 ms
2022-04-19 18:10:38,298 ms,262 ms,285 ms,347 ms
2022-04-19 18:10:40,280 ms,297 ms,288 ms,255 ms
2022-04-19 18:10:42,290 ms,306 ms,290 ms,273 ms
2022-04-19 18:10:44,292 ms,300 ms,293 ms,283 ms
2022-04-19 18:10:46,282 ms,297 ms,273 ms,278 ms
2022-04-19 18:10:48,275 ms,270 ms,274 ms,280 ms
2022-04-19 18:10:50,270 ms,269 ms,263 ms,280 ms
2022-04-19 18:10:52,264 ms,262 ms,268 ms,263 ms
2022-04-19 18:10:54,266 ms,268 ms,266 ms,264 ms
2022-04-19 18:10:56,265 ms,271 ms,268 ms,258 ms
2022-04-19 18:10:58,275 ms,271 ms,306 ms,249 ms
2022-04-19 18:11:00,278 ms,278 ms,306 ms,251 ms
2022-04-19 18:11:02,278 ms,281 ms,305 ms,248 ms
2022-04-19 18:11:04,304 ms,358 ms,304 ms,249 ms
2022-04-19 18:11:06,293 ms,359 ms,259 ms,261 ms
2022-04-19 18:11:08,320 ms,352 ms,259 ms,348 ms
2022-04-19 18:11:10,318 ms,357 ms,261 ms,337 ms
2022-04-19 18:11:12,323 ms,380 ms,263 ms,326 ms
2022-04-19 18:11:14,318 ms,357 ms,284 ms,315 ms
2022-04-19 18:11:16,300 ms,349 ms,301 ms,250 ms
2022-04-19 18:11:18,309 ms,343 ms,302 ms,280 ms
2022-04-19 18:11:20,312 ms,331 ms,317 ms,288 ms
2022-04-19 18:11:22,285 ms,251 ms,313 ms,292 ms
2022-04-19 18:11:24,278 ms,278 ms,262 ms,293 ms
2022-04-19 18:11:26,281 ms,291 ms,270 ms,281 ms
2022-04-19 18:11:28,293 ms,284 ms,317 ms,277 ms
2022-04-19 18:11:30,301 ms,285 ms,339 ms,278 ms
2022-04-19 18:11:32,306 ms,262 ms,369 ms,287 ms
2022-04-19 18:11:34,308 ms,278 ms,372 ms,275 ms
2022-04-19 18:11:36,327 ms,307 ms,400 ms,274 ms
2022-04-19 18:11:38,298 ms,311 ms,324 ms,259 ms
2022-04-19 18:11:40,308 ms,324 ms,307 ms,294 ms
2022-04-19 18:11:42,300 ms,338 ms,275 ms,288 ms
2022-04-19 18:11:44,299 ms,319 ms,276 ms,302 ms
2022-04-19 18:11:46,300 ms,318 ms,286 ms,295 ms
2022-04-19 18:11:48,282 ms,319 ms,278 ms,250 ms
2022-04-19 18:11:50,276 ms,271 ms,297 ms,261 ms
2022-04-19 18:11:52,266 ms,258 ms,278 ms,262 ms
2022-04-19 18:11:54,267 ms,254 ms,275 ms,271 ms
2022-04-19 18:11:56,263 ms,251 ms,266 ms,272 ms
2022-04-19 18:11:58,277 ms,254 ms,291 ms,286 ms
2022-04-19 18:12:00,304 ms,350 ms,287 ms,275 ms
2022-04-19 18:12:02,294 ms,330 ms,280 ms,273 ms
2022-04-19 18:12:04,289 ms,326 ms,280 ms,259 ms
2022-04-19 18:12:06,283 ms,330 ms,258 ms,261 ms
2022-04-19 18:12:08,261 ms,267 ms,255 ms,261 ms
2022-04-19 18:12:10,258 ms,262 ms,262 ms,250 ms
2022-04-19 18:12:12,261 ms,262 ms,270 ms,250 ms
2022-04-19 18:12:14,297 ms,365 ms,278 ms,249 ms
2022-04-19 18:12:16,284 ms,345 ms,264 ms,241 ms
2022-04-19 18:12:18,302 ms,360 ms,287 ms,258 ms
2022-04-19 18:12:20,294 ms,335 ms,282 ms,266 ms
2022-04-19 18:12:22,286 ms,329 ms,272 ms,256 ms
2022-04-19 18:12:24,268 ms,274 ms,270 ms,259 ms
2022-04-19 18:12:26,269 ms,297 ms,254 ms,257 ms
2022-04-19 18:12:28,278 ms,316 ms,267 ms,250 ms
2022-04-19 18:12:30,288 ms,300 ms,264 ms,300 ms
2022-04-19 18:12:32,310 ms,383 ms,269 ms,278 ms
2022-04-19 18:12:34,314 ms,398 ms,272 ms,273 ms
2022-04-19 18:12:36,303 ms,372 ms,263 ms,274 ms
2022-04-19 18:12:38,324 ms,377 ms,321 ms,274 ms
2022-04-19 18:12:40,307 ms,357 ms,325 ms,239 ms
2022-04-19 18:12:42,283 ms,240 ms,345 ms,266 ms
2022-04-19 18:12:44,287 ms,254 ms,349 ms,257 ms
2022-04-19 18:12:46,283 ms,259 ms,336 ms,255 ms
2022-04-19 18:12:48,262 ms,262 ms,268 ms,255 ms
2022-04-19 18:12:50,263 ms,267 ms,271 ms,252 ms
2022-04-19 18:12:52,291 ms,300 ms,289 ms,283 ms
2022-04-19 18:12:54,294 ms,286 ms,307 ms,288 ms
2022-04-19 18:12:56,292 ms,285 ms,304 ms,288 ms
2022-04-19 18:12:58,287 ms,266 ms,306 ms,288 ms
2022-04-19 18:13:00,290 ms,287 ms,288 ms,294 ms
2022-04-19 18:13:02,289 ms,267 ms,286 ms,313 ms
2022-04-19 18:13:04,276 ms,271 ms,236 ms,319 ms
2022-04-19 18:13:06,282 ms,279 ms,249 ms,318 ms
2022-04-19 18:13:08,292 ms,278 ms,252 ms,346 ms
2022-04-19 18:13:10,279 ms,254 ms,269 ms,314 ms
2022-04-19 18:13:12,278 ms,251 ms,281 ms,302 ms
2022-04-19 18:13:14,323 ms,251 ms,279 ms,441 ms
2022-04-19 18:13:16,317 ms,237 ms,286 ms,429 ms
2022-04-19 18:13:18,315 ms,242 ms,281 ms,421 ms
2022-04-19 18:13:20,339 ms,299 ms,277 ms,442 ms
2022-04-19 18:13:22,335 ms,289 ms,278 ms,439 ms
2022-04-19 18:13:24,302 ms,299 ms,273 ms,334 ms
2022-04-19 18:13:26,288 ms,306 ms,281 ms,277 ms
2022-04-19 18:13:28,285 ms,305 ms,276 ms,274 ms
2022-04-19 18:13:30,260 ms,248 ms,271 ms,262 ms
2022-04-19 18:13:32,247 ms,250 ms,250 ms,241 ms
2022-04-19 18:13:34,252 ms,249 ms,234 ms,272 ms
2022-04-19 18:13:36,252 ms,253 ms,241 ms,263 ms
2022-04-19 18:13:38,260 ms,245 ms,274 ms,260 ms
2022-04-19 18:13:40,274 ms,258 ms,274 ms,290 ms
2022-04-19 18:13:42,271 ms,247 ms,283 ms,283 ms
2022-04-19 18:13:44,272 ms,243 ms,290 ms,282 ms
2022-04-19 18:13:46,273 ms,254 ms,265 ms,301 ms
2022-04-19 18:13:48,271 ms,268 ms,260 ms,285 ms
2022-04-19 18:13:50,254 ms,259 ms,255 ms,247 ms
2022-04-19 18:13:52,255 ms,266 ms,252 ms,247 ms
2022-04-19 18:13:54,269 ms,296 ms,266 ms,246 ms
2022-04-19 18:13:56,263 ms,280 ms,263 ms,245 ms
2022-04-19 18:13:58,270 ms,282 ms,275 ms,254 ms
2022-04-19 18:14:00,283 ms,285 ms,300 ms,263 ms
2022-04-19 18:14:02,296 ms,262 ms,301 ms,324 ms
2022-04-19 18:14:04,308 ms,298 ms,291 ms,336 ms
2022-04-19 18:14:06,304 ms,299 ms,295 ms,319 ms
2022-04-19 18:14:08,291 ms,296 ms,248 ms,327 ms
2022-04-19 18:14:10,286 ms,293 ms,255 ms,310 ms
2022-04-19 18:14:12,252 ms,261 ms,242 ms,252 ms
2022-04-19 18:14:14,249 ms,259 ms,230 ms,256 ms
2022-04-19 18:14:16,249 ms,255 ms,221 ms,271 ms
2022-04-19 18:14:18,248 ms,266 ms,224 ms,255 ms
2022-04-19 18:14:20,262 ms,263 ms,234 ms,291 ms
2022-04-19 18:14:22,266 ms,273 ms,236 ms,288 ms
2022-04-19 18:14:24,271 ms,287 ms,243 ms,282 ms
2022-04-19 18:14:26,270 ms,291 ms,248 ms,272 ms
2022-04-19 18:14:28,271 ms,298 ms,244 ms,270 ms
2022-04-19 18:14:30,258 ms,298 ms,234 ms,241 ms
2022-04-19 18:14:32,250 ms,270 ms,246 ms,235 ms
2022-04-19 18:14:34,269 ms,261 ms,240 ms,307 ms
2022-04-19 18:14:36,280 ms,254 ms,240 ms,346 ms
2022-04-19 18:14:38,279 ms,255 ms,248 ms,333 ms
2022-04-19 18:14:40,326 ms,417 ms,252 ms,308 ms
2022-04-19 18:14:42,339 ms,451 ms,259 ms,307 ms
2022-04-19 18:14:44,317 ms,451 ms,256 ms,245 ms
2022-04-19 18:14:46,319 ms,463 ms,257 ms,237 ms
2022-04-19 18:14:48,287 ms,371 ms,249 ms,241 ms
2022-04-19 18:14:50,276 ms,281 ms,259 ms,287 ms
2022-04-19 18:14:52,299 ms,262 ms,259 ms,375 ms
2022-04-19 18:14:54,301 ms,269 ms,255 ms,378 ms
2022-04-19 18:14:56,347 ms,276 ms,260 ms,505 ms
2022-04-19 18:14:58,342 ms,273 ms,264 ms,488 ms
2022-04-19 18:15:00,337 ms,271 ms,272 ms,468 ms
2022-04-19 18:15:02,339 ms,283 ms,278 ms,457 ms
2022-04-19 18:15:04,326 ms,272 ms,266 ms,442 ms
2022-04-19 18:15:06,255 ms,265 ms,253 ms,247 ms
2022-04-19 18:15:08,254 ms,271 ms,251 ms,240 ms
2022-04-19 18:15:10,249 ms,273 ms,247 ms,227 ms
2022-04-19 18:15:12,271 ms,262 ms,256 ms,295 ms
2022-04-19 18:15:14,287 ms,266 ms,284 ms,311 ms
2022-04-19 18:15:16,304 ms,253 ms,285 ms,374 ms
2022-04-19 18:15:18,291 ms,235 ms,293 ms,344 ms
2022-04-19 18:15:20,296 ms,246 ms,298 ms,345 ms
2022-04-19 18:15:22,348 ms,445 ms,276 ms,324 ms
2022-04-19 18:15:24,335 ms,416 ms,276 ms,313 ms
2022-04-19 18:15:26,321 ms,414 ms,285 ms,263 ms
2022-04-19 18:15:28,332 ms,453 ms,275 ms,268 ms
2022-04-19 18:15:30,336 ms,410 ms,338 ms,261 ms
2022-04-19 18:15:32,302 ms,297 ms,359 ms,250 ms
2022-04-19 18:15:34,305 ms,272 ms,346 ms,297 ms
2022-04-19 18:15:36,304 ms,267 ms,359 ms,287 ms
2022-04-19 18:15:38,297 ms,242 ms,359 ms,290 ms
2022-04-19 18:15:40,272 ms,247 ms,285 ms,286 ms
2022-04-19 18:15:42,303 ms,250 ms,356 ms,302 ms
2022-04-19 18:15:44,299 ms,275 ms,360 ms,260 ms
2022-04-19 18:15:46,291 ms,279 ms,328 ms,267 ms
2022-04-19 18:15:48,293 ms,285 ms,325 ms,270 ms
2022-04-19 18:15:50,300 ms,285 ms,320 ms,294 ms
2022-04-19 18:15:52,268 ms,276 ms,246 ms,282 ms
2022-04-19 18:15:54,275 ms,274 ms,272 ms,280 ms
2022-04-19 18:15:56,272 ms,268 ms,268 ms,280 ms
2022-04-19 18:15:58,264 ms,268 ms,270 ms,254 ms
2022-04-19 18:16:00,261 ms,268 ms,268 ms,246 ms
2022-04-19 18:16:02,260 ms,265 ms,247 ms,267 ms
2022-04-19 18:16:04,260 ms,259 ms,250 ms,271 ms
2022-04-19 18:16:06,258 ms,258 ms,247 ms,270 ms
2022-04-19 18:16:08,260 ms,254 ms,249 ms,278 ms
2022-04-19 18:16:10,261 ms,258 ms,248 ms,276 ms
2022-04-19 18:16:12,261 ms,278 ms,249 ms,257 ms
2022-04-19 18:16:14,259 ms,285 ms,248 ms,242 ms
2022-04-19 18:16:16,261 ms,292 ms,255 ms,236 ms
2022-04-19 18:16:18,305 ms,291 ms,331 ms,292 ms
2022-04-19 18:16:20,337 ms,291 ms,372 ms,347 ms
2022-04-19 18:16:22,333 ms,271 ms,384 ms,345 ms
2022-04-19 18:16:24,354 ms,297 ms,399 ms,366 ms
2022-04-19 18:16:26,353 ms,286 ms,405 ms,367 ms
2022-04-19 18:16:28,294 ms,293 ms,313 ms,274 ms
2022-04-19 18:16:30,282 ms,284 ms,275 ms,288 ms
2022-04-19 18:16:32,258 ms,248 ms,274 ms,252 ms
2022-04-19 18:16:34,274 ms,251 ms,312 ms,259 ms
2022-04-19 18:16:36,296 ms,262 ms,322 ms,302 ms
2022-04-19 18:16:38,300 ms,275 ms,325 ms,300 ms
2022-04-19 18:16:40,313 ms,310 ms,332 ms,296 ms
2022-04-19 18:16:42,304 ms,320 ms,296 ms,296 ms
2022-04-19 18:16:44,275 ms,317 ms,253 ms,255 ms
2022-04-19 18:16:46,287 ms,321 ms,257 ms,283 ms
2022-04-19 18:16:48,272 ms,271 ms,272 ms,275 ms
2022-04-19 18:16:50,282 ms,271 ms,263 ms,311 ms
2022-04-19 18:16:52,278 ms,254 ms,266 ms,314 ms
2022-04-19 18:16:54,282 ms,246 ms,266 ms,335 ms
2022-04-19 18:16:56,289 ms,254 ms,265 ms,347 ms
2022-04-19 18:16:58,286 ms,254 ms,274 ms,330 ms
2022-04-19 18:17:00,290 ms,264 ms,275 ms,330 ms
2022-04-19 18:17:02,297 ms,273 ms,283 ms,334 ms
2022-04-19 18:17:04,268 ms,267 ms,272 ms,265 ms
2022-04-19 18:17:06,275 ms,245 ms,275 ms,304 ms
2022-04-19 18:17:08,290 ms,233 ms,309 ms,329 ms
2022-04-19 18:17:10,297 ms,241 ms,331 ms,320 ms
2022-04-19 18:17:12,304 ms,280 ms,331 ms,302 ms
2022-04-19 18:17:14,309 ms,298 ms,335 ms,293 ms
2022-04-19 18:17:16,299 ms,297 ms,323 ms,275 ms
2022-04-19 18:17:18,283 ms,322 ms,270 ms,257 ms
2022-04-19 18:17:20,283 ms,308 ms,280 ms,262 ms
2022-04-19 18:17:22,267 ms,267 ms,273 ms,261 ms
2022-04-19 18:17:24,275 ms,270 ms,271 ms,286 ms
2022-04-19 18:17:26,281 ms,285 ms,270 ms,286 ms
2022-04-19 18:17:28,268 ms,263 ms,258 ms,282 ms
2022-04-19 18:17:30,322 ms,424 ms,255 ms,286 ms
2022-04-19 18:17:32,326 ms,423 ms,269 ms,286 ms
2022-04-19 18:17:34,325 ms,428 ms,275 ms,271 ms
2022-04-19 18:17:36,333 ms,408 ms,310 ms,282 ms
2022-04-19 18:17:38,334 ms,417 ms,308 ms,278 ms
2022-04-19 18:17:40,275 ms,256 ms,303 ms,266 ms
2022-04-19 18:17:42,271 ms,259 ms,292 ms,262 ms
2022-04-19 18:17:44,268 ms,248 ms,271 ms,286 ms
2022-04-19 18:17:46,268 ms,242 ms,261 ms,301 ms
2022-04-19 18:17:48,268 ms,239 ms,256 ms,309 ms
2022-04-19 18:17:50,268 ms,239 ms,252 ms,314 ms
2022-04-19 18:17:52,263 ms,252 ms,253 ms,284 ms
2022-04-19 18:17:54,280 ms,317 ms,247 ms,277 ms
2022-04-19 18:17:56,269 ms,296 ms,253 ms,259 ms
2022-04-19 18:17:58,267 ms,282 ms,268 ms,253 ms
2022-04-19 18:18:00,265 ms,283 ms,267 ms,244 ms
2022-04-19 18:18:02,267 ms,277 ms,277 ms,247 ms
2022-04-19 18:18:04,261 ms,283 ms,274 ms,227 ms
2022-04-19 18:18:06,252 ms,271 ms,277 ms,208 ms
2022-04-19 18:18:08,262 ms,281 ms,276 ms,230 ms
2022-04-19 18:18:10,268 ms,287 ms,271 ms,245 ms
2022-04-19 18:18:12,265 ms,263 ms,287 ms,245 ms
2022-04-19 18:18:14,277 ms,274 ms,291 ms,265 ms
2022-04-19 18:18:16,284 ms,298 ms,291 ms,264 ms
2022-04-19 18:18:18,285 ms,299 ms,286 ms,271 ms
