"Time","edge-server-cv-78d887c496-pr2rl 60s","edge-server-cv-78d887c496-r2wgp 60s","edge-server-cv-78d887c496-kcrxl 60s","average"
2022-04-19 18:17:15,0.396,0.413,0.252,0.354
2022-04-19 18:17:30,0.396,0.413,0.252,0.354
2022-04-19 18:17:45,0.139,0.187,0.373,0.233
2022-04-19 18:18:00,0.139,0.187,0.373,0.233
2022-04-19 18:18:15,0.128,0.162,0.195,0.162
2022-04-19 18:18:30,0.128,0.162,0.195,0.162
2022-04-19 18:18:45,0.256,0.164,0.253,0.224
2022-04-19 18:19:00,0.256,0.164,0.253,0.224
2022-04-19 18:19:15,0.231,0.225,0.217,0.224
2022-04-19 18:19:30,0.231,0.225,0.217,0.224

