"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-pr2rl Memory Usage","edge-server-cv-78d887c496-r2wgp Memory Usage","edge-server-cv-78d887c496-kcrxl Memory Usage"
2022-04-19 18:09:00,2615238656,871746219,1081737216,770867200,762634240
2022-04-19 18:09:15,2798714880,932904960,863232000,1027190784,908292096
2022-04-19 18:09:30,2798714880,932904960,863232000,1027190784,908292096
2022-04-19 18:09:45,2774093824,924697941,738848768,1153691648,881553408
2022-04-19 18:10:00,2774093824,924697941,738848768,1153691648,881553408
2022-04-19 18:10:15,2925744128,975248043,942592000,1159987200,823164928
2022-04-19 18:10:30,2925744128,975248043,942592000,1159987200,823164928
2022-04-19 18:10:45,3380453376,1126817792,1482895360,625700864,1271857152
2022-04-19 18:11:00,3380453376,1126817792,1482895360,625700864,1271857152
2022-04-19 18:11:15,3775963136,1258654379,1132568576,1217298432,1426096128
2022-04-19 18:11:30,3775963136,1258654379,1132568576,1217298432,1426096128
2022-04-19 18:11:45,3101335552,1033778517,688459776,1130622976,1282252800
2022-04-19 18:12:00,3101335552,1033778517,688459776,1130622976,1282252800
2022-04-19 18:12:15,3203043328,1067681109,937660416,1076514816,1188868096
2022-04-19 18:12:30,3203043328,1067681109,937660416,1076514816,1188868096
2022-04-19 18:12:45,2883891200,961297067,781307904,1008381952,1094201344
2022-04-19 18:13:00,2883891200,961297067,781307904,1008381952,1094201344
2022-04-19 18:13:15,2682814464,894271488,945082368,1041604608,696127488
2022-04-19 18:13:30,2682814464,894271488,945082368,1041604608,696127488
2022-04-19 18:13:45,3335303168,1111767723,978788352,1492029440,864485376
2022-04-19 18:14:00,3335303168,1111767723,978788352,1492029440,864485376
2022-04-19 18:14:15,3172495360,1057498453,1072918528,1232187392,867389440
2022-04-19 18:14:30,3172495360,1057498453,1072918528,1232187392,867389440
2022-04-19 18:14:45,3193823232,1064607744,923000832,1227235328,1043587072
2022-04-19 18:15:00,3193823232,1064607744,923000832,1227235328,1043587072
2022-04-19 18:15:15,2700152832,900050944,889626624,834461696,976064512
2022-04-19 18:15:30,2700152832,900050944,889626624,834461696,976064512
2022-04-19 18:15:45,3252056064,1084018688,1084223488,948858880,1218973696
2022-04-19 18:16:00,3252056064,1084018688,1084223488,948858880,1218973696
2022-04-19 18:16:15,3183144960,1061048320,1155878912,1125617664,901648384
2022-04-19 18:16:30,3183144960,1061048320,1155878912,1125617664,901648384
2022-04-19 18:16:45,3622158336,1207386112,1169137664,1043652608,1409368064
2022-04-19 18:17:00,3622158336,1207386112,1169137664,1043652608,1409368064
2022-04-19 18:17:15,2727292928,909097643,696283136,1096220672,934789120
2022-04-19 18:17:30,2727292928,909097643,696283136,1096220672,934789120
2022-04-19 18:17:45,2953891840,984630613,966135808,1020620800,967135232
2022-04-19 18:18:00,2953891840,984630613,966135808,1020620800,967135232
2022-04-19 18:18:15,2476793856,825597952,727355392,1040343040,709095424
2022-04-19 18:18:30,2476793856,825597952,727355392,1040343040,709095424
2022-04-19 18:18:45,3627597824,1209199275,1109532672,1299750912,1218314240
2022-04-19 18:19:00,3627597824,1209199275,1109532672,1299750912,1218314240
2022-04-19 18:19:15,3308359680,1102786560,869306368,1436479488,1002573824
2022-04-19 18:19:30,3308359680,1102786560,869306368,1436479488,1002573824

