"Time"," Memory Usage"
2022-04-15 14:42:15,1147920384
2022-04-15 14:42:30,1147920384
2022-04-15 14:42:45,1103671296
2022-04-15 14:43:00,1103671296
2022-04-15 14:43:15,1027620864
2022-04-15 14:43:30,1027620864
2022-04-15 14:43:45,964808704
2022-04-15 14:44:00,964808704
2022-04-15 14:44:15,785510400
2022-04-15 14:44:30,785510400
2022-04-15 14:44:45,1181147136
2022-04-15 14:45:00,1181147136
2022-04-15 14:45:15,1163718656
2022-04-15 14:45:30,1163718656
2022-04-15 14:45:45,976986112
2022-04-15 14:46:00,976986112
2022-04-15 14:46:15,986738688
2022-04-15 14:46:30,986738688
2022-04-15 14:46:45,905842688
2022-04-15 14:47:00,905842688
2022-04-15 14:47:15,1160761344
2022-04-15 14:47:30,1160761344
2022-04-15 14:47:45,879693824
2022-04-15 14:48:00,879693824
2022-04-15 14:48:15,867004416
2022-04-15 14:48:30,867004416
2022-04-15 14:48:45,695279616
2022-04-15 14:49:00,695279616
2022-04-15 14:49:15,1020227584
2022-04-15 14:49:30,1020227584
2022-04-15 14:49:45,1226964992
2022-04-15 14:50:00,1226964992
2022-04-15 14:50:15,889548800
2022-04-15 14:50:30,889548800
2022-04-15 14:50:45,1290743808
2022-04-15 14:51:00,1290743808
2022-04-15 14:51:15,1009623040
2022-04-15 14:51:30,1009623040
2022-04-15 14:51:45,1081503744
2022-04-15 14:52:00,1081503744
2022-04-15 14:52:15,1319161856
2022-04-15 14:52:30,1319161856
2022-04-15 14:52:45,835764224
2022-04-15 14:53:00,835764224
2022-04-15 14:53:15,769486848
2022-04-15 14:53:30,769486848
2022-04-15 14:53:45,825507840
2022-04-15 14:54:00,825507840
2022-04-15 14:54:15,954060800
2022-04-15 14:54:30,954060800
2022-04-15 14:54:45,857219072
2022-04-15 14:55:00,857219072
2022-04-15 14:55:15,954007552
2022-04-15 14:55:30,954007552
2022-04-15 14:55:45,1068609536
2022-04-15 14:56:00,1068609536
2022-04-15 14:56:15,1246818304
2022-04-15 14:56:30,1246818304
2022-04-15 14:56:45,1035628544
2022-04-15 14:57:00,1035628544
2022-04-15 14:57:15,811225088
2022-04-15 14:57:30,811225088
2022-04-15 14:57:45,870256640
2022-04-15 14:58:00,870256640
2022-04-15 14:58:15,993619968
2022-04-15 14:58:30,993619968
2022-04-15 14:58:45,813367296
2022-04-15 14:59:00,813367296
2022-04-15 14:59:15,981286912
2022-04-15 14:59:30,981286912
2022-04-15 14:59:45,866762752
2022-04-15 15:00:00,866762752
2022-04-15 15:00:15,1079980032
2022-04-15 15:00:30,1079980032
2022-04-15 15:00:45,1447624704
2022-04-15 15:01:00,1447624704
2022-04-15 15:01:15,1029050368
2022-04-15 15:01:30,1029050368
2022-04-15 15:01:45,845701120
2022-04-15 15:02:00,845701120
2022-04-15 15:02:15,895352832
2022-04-15 15:02:30,895352832
2022-04-15 15:02:45,907894784
2022-04-15 15:03:00,907894784
2022-04-15 15:03:15,915996672
2022-04-15 15:03:30,915996672
2022-04-15 15:03:45,1247326208
2022-04-15 15:04:00,1247326208
2022-04-15 15:04:15,1152520192
2022-04-15 15:04:30,1152520192
2022-04-15 15:04:45,1041907712
2022-04-15 15:05:00,1041907712
2022-04-15 15:05:15,1092587520
2022-04-15 15:05:30,1092587520
2022-04-15 15:05:45,1060069376
2022-04-15 15:06:00,1060069376
2022-04-15 15:06:15,955179008
2022-04-15 15:06:30,955179008
2022-04-15 15:06:45,808955904
2022-04-15 15:07:00,808955904
2022-04-15 15:07:15,977063936
2022-04-15 15:07:30,977063936
2022-04-15 15:07:45,744255488
2022-04-15 15:08:00,744255488
2022-04-15 15:08:15,998293504
2022-04-15 15:08:30,998293504
2022-04-15 15:08:45,1055420416
2022-04-15 15:09:00,1055420416
2022-04-15 15:09:15,1412513792
2022-04-15 15:09:30,1412513792
2022-04-15 15:09:45,1223806976
2022-04-15 15:10:00,1223806976
2022-04-15 15:10:15,872472576
2022-04-15 15:10:30,872472576
2022-04-15 15:10:45,930713600
2022-04-15 15:11:00,930713600
2022-04-15 15:11:15,980271104

