"Time","Total requests"
2022-04-15 14:42:15,35
2022-04-15 14:42:30,39
2022-04-15 14:42:45,46
2022-04-15 14:43:00,50
2022-04-15 14:43:15,44
2022-04-15 14:43:30,37
2022-04-15 14:43:45,42
2022-04-15 14:44:00,39
2022-04-15 14:44:15,30
2022-04-15 14:44:30,34
2022-04-15 14:44:45,47
2022-04-15 14:45:00,48
2022-04-15 14:45:15,36
2022-04-15 14:45:30,40
2022-04-15 14:45:45,43
2022-04-15 14:46:00,37
2022-04-15 14:46:15,38
2022-04-15 14:46:30,42
2022-04-15 14:46:45,37
2022-04-15 14:47:00,41
2022-04-15 14:47:15,51
2022-04-15 14:47:30,47
2022-04-15 14:47:45,37
2022-04-15 14:48:00,33
2022-04-15 14:48:15,33
2022-04-15 14:48:30,38
2022-04-15 14:48:45,40
2022-04-15 14:49:00,39
2022-04-15 14:49:15,38
2022-04-15 14:49:30,41
2022-04-15 14:49:45,43
2022-04-15 14:50:00,50
2022-04-15 14:50:15,43
2022-04-15 14:50:30,48
2022-04-15 14:50:45,51
2022-04-15 14:51:00,47
2022-04-15 14:51:15,42
2022-04-15 14:51:30,48
2022-04-15 14:51:45,51
2022-04-15 14:52:00,38
2022-04-15 14:52:15,48
2022-04-15 14:52:30,44
2022-04-15 14:52:45,42
2022-04-15 14:53:00,40
2022-04-15 14:53:15,34
2022-04-15 14:53:30,32
2022-04-15 14:53:45,39
2022-04-15 14:54:00,41
2022-04-15 14:54:15,44
2022-04-15 14:54:30,48
2022-04-15 14:54:45,36
2022-04-15 14:55:00,38
2022-04-15 14:55:15,41
2022-04-15 14:55:30,38
2022-04-15 14:55:45,41
2022-04-15 14:56:00,32
2022-04-15 14:56:15,38
2022-04-15 14:56:30,38
2022-04-15 14:56:45,41
2022-04-15 14:57:00,41
2022-04-15 14:57:15,31
2022-04-15 14:57:30,38
2022-04-15 14:57:45,46
2022-04-15 14:58:00,51
2022-04-15 14:58:15,35
2022-04-15 14:58:30,33
2022-04-15 14:58:45,37
2022-04-15 14:59:00,32
2022-04-15 14:59:15,29
2022-04-15 14:59:30,34
2022-04-15 14:59:45,34
2022-04-15 15:00:00,38
2022-04-15 15:00:15,40
2022-04-15 15:00:30,37
2022-04-15 15:00:45,36
2022-04-15 15:01:00,38
2022-04-15 15:01:15,33
2022-04-15 15:01:30,31
2022-04-15 15:01:45,37
2022-04-15 15:02:00,42
2022-04-15 15:02:15,37
2022-04-15 15:02:30,38
2022-04-15 15:02:45,31
2022-04-15 15:03:00,34
2022-04-15 15:03:15,41
2022-04-15 15:03:30,41
2022-04-15 15:03:45,46
2022-04-15 15:04:00,40
2022-04-15 15:04:15,27
2022-04-15 15:04:30,30
2022-04-15 15:04:45,35
2022-04-15 15:05:00,38
2022-04-15 15:05:15,39
2022-04-15 15:05:30,34
2022-04-15 15:05:45,38
2022-04-15 15:06:00,50
2022-04-15 15:06:15,42
2022-04-15 15:06:30,31
2022-04-15 15:06:45,36
2022-04-15 15:07:00,42
2022-04-15 15:07:15,34
2022-04-15 15:07:30,31
2022-04-15 15:07:45,39
2022-04-15 15:08:00,48
2022-04-15 15:08:15,47
2022-04-15 15:08:30,47
2022-04-15 15:08:45,42
2022-04-15 15:09:00,42
2022-04-15 15:09:15,42
2022-04-15 15:09:30,31
2022-04-15 15:09:45,36
2022-04-15 15:10:00,38
2022-04-15 15:10:15,35
2022-04-15 15:10:30,35
2022-04-15 15:10:45,39
2022-04-15 15:11:00,48
2022-04-15 15:11:15,47

