"Time","60s"
2022-04-15 14:42:15,0.390
2022-04-15 14:42:30,0.390
2022-04-15 14:42:45,1.24
2022-04-15 14:43:00,1.24
2022-04-15 14:43:15,0.778
2022-04-15 14:43:30,0.778
2022-04-15 14:43:45,0.566
2022-04-15 14:44:00,0.566
2022-04-15 14:44:15,0.698
2022-04-15 14:44:30,0.698
2022-04-15 14:44:45,1.35
2022-04-15 14:45:00,1.35
2022-04-15 14:45:15,0.195
2022-04-15 14:45:30,0.195
2022-04-15 14:45:45,1.07
2022-04-15 14:46:00,1.07
2022-04-15 14:46:15,0.592
2022-04-15 14:46:30,0.592
2022-04-15 14:46:45,0.447
2022-04-15 14:47:00,0.447
2022-04-15 14:47:15,0.587
2022-04-15 14:47:30,0.587
2022-04-15 14:47:45,0.831
2022-04-15 14:48:00,0.831
2022-04-15 14:48:15,0.376
2022-04-15 14:48:30,0.376
2022-04-15 14:48:45,0.314
2022-04-15 14:49:00,0.314
2022-04-15 14:49:15,0.369
2022-04-15 14:49:30,0.369
2022-04-15 14:49:45,1.46
2022-04-15 14:50:00,1.46
2022-04-15 14:50:15,1.23
2022-04-15 14:50:30,1.23
2022-04-15 14:50:45,0.714
2022-04-15 14:51:00,0.714
2022-04-15 14:51:15,0.865
2022-04-15 14:51:30,0.865
2022-04-15 14:51:45,1.20
2022-04-15 14:52:00,1.20
2022-04-15 14:52:15,2.12
2022-04-15 14:52:30,2.12
2022-04-15 14:52:45,0.660
2022-04-15 14:53:00,0.660
2022-04-15 14:53:15,0.888
2022-04-15 14:53:30,0.888
2022-04-15 14:53:45,1.41
2022-04-15 14:54:00,1.41
2022-04-15 14:54:15,0.451
2022-04-15 14:54:30,0.451
2022-04-15 14:54:45,3.47
2022-04-15 14:55:00,3.47
2022-04-15 14:55:15,1.00
2022-04-15 14:55:30,1.00
2022-04-15 14:55:45,1.87
2022-04-15 14:56:00,1.87
2022-04-15 14:56:15,0.344
2022-04-15 14:56:30,0.344
2022-04-15 14:56:45,0.574
2022-04-15 14:57:00,0.574
2022-04-15 14:57:15,0.781
2022-04-15 14:57:30,0.781
2022-04-15 14:57:45,1.65
2022-04-15 14:58:00,1.65
2022-04-15 14:58:15,1.14
2022-04-15 14:58:30,1.14
2022-04-15 14:58:45,0.462
2022-04-15 14:59:00,0.462
2022-04-15 14:59:15,0.716
2022-04-15 14:59:30,0.716
2022-04-15 14:59:45,0.194
2022-04-15 15:00:00,0.194
2022-04-15 15:00:15,1.99
2022-04-15 15:00:30,1.99
2022-04-15 15:00:45,0.966
2022-04-15 15:01:00,0.966
2022-04-15 15:01:15,0.747
2022-04-15 15:01:30,0.747
2022-04-15 15:01:45,1.22
2022-04-15 15:02:00,1.22
2022-04-15 15:02:15,0.414
2022-04-15 15:02:30,0.414
2022-04-15 15:02:45,0.995
2022-04-15 15:03:00,0.995
2022-04-15 15:03:15,0.713
2022-04-15 15:03:30,0.713
2022-04-15 15:03:45,1.31
2022-04-15 15:04:00,1.31
2022-04-15 15:04:15,1.92
2022-04-15 15:04:30,1.92
2022-04-15 15:04:45,0.465
2022-04-15 15:05:00,0.465
2022-04-15 15:05:15,0.657
2022-04-15 15:05:30,0.657
2022-04-15 15:05:45,0.595
2022-04-15 15:06:00,0.595
2022-04-15 15:06:15,2.32
2022-04-15 15:06:30,2.32
2022-04-15 15:06:45,0.885
2022-04-15 15:07:00,0.885
2022-04-15 15:07:15,1.06
2022-04-15 15:07:30,1.06
2022-04-15 15:07:45,0.305
2022-04-15 15:08:00,0.305
2022-04-15 15:08:15,0.698
2022-04-15 15:08:30,0.698
2022-04-15 15:08:45,1.11
2022-04-15 15:09:00,1.11
2022-04-15 15:09:15,0.649
2022-04-15 15:09:30,0.649
2022-04-15 15:09:45,0.411
2022-04-15 15:10:00,0.411
2022-04-15 15:10:15,1.59
2022-04-15 15:10:30,1.59
2022-04-15 15:10:45,0.552
2022-04-15 15:11:00,0.552
2022-04-15 15:11:15,1.59

