"Time","edge-server-cv-78d887c496-s6h4q","edge-server-cv-78d887c496-wf72b","edge-server-cv-78d887c496-cqvkm","Average"
2022-04-19 17:42:30,24.7,31.5,18.6,24.9
2022-04-19 17:42:45,31.4,32.7,22.0,28.7
2022-04-19 17:43:00,31.4,32.7,22.0,28.7
2022-04-19 17:43:15,28.6,25.0,28.7,27.5
2022-04-19 17:43:30,28.6,25.0,28.7,27.5
2022-04-19 17:43:45,28.2,30.7,39.8,32.9
2022-04-19 17:44:00,28.2,30.7,39.8,32.9
2022-04-19 17:44:15,28.7,25.0,27.8,27.2
2022-04-19 17:44:30,28.7,25.0,27.8,27.2

