"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:29:18,380 ms,345 ms,388 ms,407 ms
2022-04-19 17:29:20,380 ms,367 ms,385 ms,390 ms
2022-04-19 17:29:22,341 ms,387 ms,258 ms,378 ms
2022-04-19 17:29:24,336 ms,373 ms,252 ms,383 ms
2022-04-19 17:29:26,296 ms,350 ms,255 ms,283 ms
2022-04-19 17:29:28,318 ms,401 ms,269 ms,283 ms
2022-04-19 17:29:30,284 ms,274 ms,299 ms,278 ms
2022-04-19 17:29:32,279 ms,274 ms,307 ms,256 ms
2022-04-19 17:29:34,298 ms,313 ms,295 ms,286 ms
2022-04-19 17:29:36,301 ms,309 ms,293 ms,302 ms
2022-04-19 17:29:38,304 ms,329 ms,285 ms,297 ms
2022-04-19 17:29:40,305 ms,327 ms,286 ms,302 ms
2022-04-19 17:29:42,293 ms,300 ms,285 ms,293 ms
2022-04-19 17:29:44,284 ms,300 ms,301 ms,250 ms
2022-04-19 17:29:46,301 ms,286 ms,312 ms,304 ms
2022-04-19 17:29:48,284 ms,257 ms,287 ms,310 ms
2022-04-19 17:29:50,331 ms,378 ms,298 ms,316 ms
2022-04-19 17:29:52,373 ms,502 ms,293 ms,323 ms
2022-04-19 17:29:54,372 ms,514 ms,277 ms,325 ms
2022-04-19 17:29:56,340 ms,463 ms,274 ms,283 ms
2022-04-19 17:29:58,318 ms,414 ms,259 ms,282 ms
2022-04-19 17:30:00,265 ms,272 ms,256 ms,268 ms
2022-04-19 17:30:02,290 ms,295 ms,253 ms,321 ms
2022-04-19 17:30:04,299 ms,302 ms,275 ms,320 ms
2022-04-19 17:30:06,300 ms,315 ms,260 ms,323 ms
2022-04-19 17:30:08,311 ms,318 ms,275 ms,341 ms
2022-04-19 17:30:10,287 ms,294 ms,280 ms,285 ms
2022-04-19 17:30:12,290 ms,308 ms,283 ms,279 ms
2022-04-19 17:30:14,289 ms,310 ms,289 ms,267 ms
2022-04-19 17:30:16,315 ms,332 ms,285 ms,329 ms
2022-04-19 17:30:18,309 ms,333 ms,270 ms,324 ms
2022-04-19 17:30:20,325 ms,343 ms,305 ms,328 ms
2022-04-19 17:30:22,321 ms,322 ms,309 ms,331 ms
2022-04-19 17:30:24,299 ms,273 ms,307 ms,317 ms
2022-04-19 17:30:26,298 ms,304 ms,318 ms,274 ms
2022-04-19 17:30:28,300 ms,318 ms,304 ms,278 ms
2022-04-19 17:30:30,289 ms,323 ms,275 ms,269 ms
2022-04-19 17:30:32,283 ms,321 ms,263 ms,266 ms
2022-04-19 17:30:34,397 ms,327 ms,273 ms,591 ms
2022-04-19 17:30:36,387 ms,288 ms,301 ms,571 ms
2022-04-19 17:30:38,381 ms,285 ms,291 ms,568 ms
2022-04-19 17:30:40,390 ms,313 ms,330 ms,526 ms
2022-04-19 17:30:42,363 ms,305 ms,331 ms,454 ms
2022-04-19 17:30:44,305 ms,318 ms,322 ms,275 ms
2022-04-19 17:30:46,289 ms,302 ms,287 ms,278 ms
2022-04-19 17:30:48,277 ms,280 ms,269 ms,281 ms
2022-04-19 17:30:50,269 ms,275 ms,259 ms,274 ms
2022-04-19 17:30:52,265 ms,278 ms,249 ms,270 ms
2022-04-19 17:30:54,263 ms,266 ms,255 ms,267 ms
2022-04-19 17:30:56,278 ms,275 ms,300 ms,258 ms
2022-04-19 17:30:58,288 ms,307 ms,295 ms,262 ms
2022-04-19 17:31:00,289 ms,306 ms,294 ms,265 ms
2022-04-19 17:31:02,307 ms,304 ms,311 ms,308 ms
2022-04-19 17:31:04,309 ms,302 ms,277 ms,349 ms
2022-04-19 17:31:06,305 ms,307 ms,272 ms,334 ms
2022-04-19 17:31:08,293 ms,274 ms,276 ms,328 ms
2022-04-19 17:31:10,284 ms,275 ms,261 ms,316 ms
2022-04-19 17:31:12,287 ms,296 ms,254 ms,312 ms
2022-04-19 17:31:14,286 ms,297 ms,271 ms,289 ms
2022-04-19 17:31:16,279 ms,283 ms,264 ms,291 ms
2022-04-19 17:31:18,289 ms,293 ms,274 ms,299 ms
2022-04-19 17:31:20,281 ms,288 ms,271 ms,283 ms
2022-04-19 17:31:22,271 ms,255 ms,258 ms,300 ms
2022-04-19 17:31:24,277 ms,253 ms,283 ms,295 ms
2022-04-19 17:31:26,276 ms,251 ms,296 ms,281 ms
2022-04-19 17:31:28,274 ms,254 ms,291 ms,278 ms
2022-04-19 17:31:30,268 ms,256 ms,298 ms,250 ms
2022-04-19 17:31:32,273 ms,256 ms,294 ms,270 ms
2022-04-19 17:31:34,276 ms,270 ms,286 ms,271 ms
2022-04-19 17:31:36,278 ms,291 ms,262 ms,280 ms
2022-04-19 17:31:38,280 ms,297 ms,263 ms,281 ms
2022-04-19 17:31:40,284 ms,300 ms,267 ms,285 ms
2022-04-19 17:31:42,276 ms,302 ms,267 ms,259 ms
2022-04-19 17:31:44,285 ms,285 ms,301 ms,268 ms
2022-04-19 17:31:46,297 ms,276 ms,342 ms,272 ms
2022-04-19 17:31:48,304 ms,287 ms,354 ms,270 ms
2022-04-19 17:31:50,320 ms,360 ms,339 ms,263 ms
2022-04-19 17:31:52,320 ms,351 ms,344 ms,265 ms
2022-04-19 17:31:54,296 ms,353 ms,272 ms,262 ms
2022-04-19 17:31:56,291 ms,348 ms,273 ms,251 ms
2022-04-19 17:31:58,280 ms,295 ms,261 ms,285 ms
2022-04-19 17:32:00,289 ms,265 ms,324 ms,278 ms
2022-04-19 17:32:02,306 ms,280 ms,334 ms,304 ms
2022-04-19 17:32:04,309 ms,279 ms,341 ms,306 ms
2022-04-19 17:32:06,311 ms,299 ms,330 ms,304 ms
2022-04-19 17:32:08,297 ms,294 ms,303 ms,294 ms
2022-04-19 17:32:10,301 ms,307 ms,291 ms,304 ms
2022-04-19 17:32:12,292 ms,308 ms,289 ms,279 ms
2022-04-19 17:32:14,278 ms,294 ms,269 ms,271 ms
2022-04-19 17:32:16,296 ms,328 ms,269 ms,291 ms
2022-04-19 17:32:18,295 ms,333 ms,268 ms,285 ms
2022-04-19 17:32:20,302 ms,313 ms,263 ms,329 ms
2022-04-19 17:32:22,303 ms,315 ms,261 ms,331 ms
2022-04-19 17:32:24,286 ms,253 ms,260 ms,344 ms
2022-04-19 17:32:26,295 ms,261 ms,275 ms,350 ms
2022-04-19 17:32:28,285 ms,252 ms,311 ms,292 ms
2022-04-19 17:32:30,294 ms,258 ms,304 ms,321 ms
2022-04-19 17:32:32,291 ms,264 ms,294 ms,316 ms
2022-04-19 17:32:34,288 ms,266 ms,289 ms,310 ms
2022-04-19 17:32:36,288 ms,263 ms,287 ms,314 ms
2022-04-19 17:32:38,268 ms,275 ms,250 ms,279 ms
2022-04-19 17:32:40,272 ms,278 ms,247 ms,291 ms
2022-04-19 17:32:42,269 ms,287 ms,238 ms,280 ms
2022-04-19 17:32:44,270 ms,305 ms,236 ms,269 ms
2022-04-19 17:32:46,272 ms,296 ms,258 ms,262 ms
2022-04-19 17:32:48,276 ms,298 ms,272 ms,257 ms
2022-04-19 17:32:50,287 ms,311 ms,289 ms,261 ms
2022-04-19 17:32:52,270 ms,254 ms,285 ms,271 ms
2022-04-19 17:32:54,269 ms,261 ms,274 ms,272 ms
2022-04-19 17:32:56,271 ms,266 ms,283 ms,264 ms
2022-04-19 17:32:58,273 ms,268 ms,276 ms,275 ms
2022-04-19 17:33:00,282 ms,263 ms,317 ms,266 ms
2022-04-19 17:33:02,283 ms,263 ms,320 ms,266 ms
2022-04-19 17:33:04,292 ms,266 ms,332 ms,276 ms
2022-04-19 17:33:06,297 ms,278 ms,341 ms,274 ms
2022-04-19 17:33:08,317 ms,282 ms,398 ms,272 ms
2022-04-19 17:33:10,318 ms,284 ms,385 ms,287 ms
2022-04-19 17:33:12,318 ms,286 ms,384 ms,285 ms
2022-04-19 17:33:14,310 ms,270 ms,376 ms,284 ms
2022-04-19 17:33:16,269 ms,266 ms,252 ms,289 ms
2022-04-19 17:33:18,259 ms,262 ms,240 ms,277 ms
2022-04-19 17:33:20,263 ms,275 ms,241 ms,271 ms
2022-04-19 17:33:22,267 ms,275 ms,254 ms,273 ms
2022-04-19 17:33:24,264 ms,273 ms,251 ms,268 ms
2022-04-19 17:33:26,289 ms,270 ms,339 ms,259 ms
2022-04-19 17:33:28,308 ms,293 ms,354 ms,278 ms
2022-04-19 17:33:30,317 ms,320 ms,354 ms,278 ms
2022-04-19 17:33:32,318 ms,320 ms,342 ms,292 ms
2022-04-19 17:33:34,338 ms,320 ms,339 ms,356 ms
2022-04-19 17:33:36,352 ms,424 ms,280 ms,352 ms
2022-04-19 17:33:38,400 ms,591 ms,257 ms,353 ms
2022-04-19 17:33:40,417 ms,637 ms,258 ms,356 ms
2022-04-19 17:33:42,405 ms,659 ms,262 ms,293 ms
2022-04-19 17:33:44,405 ms,662 ms,267 ms,287 ms
2022-04-19 17:33:46,295 ms,307 ms,268 ms,311 ms
2022-04-19 17:33:48,276 ms,256 ms,272 ms,299 ms
2022-04-19 17:33:50,274 ms,267 ms,270 ms,285 ms
2022-04-19 17:33:52,283 ms,274 ms,272 ms,304 ms
2022-04-19 17:33:54,307 ms,277 ms,291 ms,352 ms
2022-04-19 17:33:56,337 ms,276 ms,380 ms,356 ms
2022-04-19 17:33:58,349 ms,292 ms,371 ms,386 ms
2022-04-19 17:34:00,348 ms,276 ms,360 ms,409 ms
2022-04-19 17:34:02,319 ms,271 ms,349 ms,337 ms
2022-04-19 17:34:04,272 ms,268 ms,290 ms,257 ms
2022-04-19 17:34:06,270 ms,268 ms,288 ms,255 ms
2022-04-19 17:34:08,282 ms,284 ms,305 ms,256 ms
2022-04-19 17:34:10,289 ms,302 ms,307 ms,260 ms
2022-04-19 17:34:12,333 ms,423 ms,309 ms,266 ms
2022-04-19 17:34:14,328 ms,419 ms,301 ms,266 ms
2022-04-19 17:34:16,357 ms,423 ms,345 ms,304 ms
2022-04-19 17:34:18,373 ms,450 ms,329 ms,339 ms
2022-04-19 17:34:20,346 ms,378 ms,316 ms,345 ms
2022-04-19 17:34:22,332 ms,347 ms,305 ms,345 ms
2022-04-19 17:34:24,326 ms,340 ms,304 ms,333 ms
2022-04-19 17:34:26,298 ms,332 ms,274 ms,290 ms
2022-04-19 17:34:28,280 ms,293 ms,295 ms,251 ms
2022-04-19 17:34:30,291 ms,290 ms,333 ms,249 ms
2022-04-19 17:34:32,297 ms,290 ms,351 ms,249 ms
2022-04-19 17:34:34,312 ms,290 ms,343 ms,302 ms
2022-04-19 17:34:36,333 ms,285 ms,356 ms,357 ms
2022-04-19 17:34:38,317 ms,251 ms,338 ms,362 ms
2022-04-19 17:34:40,338 ms,254 ms,374 ms,385 ms
2022-04-19 17:34:42,384 ms,392 ms,381 ms,380 ms
2022-04-19 17:34:44,360 ms,392 ms,376 ms,312 ms
2022-04-19 17:34:46,358 ms,430 ms,351 ms,294 ms
2022-04-19 17:34:48,368 ms,445 ms,348 ms,310 ms
2022-04-19 17:34:50,353 ms,447 ms,292 ms,320 ms
2022-04-19 17:34:52,314 ms,331 ms,276 ms,336 ms
2022-04-19 17:34:54,310 ms,317 ms,274 ms,338 ms
2022-04-19 17:34:56,368 ms,292 ms,476 ms,335 ms
2022-04-19 17:34:58,372 ms,286 ms,472 ms,358 ms
2022-04-19 17:35:00,347 ms,287 ms,463 ms,289 ms
2022-04-19 17:35:02,351 ms,287 ms,480 ms,285 ms
2022-04-19 17:35:04,325 ms,295 ms,391 ms,288 ms
2022-04-19 17:35:06,284 ms,294 ms,268 ms,290 ms
2022-04-19 17:35:08,278 ms,277 ms,277 ms,280 ms
2022-04-19 17:35:10,291 ms,289 ms,294 ms,290 ms
2022-04-19 17:35:12,294 ms,284 ms,295 ms,303 ms
2022-04-19 17:35:14,286 ms,273 ms,289 ms,296 ms
2022-04-19 17:35:16,276 ms,270 ms,281 ms,277 ms
2022-04-19 17:35:18,276 ms,269 ms,280 ms,280 ms
2022-04-19 17:35:20,290 ms,258 ms,270 ms,341 ms
2022-04-19 17:35:22,291 ms,264 ms,276 ms,335 ms
2022-04-19 17:35:24,298 ms,266 ms,277 ms,352 ms
2022-04-19 17:35:26,296 ms,269 ms,278 ms,342 ms
2022-04-19 17:35:28,276 ms,265 ms,276 ms,287 ms
2022-04-19 17:35:30,305 ms,268 ms,356 ms,290 ms
2022-04-19 17:35:32,307 ms,269 ms,365 ms,286 ms
2022-04-19 17:35:34,313 ms,298 ms,371 ms,271 ms
2022-04-19 17:35:36,302 ms,296 ms,345 ms,265 ms
2022-04-19 17:35:38,290 ms,286 ms,327 ms,256 ms
2022-04-19 17:35:40,281 ms,300 ms,280 ms,262 ms
2022-04-19 17:35:42,276 ms,277 ms,280 ms,270 ms
2022-04-19 17:35:44,272 ms,270 ms,277 ms,269 ms
2022-04-19 17:35:46,304 ms,366 ms,274 ms,273 ms
2022-04-19 17:35:48,295 ms,345 ms,254 ms,285 ms
2022-04-19 17:35:50,281 ms,335 ms,255 ms,254 ms
2022-04-19 17:35:52,286 ms,328 ms,250 ms,281 ms
2022-04-19 17:35:54,291 ms,333 ms,261 ms,279 ms
2022-04-19 17:35:56,281 ms,280 ms,294 ms,269 ms
2022-04-19 17:35:58,289 ms,276 ms,291 ms,301 ms
2022-04-19 17:36:00,294 ms,278 ms,296 ms,307 ms
2022-04-19 17:36:02,298 ms,273 ms,299 ms,322 ms
2022-04-19 17:36:04,298 ms,258 ms,300 ms,337 ms
2022-04-19 17:36:06,302 ms,271 ms,288 ms,347 ms
2022-04-19 17:36:08,299 ms,278 ms,291 ms,329 ms
2022-04-19 17:36:10,279 ms,280 ms,279 ms,277 ms
2022-04-19 17:36:12,277 ms,283 ms,279 ms,267 ms
2022-04-19 17:36:14,278 ms,291 ms,278 ms,264 ms
2022-04-19 17:36:16,276 ms,287 ms,275 ms,266 ms
2022-04-19 17:36:18,291 ms,290 ms,273 ms,312 ms
2022-04-19 17:36:20,300 ms,293 ms,283 ms,325 ms
2022-04-19 17:36:22,301 ms,287 ms,269 ms,347 ms
2022-04-19 17:36:24,295 ms,276 ms,258 ms,350 ms
2022-04-19 17:36:26,272 ms,270 ms,241 ms,304 ms
2022-04-19 17:36:28,286 ms,281 ms,267 ms,309 ms
2022-04-19 17:36:30,277 ms,281 ms,264 ms,287 ms
2022-04-19 17:36:32,271 ms,275 ms,271 ms,268 ms
2022-04-19 17:36:34,271 ms,271 ms,272 ms,269 ms
2022-04-19 17:36:36,278 ms,294 ms,266 ms,272 ms
2022-04-19 17:36:38,272 ms,298 ms,251 ms,267 ms
2022-04-19 17:36:40,301 ms,365 ms,266 ms,271 ms
2022-04-19 17:36:42,302 ms,367 ms,273 ms,265 ms
2022-04-19 17:36:44,301 ms,377 ms,274 ms,253 ms
2022-04-19 17:36:46,304 ms,360 ms,278 ms,275 ms
2022-04-19 17:36:48,290 ms,294 ms,299 ms,278 ms
2022-04-19 17:36:50,298 ms,303 ms,300 ms,289 ms
2022-04-19 17:36:52,293 ms,300 ms,289 ms,291 ms
2022-04-19 17:36:54,300 ms,304 ms,299 ms,297 ms
2022-04-19 17:36:56,278 ms,291 ms,266 ms,278 ms
2022-04-19 17:36:58,285 ms,330 ms,255 ms,270 ms
2022-04-19 17:37:00,283 ms,331 ms,254 ms,264 ms
2022-04-19 17:37:02,309 ms,336 ms,264 ms,327 ms
2022-04-19 17:37:04,314 ms,327 ms,281 ms,333 ms
2022-04-19 17:37:06,316 ms,337 ms,274 ms,336 ms
2022-04-19 17:37:08,327 ms,308 ms,277 ms,395 ms
2022-04-19 17:37:10,330 ms,302 ms,311 ms,376 ms
2022-04-19 17:37:12,307 ms,299 ms,287 ms,335 ms
2022-04-19 17:37:14,305 ms,288 ms,287 ms,342 ms
2022-04-19 17:37:16,280 ms,261 ms,287 ms,293 ms
2022-04-19 17:37:18,292 ms,273 ms,302 ms,302 ms
2022-04-19 17:37:20,297 ms,271 ms,323 ms,297 ms
2022-04-19 17:37:22,303 ms,301 ms,342 ms,265 ms
2022-04-19 17:37:24,316 ms,320 ms,366 ms,262 ms
2022-04-19 17:37:26,314 ms,325 ms,375 ms,243 ms
2022-04-19 17:37:28,318 ms,389 ms,331 ms,234 ms
2022-04-19 17:37:30,328 ms,417 ms,326 ms,239 ms
2022-04-19 17:37:32,353 ms,403 ms,306 ms,350 ms
2022-04-19 17:37:34,354 ms,403 ms,286 ms,373 ms
2022-04-19 17:37:36,342 ms,410 ms,269 ms,347 ms
2022-04-19 17:37:38,319 ms,324 ms,269 ms,365 ms
2022-04-19 17:37:40,353 ms,396 ms,318 ms,343 ms
2022-04-19 17:37:42,334 ms,406 ms,324 ms,273 ms
2022-04-19 17:37:44,345 ms,418 ms,329 ms,287 ms
2022-04-19 17:37:46,378 ms,394 ms,461 ms,280 ms
2022-04-19 17:37:48,374 ms,298 ms,477 ms,348 ms
2022-04-19 17:37:50,367 ms,262 ms,500 ms,338 ms
2022-04-19 17:37:52,371 ms,295 ms,500 ms,319 ms
2022-04-19 17:37:54,347 ms,306 ms,412 ms,324 ms
2022-04-19 17:37:56,283 ms,305 ms,251 ms,293 ms
2022-04-19 17:37:58,283 ms,292 ms,275 ms,283 ms
2022-04-19 17:38:00,290 ms,309 ms,277 ms,285 ms
2022-04-19 17:38:02,302 ms,319 ms,280 ms,308 ms
2022-04-19 17:38:04,306 ms,311 ms,296 ms,312 ms
2022-04-19 17:38:06,307 ms,325 ms,279 ms,316 ms
2022-04-19 17:38:08,298 ms,325 ms,267 ms,303 ms
2022-04-19 17:38:10,276 ms,278 ms,264 ms,285 ms
2022-04-19 17:38:12,274 ms,287 ms,264 ms,269 ms
2022-04-19 17:38:14,258 ms,280 ms,245 ms,249 ms
2022-04-19 17:38:16,294 ms,284 ms,282 ms,317 ms
2022-04-19 17:38:18,299 ms,280 ms,298 ms,321 ms
2022-04-19 17:38:20,304 ms,298 ms,303 ms,311 ms
2022-04-19 17:38:22,300 ms,294 ms,294 ms,312 ms
2022-04-19 17:38:24,294 ms,302 ms,277 ms,305 ms
2022-04-19 17:38:26,281 ms,299 ms,285 ms,260 ms
2022-04-19 17:38:28,284 ms,313 ms,286 ms,253 ms
2022-04-19 17:38:30,296 ms,317 ms,284 ms,288 ms
2022-04-19 17:38:32,337 ms,342 ms,289 ms,382 ms
2022-04-19 17:38:34,379 ms,343 ms,322 ms,473 ms
2022-04-19 17:38:36,380 ms,352 ms,315 ms,474 ms
2022-04-19 17:38:38,365 ms,318 ms,315 ms,461 ms
2022-04-19 17:38:40,363 ms,317 ms,325 ms,447 ms
2022-04-19 17:38:42,281 ms,273 ms,309 ms,262 ms
2022-04-19 17:38:44,279 ms,272 ms,295 ms,269 ms
2022-04-19 17:38:46,287 ms,282 ms,297 ms,282 ms
2022-04-19 17:38:48,296 ms,303 ms,287 ms,297 ms
2022-04-19 17:38:50,345 ms,438 ms,249 ms,346 ms
2022-04-19 17:38:52,346 ms,403 ms,249 ms,387 ms
2022-04-19 17:38:54,373 ms,403 ms,280 ms,438 ms
2022-04-19 17:38:56,385 ms,423 ms,279 ms,453 ms
2022-04-19 17:38:58,342 ms,277 ms,288 ms,462 ms
2022-04-19 17:39:00,345 ms,366 ms,286 ms,383 ms
2022-04-19 17:39:02,321 ms,417 ms,290 ms,257 ms
2022-04-19 17:39:04,332 ms,439 ms,298 ms,259 ms
2022-04-19 17:39:06,349 ms,456 ms,315 ms,276 ms
2022-04-19 17:39:08,342 ms,422 ms,324 ms,280 ms
2022-04-19 17:39:10,324 ms,374 ms,320 ms,278 ms
2022-04-19 17:39:12,313 ms,366 ms,297 ms,275 ms
2022-04-19 17:39:14,308 ms,340 ms,286 ms,297 ms
2022-04-19 17:39:16,320 ms,349 ms,310 ms,302 ms
2022-04-19 17:39:18,310 ms,320 ms,305 ms,305 ms
2022-04-19 17:39:20,340 ms,309 ms,329 ms,384 ms
2022-04-19 17:39:22,351 ms,306 ms,312 ms,434 ms
2022-04-19 17:39:24,347 ms,299 ms,295 ms,446 ms
2022-04-19 17:39:26,325 ms,281 ms,284 ms,411 ms
2022-04-19 17:39:28,316 ms,284 ms,317 ms,347 ms
2022-04-19 17:39:30,339 ms,361 ms,309 ms,349 ms
2022-04-19 17:39:32,324 ms,355 ms,343 ms,274 ms
2022-04-19 17:39:34,355 ms,383 ms,356 ms,324 ms
2022-04-19 17:39:36,342 ms,399 ms,310 ms,318 ms
2022-04-19 17:39:38,327 ms,361 ms,295 ms,326 ms
2022-04-19 17:39:40,324 ms,369 ms,291 ms,313 ms
2022-04-19 17:39:42,311 ms,354 ms,302 ms,278 ms
2022-04-19 17:39:44,325 ms,347 ms,365 ms,264 ms
2022-04-19 17:39:46,313 ms,298 ms,369 ms,274 ms
2022-04-19 17:39:48,303 ms,256 ms,382 ms,271 ms
2022-04-19 17:39:50,304 ms,265 ms,372 ms,276 ms
2022-04-19 17:39:52,318 ms,291 ms,392 ms,270 ms
2022-04-19 17:39:54,309 ms,304 ms,355 ms,267 ms
2022-04-19 17:39:56,311 ms,321 ms,351 ms,262 ms
2022-04-19 17:39:58,319 ms,307 ms,345 ms,304 ms
2022-04-19 17:40:00,337 ms,293 ms,366 ms,354 ms
2022-04-19 17:40:02,341 ms,342 ms,319 ms,361 ms
2022-04-19 17:40:04,342 ms,345 ms,310 ms,373 ms
2022-04-19 17:40:06,377 ms,444 ms,313 ms,375 ms
2022-04-19 17:40:08,430 ms,642 ms,317 ms,332 ms
2022-04-19 17:40:10,413 ms,647 ms,314 ms,278 ms
2022-04-19 17:40:12,422 ms,702 ms,292 ms,272 ms
2022-04-19 17:40:14,427 ms,706 ms,324 ms,253 ms
2022-04-19 17:40:16,343 ms,445 ms,333 ms,252 ms
2022-04-19 17:40:18,342 ms,424 ms,321 ms,282 ms
2022-04-19 17:40:20,331 ms,360 ms,346 ms,287 ms
2022-04-19 17:40:22,328 ms,273 ms,359 ms,352 ms
2022-04-19 17:40:24,320 ms,280 ms,330 ms,350 ms
2022-04-19 17:40:26,324 ms,276 ms,371 ms,326 ms
2022-04-19 17:40:28,325 ms,316 ms,331 ms,329 ms
2022-04-19 17:40:30,309 ms,323 ms,319 ms,286 ms
2022-04-19 17:40:32,313 ms,341 ms,312 ms,287 ms
2022-04-19 17:40:34,325 ms,351 ms,331 ms,293 ms
2022-04-19 17:40:36,340 ms,363 ms,300 ms,359 ms
2022-04-19 17:40:38,316 ms,309 ms,297 ms,343 ms
2022-04-19 17:40:40,336 ms,306 ms,370 ms,332 ms
2022-04-19 17:40:42,316 ms,268 ms,354 ms,326 ms
2022-04-19 17:40:44,295 ms,264 ms,360 ms,260 ms
2022-04-19 17:40:46,304 ms,256 ms,364 ms,292 ms
2022-04-19 17:40:48,318 ms,284 ms,363 ms,308 ms
2022-04-19 17:40:50,281 ms,290 ms,261 ms,292 ms
2022-04-19 17:40:52,289 ms,298 ms,267 ms,301 ms
2022-04-19 17:40:54,289 ms,293 ms,271 ms,301 ms
2022-04-19 17:40:56,263 ms,256 ms,271 ms,262 ms
2022-04-19 17:40:58,265 ms,253 ms,271 ms,270 ms
2022-04-19 17:41:00,262 ms,249 ms,280 ms,256 ms
2022-04-19 17:41:02,325 ms,275 ms,439 ms,261 ms
2022-04-19 17:41:04,326 ms,278 ms,422 ms,279 ms
2022-04-19 17:41:06,346 ms,326 ms,425 ms,288 ms
2022-04-19 17:41:08,344 ms,333 ms,396 ms,304 ms
2022-04-19 17:41:10,343 ms,365 ms,344 ms,320 ms
2022-04-19 17:41:12,316 ms,348 ms,284 ms,315 ms
2022-04-19 17:41:14,312 ms,357 ms,277 ms,302 ms
2022-04-19 17:41:16,306 ms,328 ms,279 ms,311 ms
2022-04-19 17:41:18,297 ms,331 ms,274 ms,287 ms
2022-04-19 17:41:20,276 ms,286 ms,261 ms,282 ms
2022-04-19 17:41:22,286 ms,285 ms,259 ms,316 ms
2022-04-19 17:41:24,291 ms,282 ms,274 ms,316 ms
2022-04-19 17:41:26,296 ms,274 ms,266 ms,347 ms
2022-04-19 17:41:28,309 ms,289 ms,272 ms,364 ms
2022-04-19 17:41:30,302 ms,295 ms,276 ms,334 ms
2022-04-19 17:41:32,302 ms,301 ms,282 ms,322 ms
2022-04-19 17:41:34,288 ms,284 ms,281 ms,299 ms
2022-04-19 17:41:36,309 ms,271 ms,277 ms,379 ms
2022-04-19 17:41:38,313 ms,265 ms,286 ms,389 ms
2022-04-19 17:41:40,329 ms,272 ms,349 ms,366 ms
2022-04-19 17:41:42,319 ms,272 ms,338 ms,346 ms
2022-04-19 17:41:44,316 ms,271 ms,345 ms,333 ms
2022-04-19 17:41:46,348 ms,367 ms,355 ms,322 ms
2022-04-19 17:41:48,358 ms,386 ms,349 ms,340 ms
2022-04-19 17:41:50,412 ms,398 ms,497 ms,343 ms
2022-04-19 17:41:52,405 ms,428 ms,469 ms,319 ms
2022-04-19 17:41:54,430 ms,480 ms,487 ms,322 ms
2022-04-19 17:41:56,353 ms,314 ms,462 ms,283 ms
2022-04-19 17:41:58,322 ms,304 ms,359 ms,302 ms
2022-04-19 17:42:00,345 ms,304 ms,415 ms,316 ms
2022-04-19 17:42:02,336 ms,308 ms,389 ms,313 ms
2022-04-19 17:42:04,324 ms,270 ms,384 ms,320 ms
2022-04-19 17:42:06,364 ms,362 ms,369 ms,360 ms
2022-04-19 17:42:08,348 ms,403 ms,245 ms,397 ms
2022-04-19 17:42:10,358 ms,398 ms,275 ms,400 ms
2022-04-19 17:42:12,353 ms,395 ms,277 ms,386 ms
2022-04-19 17:42:14,329 ms,365 ms,289 ms,332 ms
2022-04-19 17:42:16,284 ms,291 ms,294 ms,267 ms
2022-04-19 17:42:18,297 ms,310 ms,265 ms,314 ms
2022-04-19 17:42:20,336 ms,282 ms,266 ms,460 ms
2022-04-19 17:42:22,346 ms,293 ms,273 ms,471 ms
2022-04-19 17:42:24,352 ms,299 ms,273 ms,485 ms
2022-04-19 17:42:26,339 ms,271 ms,271 ms,474 ms
2022-04-19 17:42:28,316 ms,283 ms,269 ms,395 ms
2022-04-19 17:42:30,295 ms,294 ms,259 ms,330 ms
2022-04-19 17:42:32,295 ms,289 ms,266 ms,329 ms
2022-04-19 17:42:34,309 ms,327 ms,292 ms,307 ms
2022-04-19 17:42:36,309 ms,325 ms,300 ms,303 ms
2022-04-19 17:42:38,308 ms,322 ms,306 ms,295 ms
2022-04-19 17:42:40,338 ms,366 ms,343 ms,306 ms
2022-04-19 17:42:42,309 ms,337 ms,310 ms,278 ms
2022-04-19 17:42:44,312 ms,340 ms,301 ms,294 ms
2022-04-19 17:42:46,317 ms,367 ms,295 ms,288 ms
2022-04-19 17:42:48,340 ms,432 ms,306 ms,281 ms
2022-04-19 17:42:50,355 ms,464 ms,280 ms,320 ms
2022-04-19 17:42:52,386 ms,463 ms,326 ms,368 ms
2022-04-19 17:42:54,376 ms,454 ms,305 ms,369 ms
2022-04-19 17:42:56,353 ms,358 ms,294 ms,407 ms
2022-04-19 17:42:58,372 ms,393 ms,300 ms,423 ms
2022-04-19 17:43:00,343 ms,389 ms,274 ms,364 ms
2022-04-19 17:43:02,336 ms,406 ms,264 ms,339 ms
2022-04-19 17:43:04,350 ms,413 ms,311 ms,327 ms
2022-04-19 17:43:06,284 ms,273 ms,304 ms,276 ms
2022-04-19 17:43:08,286 ms,287 ms,294 ms,278 ms
2022-04-19 17:43:10,284 ms,287 ms,295 ms,270 ms
2022-04-19 17:43:12,269 ms,285 ms,263 ms,261 ms
2022-04-19 17:43:14,283 ms,280 ms,277 ms,292 ms
2022-04-19 17:43:16,279 ms,272 ms,268 ms,297 ms
2022-04-19 17:43:18,285 ms,273 ms,274 ms,307 ms
