"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:18:38,321 ms,324 ms,284 ms,353 ms
2022-04-19 17:18:40,328 ms,322 ms,288 ms,374 ms
2022-04-19 17:18:42,309 ms,349 ms,302 ms,275 ms
2022-04-19 17:18:44,333 ms,350 ms,365 ms,285 ms
2022-04-19 17:18:46,360 ms,420 ms,373 ms,286 ms
2022-04-19 17:18:48,356 ms,438 ms,347 ms,284 ms
2022-04-19 17:18:50,343 ms,396 ms,346 ms,287 ms
2022-04-19 17:18:52,339 ms,418 ms,298 ms,300 ms
2022-04-19 17:18:54,314 ms,353 ms,274 ms,317 ms
2022-04-19 17:18:56,338 ms,359 ms,277 ms,377 ms
2022-04-19 17:18:58,341 ms,374 ms,276 ms,374 ms
2022-04-19 17:19:00,361 ms,384 ms,315 ms,384 ms
2022-04-19 17:19:02,340 ms,335 ms,322 ms,364 ms
2022-04-19 17:19:04,315 ms,337 ms,343 ms,264 ms
2022-04-19 17:19:06,320 ms,350 ms,343 ms,266 ms
2022-04-19 17:19:08,302 ms,315 ms,342 ms,250 ms
2022-04-19 17:19:10,292 ms,310 ms,310 ms,255 ms
2022-04-19 17:19:12,268 ms,287 ms,258 ms,259 ms
2022-04-19 17:19:14,270 ms,280 ms,264 ms,268 ms
2022-04-19 17:19:16,273 ms,290 ms,259 ms,271 ms
2022-04-19 17:19:18,292 ms,355 ms,246 ms,274 ms
2022-04-19 17:19:20,321 ms,401 ms,243 ms,320 ms
2022-04-19 17:19:22,334 ms,363 ms,317 ms,323 ms
2022-04-19 17:19:24,339 ms,355 ms,334 ms,330 ms
2022-04-19 17:19:26,340 ms,351 ms,335 ms,333 ms
2022-04-19 17:19:28,310 ms,272 ms,336 ms,321 ms
2022-04-19 17:19:30,301 ms,283 ms,339 ms,282 ms
2022-04-19 17:19:32,296 ms,318 ms,288 ms,283 ms
2022-04-19 17:19:34,304 ms,314 ms,319 ms,280 ms
2022-04-19 17:19:36,307 ms,313 ms,324 ms,285 ms
2022-04-19 17:19:38,317 ms,318 ms,313 ms,319 ms
2022-04-19 17:19:40,312 ms,301 ms,319 ms,316 ms
2022-04-19 17:19:42,335 ms,283 ms,396 ms,326 ms
2022-04-19 17:19:44,324 ms,284 ms,361 ms,327 ms
2022-04-19 17:19:46,305 ms,276 ms,352 ms,286 ms
2022-04-19 17:19:48,349 ms,284 ms,389 ms,373 ms
2022-04-19 17:19:50,344 ms,290 ms,375 ms,367 ms
2022-04-19 17:19:52,340 ms,316 ms,320 ms,382 ms
2022-04-19 17:19:54,348 ms,316 ms,333 ms,394 ms
2022-04-19 17:19:56,348 ms,312 ms,322 ms,409 ms
2022-04-19 17:19:58,298 ms,314 ms,306 ms,275 ms
2022-04-19 17:20:00,287 ms,291 ms,294 ms,275 ms
2022-04-19 17:20:02,279 ms,289 ms,277 ms,271 ms
2022-04-19 17:20:04,293 ms,286 ms,320 ms,273 ms
2022-04-19 17:20:06,291 ms,286 ms,322 ms,265 ms
2022-04-19 17:20:08,289 ms,280 ms,323 ms,263 ms
2022-04-19 17:20:10,302 ms,281 ms,366 ms,260 ms
2022-04-19 17:20:12,288 ms,272 ms,340 ms,253 ms
2022-04-19 17:20:14,282 ms,298 ms,282 ms,267 ms
2022-04-19 17:20:16,282 ms,300 ms,261 ms,286 ms
2022-04-19 17:20:18,288 ms,296 ms,255 ms,312 ms
2022-04-19 17:20:20,302 ms,326 ms,265 ms,314 ms
2022-04-19 17:20:22,311 ms,316 ms,271 ms,346 ms
2022-04-19 17:20:24,301 ms,295 ms,269 ms,338 ms
2022-04-19 17:20:26,303 ms,292 ms,267 ms,349 ms
2022-04-19 17:20:28,278 ms,244 ms,257 ms,332 ms
2022-04-19 17:20:30,283 ms,293 ms,261 ms,294 ms
2022-04-19 17:20:32,285 ms,290 ms,261 ms,304 ms
2022-04-19 17:20:34,294 ms,308 ms,269 ms,304 ms
2022-04-19 17:20:36,306 ms,339 ms,274 ms,304 ms
2022-04-19 17:20:38,290 ms,297 ms,276 ms,298 ms
2022-04-19 17:20:40,281 ms,282 ms,271 ms,289 ms
2022-04-19 17:20:42,271 ms,288 ms,273 ms,252 ms
2022-04-19 17:20:44,281 ms,298 ms,262 ms,283 ms
2022-04-19 17:20:46,285 ms,277 ms,276 ms,301 ms
2022-04-19 17:20:48,289 ms,278 ms,272 ms,316 ms
2022-04-19 17:20:50,289 ms,282 ms,272 ms,312 ms
2022-04-19 17:20:52,285 ms,274 ms,269 ms,311 ms
2022-04-19 17:20:54,271 ms,267 ms,261 ms,286 ms
2022-04-19 17:20:56,263 ms,252 ms,269 ms,267 ms
2022-04-19 17:20:58,269 ms,260 ms,271 ms,276 ms
2022-04-19 17:21:00,272 ms,264 ms,272 ms,279 ms
2022-04-19 17:21:02,272 ms,274 ms,263 ms,278 ms
2022-04-19 17:21:04,280 ms,281 ms,266 ms,294 ms
2022-04-19 17:21:06,320 ms,301 ms,375 ms,283 ms
2022-04-19 17:21:08,362 ms,304 ms,367 ms,414 ms
2022-04-19 17:21:10,363 ms,306 ms,364 ms,419 ms
2022-04-19 17:21:12,372 ms,312 ms,385 ms,420 ms
2022-04-19 17:21:14,381 ms,303 ms,408 ms,431 ms
2022-04-19 17:21:16,354 ms,279 ms,343 ms,440 ms
2022-04-19 17:21:18,298 ms,266 ms,351 ms,278 ms
2022-04-19 17:21:20,304 ms,252 ms,348 ms,312 ms
2022-04-19 17:21:22,298 ms,250 ms,339 ms,306 ms
2022-04-19 17:21:24,290 ms,255 ms,310 ms,304 ms
2022-04-19 17:21:26,311 ms,255 ms,287 ms,390 ms
2022-04-19 17:21:28,321 ms,267 ms,286 ms,409 ms
2022-04-19 17:21:30,325 ms,271 ms,287 ms,418 ms
2022-04-19 17:21:32,319 ms,266 ms,259 ms,430 ms
2022-04-19 17:21:34,308 ms,261 ms,261 ms,401 ms
2022-04-19 17:21:36,269 ms,253 ms,267 ms,288 ms
2022-04-19 17:21:38,288 ms,254 ms,264 ms,345 ms
2022-04-19 17:21:40,294 ms,252 ms,278 ms,352 ms
2022-04-19 17:21:42,313 ms,290 ms,301 ms,348 ms
2022-04-19 17:21:44,324 ms,309 ms,307 ms,355 ms
2022-04-19 17:21:46,317 ms,320 ms,324 ms,307 ms
2022-04-19 17:21:48,308 ms,307 ms,325 ms,293 ms
2022-04-19 17:21:50,294 ms,279 ms,298 ms,303 ms
2022-04-19 17:21:52,322 ms,291 ms,361 ms,312 ms
2022-04-19 17:21:54,309 ms,282 ms,339 ms,307 ms
2022-04-19 17:21:56,303 ms,279 ms,339 ms,290 ms
2022-04-19 17:21:58,290 ms,278 ms,340 ms,254 ms
2022-04-19 17:22:00,296 ms,315 ms,323 ms,249 ms
2022-04-19 17:22:02,276 ms,314 ms,266 ms,246 ms
2022-04-19 17:22:04,267 ms,295 ms,257 ms,249 ms
2022-04-19 17:22:06,265 ms,288 ms,252 ms,254 ms
2022-04-19 17:22:08,269 ms,272 ms,266 ms,268 ms
2022-04-19 17:22:10,259 ms,243 ms,267 ms,267 ms
2022-04-19 17:22:12,272 ms,251 ms,300 ms,264 ms
2022-04-19 17:22:14,282 ms,259 ms,336 ms,250 ms
2022-04-19 17:22:16,308 ms,295 ms,323 ms,307 ms
2022-04-19 17:22:18,315 ms,306 ms,336 ms,305 ms
2022-04-19 17:22:20,316 ms,299 ms,343 ms,306 ms
2022-04-19 17:22:22,299 ms,302 ms,270 ms,325 ms
2022-04-19 17:22:24,297 ms,284 ms,273 ms,334 ms
2022-04-19 17:22:26,264 ms,259 ms,267 ms,265 ms
2022-04-19 17:22:28,286 ms,316 ms,275 ms,266 ms
2022-04-19 17:22:30,298 ms,332 ms,266 ms,297 ms
2022-04-19 17:22:32,301 ms,350 ms,266 ms,287 ms
