"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-s6h4q Memory Usage","edge-server-cv-78d887c496-wf72b Memory Usage","edge-server-cv-78d887c496-cqvkm Memory Usage"
2022-04-19 17:33:30,3422298112,1140766037,1214185472,1111506944,1096605696
2022-04-19 17:33:45,3444142080,1148047360,1042857984,1246380032,1154904064
2022-04-19 17:34:00,3444142080,1148047360,1042857984,1246380032,1154904064
2022-04-19 17:34:15,3596271616,1198757205,1220591616,1075154944,1300525056
2022-04-19 17:34:30,3596271616,1198757205,1220591616,1075154944,1300525056
2022-04-19 17:34:45,3798876160,1266292053,1143160832,1251479552,1404235776
2022-04-19 17:35:00,3798876160,1266292053,1143160832,1251479552,1404235776
2022-04-19 17:35:15,3486670848,1162223616,1267945472,1108934656,1109790720
2022-04-19 17:35:30,3486670848,1162223616,1267945472,1108934656,1109790720
2022-04-19 17:35:45,3299090432,1099696811,923312128,1390284800,985493504
2022-04-19 17:36:00,3299090432,1099696811,923312128,1390284800,985493504
2022-04-19 17:36:15,2918686720,972895573,930123776,776761344,1211801600
2022-04-19 17:36:30,2918686720,972895573,930123776,776761344,1211801600
2022-04-19 17:36:45,3459637248,1153212416,1049387008,1213276160,1196974080
2022-04-19 17:37:00,3459637248,1153212416,1049387008,1213276160,1196974080
2022-04-19 17:37:15,3659100160,1219700053,1079685120,1528152064,1051262976
2022-04-19 17:37:30,3659100160,1219700053,1079685120,1528152064,1051262976
2022-04-19 17:37:45,4204695552,1401565184,992702464,1590185984,1621807104
2022-04-19 17:38:00,4204695552,1401565184,992702464,1590185984,1621807104
2022-04-19 17:38:15,3007242240,1002414080,1107464192,1024200704,875577344
2022-04-19 17:38:30,3007242240,1002414080,1107464192,1024200704,875577344
2022-04-19 17:38:45,2505773056,835257685,783781888,785121280,936869888
2022-04-19 17:39:00,2505773056,835257685,783781888,785121280,936869888
2022-04-19 17:39:15,3148328960,1049442987,1300402176,773799936,1074126848
2022-04-19 17:39:30,3148328960,1049442987,1300402176,773799936,1074126848
2022-04-19 17:39:45,3465629696,1155209899,934522880,1200132096,1330974720
2022-04-19 17:40:00,3465629696,1155209899,934522880,1200132096,1330974720
2022-04-19 17:40:15,3319513088,1106504363,1353232384,844550144,1121730560
2022-04-19 17:40:30,3319513088,1106504363,1353232384,844550144,1121730560
