"Time","edge-server-cv-78d887c496-s6h4q 60s","edge-server-cv-78d887c496-wf72b 60s","edge-server-cv-78d887c496-cqvkm 60s","average"
2022-04-19 17:42:15,0.646,0.208,0.430,0.428
2022-04-19 17:42:30,0.646,0.208,0.430,0.428
2022-04-19 17:42:45,0.191,0.649,0.272,0.371
2022-04-19 17:43:00,0.191,0.649,0.272,0.371
2022-04-19 17:43:15,0.401,0.405,0.502,0.436
2022-04-19 17:43:30,0.401,0.405,0.502,0.436
2022-04-19 17:43:45,0.332,0.160,0.316,0.269
2022-04-19 17:44:00,0.332,0.160,0.316,0.269
2022-04-19 17:44:15,0.355,0.360,0.501,0.406
2022-04-19 17:44:30,0.355,0.360,0.501,0.406

