"Time","Average"
2022-04-19 17:15:30,39.3
2022-04-19 17:15:45,34.3
2022-04-19 17:16:00,34.3
2022-04-19 17:16:15,47.8
2022-04-19 17:16:30,47.8
2022-04-19 17:16:45,44.1
2022-04-19 17:17:00,44.1
2022-04-19 17:17:15,32.5
2022-04-19 17:17:30,32.5
2022-04-19 17:17:45,28.1
2022-04-19 17:18:00,28.1
2022-04-19 17:18:15,49.1
2022-04-19 17:18:30,49.1
2022-04-19 17:18:45,34.2
2022-04-19 17:19:00,34.2
2022-04-19 17:19:15,36.0
2022-04-19 17:19:30,36.0
2022-04-19 17:19:45,39.3
2022-04-19 17:20:00,39.3
2022-04-19 17:20:15,46.7
2022-04-19 17:20:30,46.7
2022-04-19 17:20:45,38.9
2022-04-19 17:21:00,38.9
2022-04-19 17:21:15,38.1
2022-04-19 17:21:30,38.1
2022-04-19 17:21:45,41.5
2022-04-19 17:22:00,41.5
2022-04-19 17:22:15,32.0
2022-04-19 17:22:30,32.0
2022-04-19 17:22:45,27.6
2022-04-19 17:23:00,27.6
2022-04-19 17:23:15,45.1
2022-04-19 17:23:30,45.1
2022-04-19 17:23:45,31.4
2022-04-19 17:24:00,31.4
2022-04-19 17:24:15,40.2
2022-04-19 17:24:30,40.2
2022-04-19 17:24:45,44.8
2022-04-19 17:25:00,44.8
2022-04-19 17:25:15,37.3
2022-04-19 17:25:30,37.3
2022-04-19 17:25:45,42.0
2022-04-19 17:26:00,42.0
2022-04-19 17:26:15,35.5
2022-04-19 17:26:30,35.5
2022-04-19 17:26:45,29.6
2022-04-19 17:27:00,29.6
2022-04-19 17:27:15,40.8
2022-04-19 17:27:30,40.8
2022-04-19 17:27:45,46.2
2022-04-19 17:28:00,46.2
2022-04-19 17:28:15,44.1
2022-04-19 17:28:30,44.1
2022-04-19 17:28:45,35.6
2022-04-19 17:29:00,35.6
2022-04-19 17:29:15,35.5
2022-04-19 17:29:30,35.5
2022-04-19 17:29:45,41.5
2022-04-19 17:30:00,41.5
2022-04-19 17:30:15,35.7
2022-04-19 17:30:30,35.7
2022-04-19 17:30:45,40.4
2022-04-19 17:31:00,40.4
2022-04-19 17:31:15,48.1
2022-04-19 17:31:30,48.1
2022-04-19 17:31:45,34.4
2022-04-19 17:32:00,34.4
2022-04-19 17:32:15,37.2
2022-04-19 17:32:30,37.2
2022-04-19 17:32:45,40.6
2022-04-19 17:33:00,40.6
2022-04-19 17:33:15,39.3
2022-04-19 17:33:30,39.3
2022-04-19 17:33:45,47.0
2022-04-19 17:34:00,47.0
2022-04-19 17:34:15,33.3
2022-04-19 17:34:30,33.3
2022-04-19 17:34:45,45.5
2022-04-19 17:35:00,45.5
2022-04-19 17:35:15,50.3
2022-04-19 17:35:30,50.3
2022-04-19 17:35:45,37.6
2022-04-19 17:36:00,37.6
2022-04-19 17:36:15,33.8
2022-04-19 17:36:30,33.8
2022-04-19 17:36:45,30.9
2022-04-19 17:37:00,30.9
2022-04-19 17:37:15,45.7
2022-04-19 17:37:30,45.7
2022-04-19 17:37:45,40.8
2022-04-19 17:38:00,40.8
2022-04-19 17:38:15,38.4
2022-04-19 17:38:30,38.4
2022-04-19 17:38:45,43.2
2022-04-19 17:39:00,43.2
2022-04-19 17:39:15,44.2
2022-04-19 17:39:30,44.2
2022-04-19 17:39:45,41.6
2022-04-19 17:40:00,41.6
2022-04-19 17:40:15,46.4
2022-04-19 17:40:30,46.4
2022-04-19 17:40:45,45.7
2022-04-19 17:41:00,45.7
2022-04-19 17:41:15,36.2
2022-04-19 17:41:30,36.2
2022-04-19 17:41:45,45.8
2022-04-19 17:42:00,45.8
2022-04-19 17:42:15,39.3
2022-04-19 17:42:30,39.3
2022-04-19 17:42:45,39.5
2022-04-19 17:43:00,39.5
2022-04-19 17:43:15,46.3
2022-04-19 17:43:30,46.3
2022-04-19 17:43:45,38.6
2022-04-19 17:44:00,38.6
2022-04-19 17:44:15,44.2
2022-04-19 17:44:30,44.2

