"Time","Average"
2022-04-19 14:34:30,75.5
2022-04-19 14:34:45,51.9
2022-04-19 14:35:00,51.9
2022-04-19 14:35:15,71.4
2022-04-19 14:35:30,71.4
2022-04-19 14:35:45,66.4
2022-04-19 14:36:00,66.4
2022-04-19 14:36:15,62.5
2022-04-19 14:36:30,62.5
2022-04-19 14:36:45,60.2
2022-04-19 14:37:00,60.2
2022-04-19 14:37:15,68.3
2022-04-19 14:37:30,68.3
2022-04-19 14:37:45,78.1
2022-04-19 14:38:00,78.1
2022-04-19 14:38:15,53.5
2022-04-19 14:38:30,53.5
2022-04-19 14:38:45,79.0
2022-04-19 14:39:00,79.0
2022-04-19 14:39:15,56.5
2022-04-19 14:39:30,56.5
2022-04-19 14:39:45,79.6
2022-04-19 14:40:00,79.6
2022-04-19 14:40:15,52.0
2022-04-19 14:40:30,52.0
2022-04-19 14:40:45,62.0
2022-04-19 14:41:00,62.0
2022-04-19 14:41:15,42.3
2022-04-19 14:41:30,42.3
2022-04-19 14:41:45,64.1
2022-04-19 14:42:00,64.1
2022-04-19 14:42:15,63.4
2022-04-19 14:42:30,63.4
2022-04-19 14:42:45,79.0
2022-04-19 14:43:00,79.0
2022-04-19 14:43:15,78.8
2022-04-19 14:43:30,78.8
2022-04-19 14:43:45,63.5
2022-04-19 14:44:00,63.5
2022-04-19 14:44:15,74.4
2022-04-19 14:44:30,74.4
2022-04-19 14:44:45,74.6
2022-04-19 14:45:00,74.6
2022-04-19 14:45:15,60.6
2022-04-19 14:45:30,60.6
2022-04-19 14:45:45,77.7
2022-04-19 14:46:00,77.7
2022-04-19 14:46:15,59.1
2022-04-19 14:46:30,59.1
2022-04-19 14:46:45,52.7
2022-04-19 14:47:00,52.7
2022-04-19 14:47:15,82.1
2022-04-19 14:47:30,82.1
2022-04-19 14:47:45,65.2
2022-04-19 14:48:00,65.2
2022-04-19 14:48:15,73.9
2022-04-19 14:48:30,73.9
2022-04-19 14:48:45,63.9
2022-04-19 14:49:00,63.9
2022-04-19 14:49:15,86.9
2022-04-19 14:49:30,86.9
2022-04-19 14:49:45,67.4
2022-04-19 14:50:00,67.4
2022-04-19 14:50:15,60.6
2022-04-19 14:50:30,60.6
2022-04-19 14:50:45,56.9
2022-04-19 14:51:00,56.9
2022-04-19 14:51:15,67.6
2022-04-19 14:51:30,67.6
2022-04-19 14:51:45,63.8
2022-04-19 14:52:00,63.8
2022-04-19 14:52:15,79.9
2022-04-19 14:52:30,79.9
2022-04-19 14:52:45,53.3
2022-04-19 14:53:00,53.3
2022-04-19 14:53:15,78.2
2022-04-19 14:53:30,78.2
2022-04-19 14:53:45,68.1
2022-04-19 14:54:00,68.1
2022-04-19 14:54:15,85.4
2022-04-19 14:54:30,85.4
2022-04-19 14:54:45,95.4
2022-04-19 14:55:00,95.4
2022-04-19 14:55:15,83.8
2022-04-19 14:55:30,83.8
2022-04-19 14:55:45,68.7
2022-04-19 14:56:00,68.7
2022-04-19 14:56:15,79.8
2022-04-19 14:56:30,79.8
2022-04-19 14:56:45,57.0
2022-04-19 14:57:00,57.0
2022-04-19 14:57:15,92.9
2022-04-19 14:57:30,92.9
2022-04-19 14:57:45,79.5
2022-04-19 14:58:00,79.5
2022-04-19 14:58:15,84.4
2022-04-19 14:58:30,84.4
2022-04-19 14:58:45,74.9
2022-04-19 14:59:00,74.9
2022-04-19 14:59:15,65.2
2022-04-19 14:59:30,65.2
2022-04-19 14:59:45,61.8
2022-04-19 15:00:00,61.8
2022-04-19 15:00:15,91.8
2022-04-19 15:00:30,91.8
2022-04-19 15:00:45,65.4
2022-04-19 15:01:00,65.4
2022-04-19 15:01:15,56.0
2022-04-19 15:01:30,56.0
2022-04-19 15:01:45,100
2022-04-19 15:02:00,100
2022-04-19 15:02:15,90.9
2022-04-19 15:02:30,90.9
2022-04-19 15:02:45,66.3
2022-04-19 15:03:00,66.3
2022-04-19 15:03:15,53.3
2022-04-19 15:03:30,53.3

