"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:38:18,547 ms,393 ms,702 ms
2022-04-19 14:38:20,545 ms,390 ms,700 ms
2022-04-19 14:38:22,545 ms,391 ms,698 ms
2022-04-19 14:38:24,501 ms,491 ms,512 ms
2022-04-19 14:38:26,500 ms,460 ms,540 ms
2022-04-19 14:38:28,469 ms,439 ms,499 ms
2022-04-19 14:38:30,474 ms,434 ms,515 ms
2022-04-19 14:38:32,405 ms,413 ms,397 ms
2022-04-19 14:38:34,366 ms,332 ms,400 ms
2022-04-19 14:38:36,471 ms,585 ms,357 ms
2022-04-19 14:38:38,498 ms,669 ms,327 ms
2022-04-19 14:38:40,518 ms,697 ms,339 ms
2022-04-19 14:38:42,539 ms,744 ms,335 ms
2022-04-19 14:38:44,422 ms,506 ms,338 ms
2022-04-19 14:38:46,321 ms,336 ms,305 ms
2022-04-19 14:38:48,302 ms,326 ms,277 ms
2022-04-19 14:38:50,431 ms,340 ms,523 ms
2022-04-19 14:38:52,611 ms,338 ms,884 ms
2022-04-19 14:38:54,636 ms,322 ms,951 ms
2022-04-19 14:38:56,619 ms,327 ms,911 ms
2022-04-19 14:38:58,637 ms,475 ms,799 ms
2022-04-19 14:39:00,551 ms,511 ms,591 ms
2022-04-19 14:39:02,431 ms,487 ms,374 ms
2022-04-19 14:39:04,407 ms,492 ms,322 ms
2022-04-19 14:39:06,323 ms,375 ms,272 ms
2022-04-19 14:39:08,324 ms,375 ms,273 ms
2022-04-19 14:39:10,328 ms,369 ms,287 ms
2022-04-19 14:39:12,377 ms,411 ms,343 ms
2022-04-19 14:39:14,424 ms,453 ms,396 ms
2022-04-19 14:39:16,431 ms,406 ms,456 ms
2022-04-19 14:39:18,475 ms,447 ms,503 ms
2022-04-19 14:39:20,510 ms,504 ms,516 ms
2022-04-19 14:39:22,507 ms,445 ms,569 ms
2022-04-19 14:39:24,525 ms,442 ms,608 ms
2022-04-19 14:39:26,525 ms,458 ms,592 ms
2022-04-19 14:39:28,448 ms,360 ms,537 ms
2022-04-19 14:39:30,425 ms,370 ms,480 ms
2022-04-19 14:39:32,396 ms,445 ms,346 ms
2022-04-19 14:39:34,402 ms,416 ms,388 ms
2022-04-19 14:39:36,458 ms,483 ms,432 ms
2022-04-19 14:39:38,487 ms,515 ms,459 ms
2022-04-19 14:39:40,482 ms,521 ms,444 ms
2022-04-19 14:39:42,473 ms,549 ms,398 ms
2022-04-19 14:39:44,399 ms,521 ms,277 ms
2022-04-19 14:39:46,368 ms,474 ms,263 ms
2022-04-19 14:39:48,315 ms,370 ms,261 ms
2022-04-19 14:39:50,330 ms,257 ms,403 ms
2022-04-19 14:39:52,427 ms,267 ms,586 ms
2022-04-19 14:39:54,495 ms,284 ms,706 ms
2022-04-19 14:39:56,503 ms,301 ms,705 ms
2022-04-19 14:39:58,483 ms,312 ms,654 ms
2022-04-19 14:40:00,455 ms,356 ms,555 ms
2022-04-19 14:40:02,385 ms,369 ms,402 ms
2022-04-19 14:40:04,423 ms,449 ms,397 ms
2022-04-19 14:40:06,425 ms,466 ms,383 ms
