"Time","Average Response Rate","edge-server-cv-74d975f7cd-8snqw Response","edge-server-cv-74d975f7cd-kf4xg Response","edge-server-cv-74d975f7cd-zpwg8 Response"
2022-04-19 15:23:18,415 ms,385 ms,517 ms,341 ms
2022-04-19 15:23:20,469 ms,507 ms,541 ms,360 ms
2022-04-19 15:23:22,506 ms,632 ms,523 ms,364 ms
2022-04-19 15:23:24,483 ms,602 ms,480 ms,365 ms
2022-04-19 15:23:26,449 ms,582 ms,382 ms,384 ms
2022-04-19 15:23:28,423 ms,609 ms,317 ms,344 ms
2022-04-19 15:23:30,378 ms,489 ms,317 ms,328 ms
2022-04-19 15:23:32,326 ms,300 ms,292 ms,387 ms
2022-04-19 15:23:34,351 ms,392 ms,256 ms,407 ms
2022-04-19 15:23:36,343 ms,389 ms,257 ms,384 ms
2022-04-19 15:23:38,338 ms,387 ms,268 ms,360 ms
2022-04-19 15:23:40,356 ms,370 ms,349 ms,349 ms
2022-04-19 15:23:42,351 ms,385 ms,341 ms,327 ms
2022-04-19 15:23:44,474 ms,776 ms,352 ms,295 ms
2022-04-19 15:23:46,492 ms,772 ms,425 ms,280 ms
2022-04-19 15:23:48,545 ms,713 ms,482 ms,439 ms
2022-04-19 15:23:50,661 ms,767 ms,704 ms,511 ms
2022-04-19 15:23:52,513 ms,254 ms,703 ms,582 ms
2022-04-19 15:23:54,514 ms,261 ms,698 ms,582 ms
2022-04-19 15:23:56,403 ms,263 ms,629 ms,318 ms
2022-04-19 15:23:58,279 ms,283 ms,307 ms,248 ms
2022-04-19 15:24:00,281 ms,274 ms,311 ms,259 ms
2022-04-19 15:24:02,281 ms,276 ms,311 ms,255 ms
2022-04-19 15:24:04,359 ms,452 ms,315 ms,311 ms
2022-04-19 15:24:06,532 ms,425 ms,282 ms,889 ms
2022-04-19 15:24:08,569 ms,459 ms,279 ms,970 ms
2022-04-19 15:24:10,578 ms,503 ms,269 ms,960 ms
2022-04-19 15:24:12,488 ms,325 ms,262 ms,877 ms
2022-04-19 15:24:14,454 ms,382 ms,362 ms,618 ms
2022-04-19 15:24:16,399 ms,435 ms,369 ms,392 ms
2022-04-19 15:24:18,389 ms,414 ms,349 ms,405 ms
2022-04-19 15:24:20,376 ms,370 ms,321 ms,437 ms
2022-04-19 15:24:22,328 ms,404 ms,251 ms,330 ms
2022-04-19 15:24:24,320 ms,404 ms,240 ms,317 ms
2022-04-19 15:24:26,330 ms,373 ms,301 ms,315 ms
2022-04-19 15:24:28,355 ms,397 ms,418 ms,251 ms
2022-04-19 15:24:30,374 ms,315 ms,496 ms,311 ms
2022-04-19 15:24:32,404 ms,388 ms,453 ms,371 ms
2022-04-19 15:24:34,419 ms,436 ms,448 ms,373 ms
2022-04-19 15:24:36,400 ms,401 ms,419 ms,381 ms
2022-04-19 15:24:38,357 ms,399 ms,335 ms,339 ms
2022-04-19 15:24:40,350 ms,332 ms,353 ms,363 ms
2022-04-19 15:24:42,344 ms,369 ms,375 ms,289 ms
2022-04-19 15:24:44,368 ms,333 ms,404 ms,366 ms
2022-04-19 15:24:46,530 ms,333 ms,348 ms,909 ms
2022-04-19 15:24:48,520 ms,354 ms,362 ms,845 ms
2022-04-19 15:24:50,462 ms,339 ms,301 ms,746 ms
2022-04-19 15:24:52,503 ms,254 ms,481 ms,774 ms
2022-04-19 15:24:54,451 ms,249 ms,477 ms,626 ms
2022-04-19 15:24:56,380 ms,249 ms,468 ms,422 ms
2022-04-19 15:24:58,560 ms,810 ms,467 ms,403 ms
2022-04-19 15:25:00,665 ms,1.03 s,470 ms,497 ms
2022-04-19 15:25:02,710 ms,1.18 s,468 ms,477 ms
2022-04-19 15:25:04,642 ms,943 ms,455 ms,526 ms
2022-04-19 15:25:06,583 ms,802 ms,455 ms,491 ms
2022-04-19 15:25:08,424 ms,669 ms,296 ms,308 ms
2022-04-19 15:25:10,375 ms,527 ms,296 ms,301 ms
2022-04-19 15:25:12,367 ms,364 ms,436 ms,300 ms
2022-04-19 15:25:14,498 ms,403 ms,813 ms,279 ms
2022-04-19 15:25:16,443 ms,355 ms,744 ms,231 ms
2022-04-19 15:25:18,421 ms,273 ms,748 ms,241 ms
2022-04-19 15:25:20,419 ms,273 ms,666 ms,319 ms
2022-04-19 15:25:22,385 ms,250 ms,583 ms,323 ms
2022-04-19 15:25:24,295 ms,256 ms,293 ms,336 ms
2022-04-19 15:25:26,320 ms,259 ms,312 ms,390 ms
2022-04-19 15:25:28,310 ms,254 ms,325 ms,352 ms
2022-04-19 15:25:30,307 ms,245 ms,332 ms,345 ms
2022-04-19 15:25:32,356 ms,276 ms,340 ms,453 ms
2022-04-19 15:25:34,498 ms,448 ms,360 ms,687 ms
2022-04-19 15:25:36,475 ms,450 ms,341 ms,632 ms
2022-04-19 15:25:38,489 ms,525 ms,309 ms,632 ms
2022-04-19 15:25:40,521 ms,552 ms,357 ms,653 ms
2022-04-19 15:25:42,426 ms,460 ms,506 ms,313 ms
2022-04-19 15:25:44,689 ms,1.00 s,764 ms,299 ms
2022-04-19 15:25:46,673 ms,860 ms,864 ms,294 ms
2022-04-19 15:25:48,669 ms,817 ms,898 ms,292 ms
2022-04-19 15:25:50,734 ms,887 ms,1.01 s,307 ms
2022-04-19 15:25:52,454 ms,717 ms,387 ms,258 ms
2022-04-19 15:25:54,297 ms,259 ms,369 ms,263 ms
2022-04-19 15:25:56,338 ms,249 ms,357 ms,407 ms
2022-04-19 15:25:58,342 ms,249 ms,370 ms,406 ms
2022-04-19 15:26:00,364 ms,253 ms,455 ms,386 ms
2022-04-19 15:26:02,455 ms,343 ms,607 ms,414 ms
2022-04-19 15:26:04,496 ms,688 ms,532 ms,269 ms
2022-04-19 15:26:06,593 ms,940 ms,564 ms,275 ms
2022-04-19 15:26:08,587 ms,934 ms,551 ms,276 ms
2022-04-19 15:26:10,487 ms,804 ms,340 ms,317 ms
2022-04-19 15:26:12,464 ms,755 ms,321 ms,317 ms
2022-04-19 15:26:14,338 ms,366 ms,321 ms,328 ms
2022-04-19 15:26:16,338 ms,343 ms,312 ms,358 ms
2022-04-19 15:26:18,335 ms,315 ms,285 ms,405 ms
2022-04-19 15:26:20,361 ms,418 ms,280 ms,386 ms
2022-04-19 15:26:22,351 ms,417 ms,266 ms,369 ms
2022-04-19 15:26:24,358 ms,430 ms,248 ms,395 ms
2022-04-19 15:26:26,402 ms,419 ms,244 ms,542 ms
2022-04-19 15:26:28,628 ms,566 ms,243 ms,1.07 s
2022-04-19 15:26:30,628 ms,474 ms,243 ms,1.17 s
2022-04-19 15:26:32,713 ms,452 ms,347 ms,1.34 s
2022-04-19 15:26:34,715 ms,452 ms,404 ms,1.29 s
2022-04-19 15:26:36,786 ms,441 ms,903 ms,1.01 s
2022-04-19 15:26:38,503 ms,301 ms,939 ms,269 ms
2022-04-19 15:26:40,493 ms,318 ms,902 ms,258 ms
2022-04-19 15:26:42,467 ms,339 ms,847 ms,213 ms
2022-04-19 15:26:44,504 ms,407 ms,882 ms,222 ms
2022-04-19 15:26:46,366 ms,401 ms,395 ms,302 ms
2022-04-19 15:26:48,321 ms,369 ms,291 ms,302 ms
2022-04-19 15:26:50,349 ms,358 ms,368 ms,323 ms
2022-04-19 15:26:52,412 ms,328 ms,334 ms,573 ms
2022-04-19 15:26:54,401 ms,231 ms,324 ms,648 ms
2022-04-19 15:26:56,384 ms,234 ms,348 ms,572 ms
2022-04-19 15:26:58,403 ms,242 ms,378 ms,587 ms
2022-04-19 15:27:00,503 ms,255 ms,574 ms,680 ms
2022-04-19 15:27:02,444 ms,253 ms,509 ms,570 ms
2022-04-19 15:27:04,452 ms,250 ms,484 ms,623 ms
2022-04-19 15:27:06,515 ms,246 ms,536 ms,764 ms
2022-04-19 15:27:08,277 ms,260 ms,235 ms,337 ms
2022-04-19 15:27:10,298 ms,261 ms,259 ms,374 ms
2022-04-19 15:27:12,312 ms,260 ms,297 ms,379 ms
2022-04-19 15:27:14,333 ms,323 ms,298 ms,379 ms
2022-04-19 15:27:16,336 ms,306 ms,260 ms,441 ms
2022-04-19 15:27:18,330 ms,311 ms,260 ms,419 ms
2022-04-19 15:27:20,339 ms,307 ms,260 ms,449 ms
2022-04-19 15:27:22,373 ms,289 ms,287 ms,544 ms
2022-04-19 15:27:24,438 ms,336 ms,299 ms,678 ms
2022-04-19 15:27:26,458 ms,413 ms,289 ms,671 ms
2022-04-19 15:27:28,500 ms,527 ms,301 ms,671 ms
2022-04-19 15:27:30,475 ms,524 ms,301 ms,599 ms
2022-04-19 15:27:32,335 ms,495 ms,284 ms,227 ms
2022-04-19 15:27:34,471 ms,464 ms,765 ms,185 ms
2022-04-19 15:27:36,511 ms,424 ms,930 ms,180 ms
2022-04-19 15:27:38,497 ms,407 ms,863 ms,220 ms
2022-04-19 15:27:40,488 ms,306 ms,930 ms,229 ms
2022-04-19 15:27:42,299 ms,288 ms,362 ms,246 ms
2022-04-19 15:27:44,302 ms,325 ms,315 ms,267 ms
2022-04-19 15:27:46,329 ms,339 ms,348 ms,301 ms
2022-04-19 15:27:48,350 ms,351 ms,373 ms,326 ms
2022-04-19 15:27:50,356 ms,370 ms,358 ms,339 ms
2022-04-19 15:27:52,364 ms,389 ms,367 ms,336 ms
2022-04-19 15:27:54,497 ms,674 ms,385 ms,433 ms
2022-04-19 15:27:56,670 ms,1.09 s,386 ms,538 ms
2022-04-19 15:27:58,647 ms,1.09 s,343 ms,509 ms
2022-04-19 15:28:00,707 ms,1.23 s,360 ms,527 ms
2022-04-19 15:28:02,620 ms,1.13 s,296 ms,431 ms
2022-04-19 15:28:04,447 ms,669 ms,312 ms,361 ms
2022-04-19 15:28:06,368 ms,383 ms,314 ms,406 ms
2022-04-19 15:28:08,404 ms,547 ms,289 ms,376 ms
2022-04-19 15:28:10,401 ms,549 ms,268 ms,388 ms
2022-04-19 15:28:12,382 ms,484 ms,260 ms,401 ms
2022-04-19 15:28:14,361 ms,492 ms,260 ms,333 ms
2022-04-19 15:28:16,350 ms,520 ms,246 ms,284 ms
2022-04-19 15:28:18,302 ms,318 ms,306 ms,280 ms
2022-04-19 15:28:20,370 ms,519 ms,311 ms,280 ms
2022-04-19 15:28:22,378 ms,494 ms,314 ms,325 ms
