"Time","Total requests"
2022-04-19 15:20:00,72
2022-04-19 15:20:15,84
2022-04-19 15:20:30,98
2022-04-19 15:20:45,83
2022-04-19 15:21:00,69
2022-04-19 15:21:15,82
2022-04-19 15:21:30,85
2022-04-19 15:21:45,78
2022-04-19 15:22:00,79
2022-04-19 15:22:15,78
2022-04-19 15:22:30,79
2022-04-19 15:22:45,84
2022-04-19 15:23:00,71
2022-04-19 15:23:15,76
2022-04-19 15:23:30,79
2022-04-19 15:23:45,85
2022-04-19 15:24:00,80
2022-04-19 15:24:15,76
2022-04-19 15:24:30,87
2022-04-19 15:24:45,88
2022-04-19 15:25:00,86
2022-04-19 15:25:15,86
2022-04-19 15:25:30,86
2022-04-19 15:25:45,96
2022-04-19 15:26:00,87
2022-04-19 15:26:15,71
2022-04-19 15:26:30,89
2022-04-19 15:26:45,86
2022-04-19 15:27:00,81
2022-04-19 15:27:15,74
2022-04-19 15:27:30,68
2022-04-19 15:27:45,74
2022-04-19 15:28:00,96
2022-04-19 15:28:15,95
2022-04-19 15:28:30,84
2022-04-19 15:28:45,85
2022-04-19 15:29:00,88
2022-04-19 15:29:15,78
2022-04-19 15:29:30,68
2022-04-19 15:29:45,82
2022-04-19 15:30:00,86
2022-04-19 15:30:15,77
2022-04-19 15:30:30,86
2022-04-19 15:30:45,79
2022-04-19 15:31:00,77
2022-04-19 15:31:15,85
2022-04-19 15:31:30,89
2022-04-19 15:31:45,79
2022-04-19 15:32:00,80
2022-04-19 15:32:15,85
2022-04-19 15:32:30,98
2022-04-19 15:32:45,83
2022-04-19 15:33:00,82
2022-04-19 15:33:15,91
2022-04-19 15:33:30,88
2022-04-19 15:33:45,88
2022-04-19 15:34:00,75
2022-04-19 15:34:15,88
2022-04-19 15:34:30,97
2022-04-19 15:34:45,77
2022-04-19 15:35:00,76
2022-04-19 15:35:15,81
2022-04-19 15:35:30,90
2022-04-19 15:35:45,85
2022-04-19 15:36:00,68
2022-04-19 15:36:15,85
2022-04-19 15:36:30,81
2022-04-19 15:36:45,72
2022-04-19 15:37:00,68
2022-04-19 15:37:15,68
2022-04-19 15:37:30,84
2022-04-19 15:37:45,79
2022-04-19 15:38:00,65
2022-04-19 15:38:15,72
2022-04-19 15:38:30,72
2022-04-19 15:38:45,74
2022-04-19 15:39:00,78
2022-04-19 15:39:15,65
2022-04-19 15:39:30,73
2022-04-19 15:39:45,77
2022-04-19 15:40:00,74
2022-04-19 15:40:15,81
2022-04-19 15:40:30,80
2022-04-19 15:40:45,83
2022-04-19 15:41:00,93
2022-04-19 15:41:15,83
2022-04-19 15:41:30,91
2022-04-19 15:41:45,77
2022-04-19 15:42:00,63
2022-04-19 15:42:15,66
2022-04-19 15:42:30,68
2022-04-19 15:42:45,78
2022-04-19 15:43:00,78
2022-04-19 15:43:15,76
2022-04-19 15:43:30,90
2022-04-19 15:43:45,88
2022-04-19 15:44:00,88
2022-04-19 15:44:15,80
2022-04-19 15:44:30,76
2022-04-19 15:44:45,77
2022-04-19 15:45:00,69
2022-04-19 15:45:15,78
2022-04-19 15:45:30,89
2022-04-19 15:45:45,99
2022-04-19 15:46:00,85
2022-04-19 15:46:15,79
2022-04-19 15:46:30,79
2022-04-19 15:46:45,69
2022-04-19 15:47:00,89
2022-04-19 15:47:15,92
2022-04-19 15:47:30,82
2022-04-19 15:47:45,86
2022-04-19 15:48:00,82
2022-04-19 15:48:15,67
2022-04-19 15:48:30,70
2022-04-19 15:48:45,81
2022-04-19 15:49:00,81

