"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-74d975f7cd-kf4xg Memory Usage","edge-server-cv-74d975f7cd-8snqw Memory Usage","edge-server-cv-74d975f7cd-zpwg8 Memory Usage"
2022-04-19 15:39:15,2850865152,950288384,975392768,1074065408,801406976
2022-04-19 15:39:30,2850865152,950288384,975392768,1074065408,801406976
2022-04-19 15:39:45,2419073024,806357675,808226816,706306048,904540160
2022-04-19 15:40:00,2419073024,806357675,808226816,706306048,904540160
2022-04-19 15:40:15,2690387968,896795989,997031936,1019281408,674074624
2022-04-19 15:40:30,2690387968,896795989,997031936,1019281408,674074624
2022-04-19 15:40:45,2954571776,984857259,1078267904,1159581696,716722176
2022-04-19 15:41:00,2954571776,984857259,1078267904,1159581696,716722176
2022-04-19 15:41:15,3003973632,1001324544,1177206784,767291392,1059475456
2022-04-19 15:41:30,3003973632,1001324544,1177206784,767291392,1059475456
2022-04-19 15:41:45,2636701696,878900565,732565504,879099904,1025036288
2022-04-19 15:42:00,2636701696,878900565,732565504,879099904,1025036288
2022-04-19 15:42:15,2702577664,900859221,834154496,977661952,890761216
2022-04-19 15:42:30,2702577664,900859221,834154496,977661952,890761216
2022-04-19 15:42:45,2379849728,793283243,925560832,717422592,736866304
2022-04-19 15:43:00,2379849728,793283243,925560832,717422592,736866304
2022-04-19 15:43:15,2644938752,881646251,1108365312,504152064,1032421376
2022-04-19 15:43:30,2644938752,881646251,1108365312,504152064,1032421376
2022-04-19 15:43:45,2664554496,888184832,994037760,885284864,785231872
2022-04-19 15:44:00,2664554496,888184832,994037760,885284864,785231872
2022-04-19 15:44:15,2131841024,710613675,622485504,866074624,643280896
2022-04-19 15:44:30,2131841024,710613675,622485504,866074624,643280896
2022-04-19 15:44:45,2714861568,904953856,837902336,972582912,904376320
2022-04-19 15:45:00,2714861568,904953856,837902336,972582912,904376320
2022-04-19 15:45:15,2828365824,942788608,1050021888,815284224,963059712
2022-04-19 15:45:30,2828365824,942788608,1050021888,815284224,963059712
2022-04-19 15:45:45,3024191488,1008063829,808992768,1182167040,1033031680
2022-04-19 15:46:00,3024191488,1008063829,808992768,1182167040,1033031680
2022-04-19 15:46:15,2565275648,855091883,725278720,811622400,1028374528
2022-04-19 15:46:30,2565275648,855091883,725278720,811622400,1028374528
2022-04-19 15:46:45,2617085952,872361984,1034010624,716992512,866082816
2022-04-19 15:47:00,2617085952,872361984,1034010624,716992512,866082816
2022-04-19 15:47:15,2651942912,883980971,786026496,785666048,1080250368
2022-04-19 15:47:30,2651942912,883980971,786026496,785666048,1080250368
2022-04-19 15:47:45,2191163392,730387797,534876160,1020207104,636080128
2022-04-19 15:48:00,2191163392,730387797,534876160,1020207104,636080128
2022-04-19 15:48:15,2392076288,797358763,853839872,754909184,783327232
2022-04-19 15:48:30,2392076288,797358763,853839872,754909184,783327232
2022-04-19 15:48:45,2527989760,842663253,937172992,888508416,702308352
2022-04-19 15:49:00,2527989760,842663253,937172992,888508416,702308352

