"Time","edge-server-cv-74d975f7cd-kf4xg","edge-server-cv-74d975f7cd-8snqw","edge-server-cv-74d975f7cd-zpwg8","average"
2022-04-19 15:46:45,0.418,0.323,0.261,0.334
2022-04-19 15:47:00,0.418,0.323,0.261,0.334
2022-04-19 15:47:15,0.315,0.487,0.392,0.398
2022-04-19 15:47:30,0.315,0.487,0.392,0.398
2022-04-19 15:47:45,0.429,0.371,0.343,0.381
2022-04-19 15:48:00,0.429,0.371,0.343,0.381
2022-04-19 15:48:15,0.435,0.407,0.443,0.429
2022-04-19 15:48:30,0.435,0.407,0.443,0.429
2022-04-19 15:48:45,0.533,0.394,0.257,0.395
2022-04-19 15:49:00,0.533,0.394,0.257,0.395

