"Time","edge-server-cv-74d975f7cd-kf4xg","edge-server-cv-74d975f7cd-8snqw","edge-server-cv-74d975f7cd-zpwg8","Average"
2022-04-19 15:43:30,52.9,24.0,49.2,42.0
2022-04-19 15:43:45,47.4,42.2,37.4,42.4
2022-04-19 15:44:00,47.4,42.2,37.4,42.4
2022-04-19 15:44:15,29.7,41.3,30.7,33.9
2022-04-19 15:44:30,29.7,41.3,30.7,33.9
2022-04-19 15:44:45,40.0,46.4,43.1,43.2
2022-04-19 15:45:00,40.0,46.4,43.1,43.2
2022-04-19 15:45:15,50.1,38.9,45.9,45.0
2022-04-19 15:45:30,50.1,38.9,45.9,45.0
2022-04-19 15:45:45,38.6,56.4,49.3,48.1
2022-04-19 15:46:00,38.6,56.4,49.3,48.1
2022-04-19 15:46:15,34.6,38.7,49.0,40.8
2022-04-19 15:46:30,34.6,38.7,49.0,40.8
2022-04-19 15:46:45,49.3,34.2,41.3,41.6
2022-04-19 15:47:00,49.3,34.2,41.3,41.6
2022-04-19 15:47:15,37.5,37.5,51.5,42.2
2022-04-19 15:47:30,37.5,37.5,51.5,42.2
2022-04-19 15:47:45,25.5,48.6,30.3,34.8
2022-04-19 15:48:00,25.5,48.6,30.3,34.8
2022-04-19 15:48:15,40.7,36.0,37.4,38.0
2022-04-19 15:48:30,40.7,36.0,37.4,38.0
2022-04-19 15:48:45,44.7,42.4,33.5,40.2
2022-04-19 15:49:00,44.7,42.4,33.5,40.2

