"Time","60s"
2022-04-18 14:29:00,0.521
2022-04-18 14:29:15,0.708
2022-04-18 14:29:30,0.708
2022-04-18 14:29:45,0.680
2022-04-18 14:30:00,0.680
2022-04-18 14:30:15,1.08
2022-04-18 14:30:30,1.08
2022-04-18 14:30:45,0.845
2022-04-18 14:31:00,0.845
2022-04-18 14:31:15,1.02
2022-04-18 14:31:30,1.02
2022-04-18 14:31:45,0.628
2022-04-18 14:32:00,0.628
2022-04-18 14:32:15,0.793
2022-04-18 14:32:30,0.793
2022-04-18 14:32:45,1.30
2022-04-18 14:33:00,1.30
2022-04-18 14:33:15,1.62
2022-04-18 14:33:30,1.62
2022-04-18 14:33:45,0.868
2022-04-18 14:34:00,0.868
2022-04-18 14:34:15,0.946
2022-04-18 14:34:30,0.946
2022-04-18 14:34:45,0.586
2022-04-18 14:35:00,0.586
2022-04-18 14:35:15,0.966
2022-04-18 14:35:30,0.966
2022-04-18 14:35:45,0.605
2022-04-18 14:36:00,0.605
2022-04-18 14:36:15,1.66
2022-04-18 14:36:30,1.66
2022-04-18 14:36:45,0.573
2022-04-18 14:37:00,0.573
2022-04-18 14:37:15,0.661
2022-04-18 14:37:30,0.661
2022-04-18 14:37:45,0.543
2022-04-18 14:38:00,0.543
2022-04-18 14:38:15,0.495
2022-04-18 14:38:30,0.495
2022-04-18 14:38:45,0.613
2022-04-18 14:39:00,0.613
2022-04-18 14:39:15,0.719
2022-04-18 14:39:30,0.719
2022-04-18 14:39:45,0.455
2022-04-18 14:40:00,0.455
2022-04-18 14:40:15,0.852
2022-04-18 14:40:30,0.852
2022-04-18 14:40:45,0.718
2022-04-18 14:41:00,0.718
2022-04-18 14:41:15,0.287
2022-04-18 14:41:30,0.287
2022-04-18 14:41:45,0.955
2022-04-18 14:42:00,0.955
2022-04-18 14:42:15,1.10
2022-04-18 14:42:30,1.10
2022-04-18 14:42:45,0.813
2022-04-18 14:43:00,0.813
2022-04-18 14:43:15,0.782
2022-04-18 14:43:30,0.782
2022-04-18 14:43:45,0.497
2022-04-18 14:44:00,0.497
2022-04-18 14:44:15,0.659
2022-04-18 14:44:30,0.659
2022-04-18 14:44:45,0.760
2022-04-18 14:45:00,0.760
2022-04-18 14:45:15,0.236
2022-04-18 14:45:30,0.236
2022-04-18 14:45:45,1.65
2022-04-18 14:46:00,1.65
2022-04-18 14:46:15,0.429
2022-04-18 14:46:30,0.429
2022-04-18 14:46:45,0.782
2022-04-18 14:47:00,0.782
2022-04-18 14:47:15,0.642
2022-04-18 14:47:30,0.642
2022-04-18 14:47:45,0.772
2022-04-18 14:48:00,0.772
2022-04-18 14:48:15,1.55
2022-04-18 14:48:30,1.55
2022-04-18 14:48:45,0.925
2022-04-18 14:49:00,0.925
2022-04-18 14:49:15,1.16
2022-04-18 14:49:30,1.16
2022-04-18 14:49:45,1.10
2022-04-18 14:50:00,1.10
2022-04-18 14:50:15,1.31
2022-04-18 14:50:30,1.31
2022-04-18 14:50:45,1.08
2022-04-18 14:51:00,1.08
2022-04-18 14:51:15,0.832
2022-04-18 14:51:30,0.832
2022-04-18 14:51:45,0.911
2022-04-18 14:52:00,0.911
2022-04-18 14:52:15,1.22
2022-04-18 14:52:30,1.22
2022-04-18 14:52:45,2.03
2022-04-18 14:53:00,2.03
2022-04-18 14:53:15,0.435
2022-04-18 14:53:30,0.435
2022-04-18 14:53:45,0.873
2022-04-18 14:54:00,0.873
2022-04-18 14:54:15,1.04
2022-04-18 14:54:30,1.04
2022-04-18 14:54:45,0.542
2022-04-18 14:55:00,0.542
2022-04-18 14:55:15,0.859
2022-04-18 14:55:30,0.859
2022-04-18 14:55:45,0.920
2022-04-18 14:56:00,0.920
2022-04-18 14:56:15,1.20
2022-04-18 14:56:30,1.20
2022-04-18 14:56:45,0.955
2022-04-18 14:57:00,0.955
2022-04-18 14:57:15,0.637
2022-04-18 14:57:30,0.637
2022-04-18 14:57:45,0.467
2022-04-18 14:58:00,0.467

