"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-hwv29 Memory Usage","edge-server-cv-78d887c496-rpl2c Memory Usage"
2022-04-19 14:23:45,2423341056,1211670528,1408528384,1014812672
2022-04-19 14:24:00,2423341056,1211670528,1408528384,1014812672
2022-04-19 14:24:15,1978241024,989120512,1240698880,737542144
2022-04-19 14:24:30,1978241024,989120512,1240698880,737542144
2022-04-19 14:24:45,2566578176,1283289088,968421376,1598156800
2022-04-19 14:25:00,2566578176,1283289088,968421376,1598156800
2022-04-19 14:25:15,2468315136,1234157568,1347780608,1120534528
2022-04-19 14:25:30,2468315136,1234157568,1347780608,1120534528
2022-04-19 14:25:45,2570256384,1285128192,1377525760,1192730624
2022-04-19 14:26:00,2570256384,1285128192,1377525760,1192730624
2022-04-19 14:26:15,2966507520,1483253760,1582350336,1384157184
2022-04-19 14:26:30,2966507520,1483253760,1582350336,1384157184
2022-04-19 14:26:45,2907918336,1453959168,1699115008,1208803328
2022-04-19 14:27:00,2907918336,1453959168,1699115008,1208803328
2022-04-19 14:27:15,2544955392,1272477696,1345568768,1199386624
2022-04-19 14:27:30,2544955392,1272477696,1345568768,1199386624
2022-04-19 14:27:45,2160386048,1080193024,1061658624,1098727424
2022-04-19 14:28:00,2160386048,1080193024,1061658624,1098727424
2022-04-19 14:28:15,2309083136,1154541568,1440063488,869019648
2022-04-19 14:28:30,2309083136,1154541568,1440063488,869019648
2022-04-19 14:28:45,2503557120,1251778560,1277939712,1225617408

