"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 14:16:08,396 ms,296 ms,496 ms
2022-04-19 14:16:10,398 ms,288 ms,508 ms
2022-04-19 14:16:12,440 ms,311 ms,570 ms
2022-04-19 14:16:14,400 ms,311 ms,489 ms
2022-04-19 14:16:16,368 ms,311 ms,425 ms
2022-04-19 14:16:18,366 ms,313 ms,419 ms
2022-04-19 14:16:20,326 ms,271 ms,381 ms
2022-04-19 14:16:22,266 ms,270 ms,262 ms
2022-04-19 14:16:24,286 ms,310 ms,261 ms
2022-04-19 14:16:26,279 ms,303 ms,255 ms
2022-04-19 14:16:28,282 ms,308 ms,256 ms
2022-04-19 14:16:30,281 ms,309 ms,254 ms
2022-04-19 14:16:32,277 ms,310 ms,245 ms
2022-04-19 14:16:34,261 ms,268 ms,255 ms
2022-04-19 14:16:36,324 ms,262 ms,386 ms
2022-04-19 14:16:38,366 ms,298 ms,434 ms
2022-04-19 14:16:40,367 ms,291 ms,442 ms
2022-04-19 14:16:42,366 ms,286 ms,446 ms
2022-04-19 14:16:44,348 ms,274 ms,423 ms
2022-04-19 14:16:46,271 ms,282 ms,261 ms
2022-04-19 14:16:48,277 ms,263 ms,291 ms
2022-04-19 14:16:50,327 ms,271 ms,383 ms
2022-04-19 14:16:52,386 ms,280 ms,491 ms
2022-04-19 14:16:54,405 ms,298 ms,512 ms
2022-04-19 14:16:56,418 ms,318 ms,518 ms
2022-04-19 14:16:58,417 ms,323 ms,512 ms
2022-04-19 14:17:00,338 ms,307 ms,370 ms
2022-04-19 14:17:02,289 ms,289 ms,289 ms
2022-04-19 14:17:04,355 ms,354 ms,357 ms
2022-04-19 14:17:06,365 ms,343 ms,388 ms
2022-04-19 14:17:08,366 ms,340 ms,392 ms
2022-04-19 14:17:10,370 ms,354 ms,387 ms
2022-04-19 14:17:12,275 ms,246 ms,305 ms
2022-04-19 14:17:14,291 ms,280 ms,301 ms
2022-04-19 14:17:16,271 ms,278 ms,265 ms
2022-04-19 14:17:18,269 ms,278 ms,261 ms
2022-04-19 14:17:20,273 ms,278 ms,268 ms
2022-04-19 14:17:22,278 ms,279 ms,278 ms
2022-04-19 14:17:24,297 ms,291 ms,304 ms
2022-04-19 14:17:26,337 ms,310 ms,364 ms
2022-04-19 14:17:28,355 ms,327 ms,383 ms
2022-04-19 14:17:30,352 ms,333 ms,372 ms
2022-04-19 14:17:32,346 ms,315 ms,378 ms
2022-04-19 14:17:34,306 ms,293 ms,318 ms
2022-04-19 14:17:36,277 ms,281 ms,272 ms
2022-04-19 14:17:38,278 ms,286 ms,270 ms
2022-04-19 14:17:40,283 ms,282 ms,284 ms
2022-04-19 14:17:42,306 ms,329 ms,284 ms
2022-04-19 14:17:44,294 ms,318 ms,270 ms
2022-04-19 14:17:46,388 ms,418 ms,358 ms
2022-04-19 14:17:48,392 ms,426 ms,358 ms
2022-04-19 14:17:50,404 ms,449 ms,358 ms
2022-04-19 14:17:52,390 ms,423 ms,358 ms
2022-04-19 14:17:54,342 ms,310 ms,373 ms
2022-04-19 14:17:56,305 ms,294 ms,317 ms
2022-04-19 14:17:58,309 ms,297 ms,320 ms
2022-04-19 14:18:00,307 ms,290 ms,324 ms
2022-04-19 14:18:02,305 ms,295 ms,315 ms
2022-04-19 14:18:04,296 ms,303 ms,289 ms
2022-04-19 14:18:06,288 ms,280 ms,297 ms
2022-04-19 14:18:08,296 ms,283 ms,310 ms
2022-04-19 14:18:10,319 ms,305 ms,333 ms
2022-04-19 14:18:12,319 ms,288 ms,351 ms
2022-04-19 14:18:14,317 ms,281 ms,353 ms
2022-04-19 14:18:16,303 ms,278 ms,329 ms
2022-04-19 14:18:18,289 ms,268 ms,311 ms
2022-04-19 14:18:20,297 ms,283 ms,311 ms
2022-04-19 14:18:22,314 ms,376 ms,253 ms
2022-04-19 14:18:24,330 ms,381 ms,279 ms
2022-04-19 14:18:26,336 ms,393 ms,278 ms
2022-04-19 14:18:28,330 ms,381 ms,278 ms
2022-04-19 14:18:30,330 ms,368 ms,292 ms
2022-04-19 14:18:32,327 ms,360 ms,293 ms
2022-04-19 14:18:34,325 ms,373 ms,277 ms
2022-04-19 14:18:36,327 ms,369 ms,285 ms
2022-04-19 14:18:38,333 ms,384 ms,282 ms
2022-04-19 14:18:40,350 ms,412 ms,288 ms
2022-04-19 14:18:42,361 ms,439 ms,283 ms
2022-04-19 14:18:44,363 ms,450 ms,277 ms
2022-04-19 14:18:46,355 ms,433 ms,277 ms
2022-04-19 14:18:48,328 ms,401 ms,255 ms
2022-04-19 14:18:50,270 ms,282 ms,258 ms
2022-04-19 14:18:52,358 ms,291 ms,424 ms
2022-04-19 14:18:54,378 ms,290 ms,467 ms
2022-04-19 14:18:56,403 ms,281 ms,526 ms
2022-04-19 14:18:58,382 ms,279 ms,485 ms
2022-04-19 14:19:00,390 ms,267 ms,512 ms
2022-04-19 14:19:02,315 ms,268 ms,362 ms
2022-04-19 14:19:04,289 ms,266 ms,311 ms
2022-04-19 14:19:06,300 ms,289 ms,311 ms
2022-04-19 14:19:08,386 ms,438 ms,334 ms
2022-04-19 14:19:10,380 ms,455 ms,306 ms
2022-04-19 14:19:12,397 ms,443 ms,351 ms
2022-04-19 14:19:14,408 ms,446 ms,370 ms
2022-04-19 14:19:16,351 ms,335 ms,368 ms
2022-04-19 14:19:18,327 ms,289 ms,365 ms
2022-04-19 14:19:20,297 ms,280 ms,314 ms
2022-04-19 14:19:22,380 ms,405 ms,354 ms
2022-04-19 14:19:24,481 ms,632 ms,329 ms
2022-04-19 14:19:26,469 ms,611 ms,328 ms
2022-04-19 14:19:28,527 ms,618 ms,436 ms
2022-04-19 14:19:30,494 ms,593 ms,395 ms
2022-04-19 14:19:32,372 ms,369 ms,375 ms
2022-04-19 14:19:34,349 ms,289 ms,409 ms
2022-04-19 14:19:36,395 ms,384 ms,406 ms
2022-04-19 14:19:38,402 ms,484 ms,320 ms
2022-04-19 14:19:40,478 ms,632 ms,324 ms
2022-04-19 14:19:42,492 ms,646 ms,339 ms
2022-04-19 14:19:44,513 ms,647 ms,378 ms
2022-04-19 14:19:46,519 ms,662 ms,377 ms
2022-04-19 14:19:48,443 ms,512 ms,374 ms
2022-04-19 14:19:50,410 ms,464 ms,356 ms
2022-04-19 14:19:52,386 ms,484 ms,289 ms
2022-04-19 14:19:54,370 ms,457 ms,283 ms
2022-04-19 14:19:56,365 ms,457 ms,273 ms
2022-04-19 14:19:58,323 ms,376 ms,270 ms
2022-04-19 14:20:00,279 ms,280 ms,279 ms
2022-04-19 14:20:02,276 ms,284 ms,268 ms
2022-04-19 14:20:04,292 ms,288 ms,296 ms
2022-04-19 14:20:06,348 ms,395 ms,301 ms
2022-04-19 14:20:08,337 ms,366 ms,307 ms
2022-04-19 14:20:10,317 ms,328 ms,306 ms
2022-04-19 14:20:12,307 ms,325 ms,290 ms
2022-04-19 14:20:14,296 ms,320 ms,272 ms
2022-04-19 14:20:16,264 ms,255 ms,274 ms
2022-04-19 14:20:18,278 ms,297 ms,259 ms
2022-04-19 14:20:20,286 ms,302 ms,270 ms
2022-04-19 14:20:22,311 ms,315 ms,307 ms
2022-04-19 14:20:24,311 ms,304 ms,318 ms
2022-04-19 14:20:26,303 ms,275 ms,332 ms
2022-04-19 14:20:28,305 ms,287 ms,323 ms
2022-04-19 14:20:30,295 ms,308 ms,281 ms
2022-04-19 14:20:32,294 ms,314 ms,274 ms
2022-04-19 14:20:34,300 ms,329 ms,271 ms
2022-04-19 14:20:36,296 ms,317 ms,275 ms
2022-04-19 14:20:38,298 ms,321 ms,275 ms
2022-04-19 14:20:40,342 ms,342 ms,341 ms
2022-04-19 14:20:42,448 ms,459 ms,437 ms
2022-04-19 14:20:44,489 ms,449 ms,530 ms
2022-04-19 14:20:46,493 ms,439 ms,546 ms
2022-04-19 14:20:48,473 ms,422 ms,523 ms
2022-04-19 14:20:50,400 ms,343 ms,457 ms
2022-04-19 14:20:52,342 ms,329 ms,355 ms
2022-04-19 14:20:54,297 ms,335 ms,258 ms
2022-04-19 14:20:56,294 ms,327 ms,261 ms
2022-04-19 14:20:58,267 ms,269 ms,264 ms
2022-04-19 14:21:00,265 ms,270 ms,259 ms
2022-04-19 14:21:02,265 ms,266 ms,264 ms
2022-04-19 14:21:04,273 ms,265 ms,281 ms
2022-04-19 14:21:06,292 ms,255 ms,329 ms
2022-04-19 14:21:08,296 ms,267 ms,326 ms
2022-04-19 14:21:10,294 ms,261 ms,326 ms
2022-04-19 14:21:12,291 ms,255 ms,326 ms
2022-04-19 14:21:14,289 ms,297 ms,281 ms
2022-04-19 14:21:16,382 ms,326 ms,437 ms
2022-04-19 14:21:18,409 ms,320 ms,498 ms
2022-04-19 14:21:20,428 ms,343 ms,512 ms
2022-04-19 14:21:22,435 ms,357 ms,513 ms
2022-04-19 14:21:24,428 ms,327 ms,529 ms
2022-04-19 14:21:26,352 ms,344 ms,361 ms
2022-04-19 14:21:28,344 ms,319 ms,369 ms
2022-04-19 14:21:30,318 ms,269 ms,366 ms
2022-04-19 14:21:32,321 ms,290 ms,352 ms
2022-04-19 14:21:34,289 ms,302 ms,276 ms
2022-04-19 14:21:36,287 ms,300 ms,275 ms
2022-04-19 14:21:38,298 ms,319 ms,276 ms
2022-04-19 14:21:40,328 ms,324 ms,332 ms
2022-04-19 14:21:42,330 ms,326 ms,334 ms
2022-04-19 14:21:44,317 ms,299 ms,335 ms
2022-04-19 14:21:46,310 ms,285 ms,335 ms
2022-04-19 14:21:48,307 ms,282 ms,331 ms
2022-04-19 14:21:50,323 ms,279 ms,367 ms
2022-04-19 14:21:52,325 ms,275 ms,375 ms
2022-04-19 14:21:54,335 ms,282 ms,387 ms
2022-04-19 14:21:56,350 ms,320 ms,380 ms
2022-04-19 14:21:58,312 ms,325 ms,299 ms
2022-04-19 14:22:00,313 ms,323 ms,303 ms
2022-04-19 14:22:02,326 ms,367 ms,285 ms
2022-04-19 14:22:04,311 ms,357 ms,266 ms
2022-04-19 14:22:06,312 ms,358 ms,266 ms
2022-04-19 14:22:08,322 ms,355 ms,288 ms
2022-04-19 14:22:10,343 ms,340 ms,345 ms
2022-04-19 14:22:12,326 ms,303 ms,349 ms
2022-04-19 14:22:14,347 ms,295 ms,399 ms
2022-04-19 14:22:16,347 ms,307 ms,387 ms
2022-04-19 14:22:18,348 ms,307 ms,389 ms
2022-04-19 14:22:20,354 ms,317 ms,390 ms
2022-04-19 14:22:22,308 ms,316 ms,299 ms
2022-04-19 14:22:24,308 ms,310 ms,307 ms
2022-04-19 14:22:26,294 ms,300 ms,288 ms
2022-04-19 14:22:28,285 ms,304 ms,266 ms
2022-04-19 14:22:30,317 ms,312 ms,323 ms
2022-04-19 14:22:32,313 ms,318 ms,309 ms
2022-04-19 14:22:34,305 ms,289 ms,321 ms
2022-04-19 14:22:36,327 ms,323 ms,332 ms
2022-04-19 14:22:38,335 ms,351 ms,320 ms
2022-04-19 14:22:40,335 ms,337 ms,333 ms
2022-04-19 14:22:42,343 ms,352 ms,335 ms
2022-04-19 14:22:44,332 ms,340 ms,323 ms
2022-04-19 14:22:46,333 ms,349 ms,317 ms
2022-04-19 14:22:48,322 ms,363 ms,280 ms
2022-04-19 14:22:50,333 ms,384 ms,283 ms
2022-04-19 14:22:52,328 ms,379 ms,277 ms
2022-04-19 14:22:54,315 ms,359 ms,272 ms
2022-04-19 14:22:56,310 ms,356 ms,263 ms
2022-04-19 14:22:58,285 ms,311 ms,259 ms
2022-04-19 14:23:00,289 ms,314 ms,265 ms
2022-04-19 14:23:02,285 ms,302 ms,269 ms
2022-04-19 14:23:04,283 ms,294 ms,273 ms
2022-04-19 14:23:06,274 ms,272 ms,276 ms
2022-04-19 14:23:08,292 ms,277 ms,307 ms
2022-04-19 14:23:10,287 ms,275 ms,299 ms
2022-04-19 14:23:12,281 ms,271 ms,291 ms
2022-04-19 14:23:14,290 ms,281 ms,298 ms
2022-04-19 14:23:16,299 ms,306 ms,293 ms
2022-04-19 14:23:18,303 ms,314 ms,292 ms
2022-04-19 14:23:20,313 ms,324 ms,302 ms
2022-04-19 14:23:22,310 ms,311 ms,309 ms
2022-04-19 14:23:24,307 ms,315 ms,299 ms
2022-04-19 14:23:26,286 ms,303 ms,269 ms
2022-04-19 14:23:28,409 ms,314 ms,503 ms
2022-04-19 14:23:30,423 ms,296 ms,551 ms
2022-04-19 14:23:32,405 ms,295 ms,514 ms
2022-04-19 14:23:34,387 ms,273 ms,502 ms
2022-04-19 14:23:36,383 ms,280 ms,486 ms
2022-04-19 14:23:38,297 ms,281 ms,313 ms
2022-04-19 14:23:40,296 ms,290 ms,303 ms
2022-04-19 14:23:42,303 ms,294 ms,311 ms
2022-04-19 14:23:44,309 ms,306 ms,311 ms
2022-04-19 14:23:46,292 ms,292 ms,292 ms
2022-04-19 14:23:48,300 ms,336 ms,264 ms
2022-04-19 14:23:50,349 ms,337 ms,360 ms
2022-04-19 14:23:52,393 ms,335 ms,452 ms
2022-04-19 14:23:54,389 ms,333 ms,445 ms
2022-04-19 14:23:56,371 ms,318 ms,424 ms
2022-04-19 14:23:58,373 ms,330 ms,417 ms
2022-04-19 14:24:00,348 ms,343 ms,353 ms
2022-04-19 14:24:02,341 ms,335 ms,346 ms
2022-04-19 14:24:04,368 ms,370 ms,366 ms
2022-04-19 14:24:06,364 ms,358 ms,370 ms
2022-04-19 14:24:08,342 ms,366 ms,317 ms
2022-04-19 14:24:10,330 ms,357 ms,304 ms
2022-04-19 14:24:12,331 ms,313 ms,350 ms
2022-04-19 14:24:14,331 ms,310 ms,351 ms
2022-04-19 14:24:16,331 ms,322 ms,339 ms
2022-04-19 14:24:18,355 ms,332 ms,378 ms
2022-04-19 14:24:20,354 ms,328 ms,381 ms
2022-04-19 14:24:22,382 ms,328 ms,436 ms
2022-04-19 14:24:24,415 ms,375 ms,454 ms
2022-04-19 14:24:26,412 ms,354 ms,469 ms
2022-04-19 14:24:28,392 ms,376 ms,408 ms
2022-04-19 14:24:30,336 ms,405 ms,267 ms
2022-04-19 14:24:32,340 ms,405 ms,274 ms
2022-04-19 14:24:34,323 ms,359 ms,287 ms
2022-04-19 14:24:36,315 ms,354 ms,277 ms
2022-04-19 14:24:38,289 ms,306 ms,272 ms
2022-04-19 14:24:40,299 ms,304 ms,293 ms
2022-04-19 14:24:42,318 ms,258 ms,379 ms
2022-04-19 14:24:44,318 ms,258 ms,379 ms
2022-04-19 14:24:46,343 ms,295 ms,391 ms
2022-04-19 14:24:48,338 ms,296 ms,379 ms
2022-04-19 14:24:50,324 ms,292 ms,357 ms
2022-04-19 14:24:52,327 ms,325 ms,329 ms
2022-04-19 14:24:54,323 ms,313 ms,334 ms
2022-04-19 14:24:56,336 ms,322 ms,349 ms
2022-04-19 14:24:58,375 ms,321 ms,429 ms
2022-04-19 14:25:00,392 ms,327 ms,456 ms
2022-04-19 14:25:02,421 ms,402 ms,440 ms
2022-04-19 14:25:04,453 ms,423 ms,482 ms
2022-04-19 14:25:06,416 ms,391 ms,440 ms
2022-04-19 14:25:08,346 ms,392 ms,299 ms
2022-04-19 14:25:10,267 ms,255 ms,280 ms
2022-04-19 14:25:12,298 ms,307 ms,288 ms
2022-04-19 14:25:14,301 ms,296 ms,306 ms
2022-04-19 14:25:16,300 ms,299 ms,302 ms
2022-04-19 14:25:18,313 ms,314 ms,312 ms
2022-04-19 14:25:20,335 ms,344 ms,326 ms
2022-04-19 14:25:22,353 ms,408 ms,298 ms
2022-04-19 14:25:24,338 ms,407 ms,270 ms
2022-04-19 14:25:26,332 ms,388 ms,275 ms
2022-04-19 14:25:28,327 ms,382 ms,272 ms
2022-04-19 14:25:30,287 ms,291 ms,282 ms
2022-04-19 14:25:32,285 ms,280 ms,291 ms
2022-04-19 14:25:34,320 ms,343 ms,296 ms
2022-04-19 14:25:36,315 ms,347 ms,284 ms
2022-04-19 14:25:38,321 ms,347 ms,295 ms
2022-04-19 14:25:40,318 ms,350 ms,286 ms
2022-04-19 14:25:42,320 ms,284 ms,356 ms
2022-04-19 14:25:44,343 ms,333 ms,352 ms
2022-04-19 14:25:46,371 ms,381 ms,361 ms
2022-04-19 14:25:48,372 ms,368 ms,377 ms
2022-04-19 14:25:50,379 ms,362 ms,396 ms
2022-04-19 14:25:52,342 ms,320 ms,363 ms
2022-04-19 14:25:54,330 ms,296 ms,363 ms
2022-04-19 14:25:56,331 ms,293 ms,369 ms
2022-04-19 14:25:58,314 ms,293 ms,334 ms
2022-04-19 14:26:00,313 ms,298 ms,328 ms
2022-04-19 14:26:02,286 ms,292 ms,281 ms
2022-04-19 14:26:04,276 ms,277 ms,274 ms
2022-04-19 14:26:06,287 ms,293 ms,281 ms
2022-04-19 14:26:08,318 ms,335 ms,302 ms
2022-04-19 14:26:10,372 ms,346 ms,397 ms
2022-04-19 14:26:12,370 ms,339 ms,402 ms
2022-04-19 14:26:14,395 ms,371 ms,418 ms
2022-04-19 14:26:16,457 ms,496 ms,418 ms
2022-04-19 14:26:18,431 ms,464 ms,398 ms
2022-04-19 14:26:20,559 ms,730 ms,388 ms
2022-04-19 14:26:22,694 ms,805 ms,582 ms
2022-04-19 14:26:24,714 ms,802 ms,625 ms
2022-04-19 14:26:26,742 ms,810 ms,674 ms
2022-04-19 14:26:28,713 ms,756 ms,671 ms
2022-04-19 14:26:30,425 ms,439 ms,411 ms
2022-04-19 14:26:32,341 ms,341 ms,340 ms
2022-04-19 14:26:34,298 ms,329 ms,268 ms
2022-04-19 14:26:36,299 ms,325 ms,272 ms
2022-04-19 14:26:38,297 ms,321 ms,273 ms
2022-04-19 14:26:40,300 ms,329 ms,271 ms
2022-04-19 14:26:42,282 ms,296 ms,268 ms
2022-04-19 14:26:44,305 ms,293 ms,317 ms
2022-04-19 14:26:46,327 ms,325 ms,329 ms
2022-04-19 14:26:48,365 ms,394 ms,336 ms
2022-04-19 14:26:50,378 ms,394 ms,362 ms
2022-04-19 14:26:52,349 ms,400 ms,299 ms
2022-04-19 14:26:54,401 ms,408 ms,394 ms
2022-04-19 14:26:56,341 ms,302 ms,380 ms
2022-04-19 14:26:58,354 ms,317 ms,391 ms
2022-04-19 14:27:00,532 ms,347 ms,717 ms
2022-04-19 14:27:02,561 ms,391 ms,730 ms
2022-04-19 14:27:04,558 ms,415 ms,701 ms
2022-04-19 14:27:06,533 ms,397 ms,669 ms
2022-04-19 14:27:08,454 ms,415 ms,493 ms
2022-04-19 14:27:10,366 ms,424 ms,307 ms
2022-04-19 14:27:12,349 ms,381 ms,317 ms
2022-04-19 14:27:14,348 ms,381 ms,316 ms
2022-04-19 14:27:16,335 ms,378 ms,292 ms
2022-04-19 14:27:18,305 ms,328 ms,282 ms
2022-04-19 14:27:20,275 ms,291 ms,260 ms
2022-04-19 14:27:22,287 ms,308 ms,266 ms
2022-04-19 14:27:24,319 ms,336 ms,302 ms
2022-04-19 14:27:26,328 ms,337 ms,318 ms
2022-04-19 14:27:28,336 ms,328 ms,344 ms
2022-04-19 14:27:30,320 ms,300 ms,340 ms
2022-04-19 14:27:32,331 ms,315 ms,346 ms
2022-04-19 14:27:34,344 ms,379 ms,309 ms
2022-04-19 14:27:36,332 ms,394 ms,270 ms
2022-04-19 14:27:38,343 ms,406 ms,280 ms
2022-04-19 14:27:40,352 ms,430 ms,274 ms
2022-04-19 14:27:42,332 ms,364 ms,299 ms
2022-04-19 14:27:44,322 ms,337 ms,308 ms
2022-04-19 14:27:46,342 ms,374 ms,309 ms
2022-04-19 14:27:48,357 ms,346 ms,368 ms
2022-04-19 14:27:50,435 ms,349 ms,520 ms
2022-04-19 14:27:52,492 ms,357 ms,626 ms
2022-04-19 14:27:54,474 ms,341 ms,606 ms
2022-04-19 14:27:56,434 ms,277 ms,591 ms
2022-04-19 14:27:58,388 ms,273 ms,502 ms
2022-04-19 14:28:00,288 ms,270 ms,307 ms
2022-04-19 14:28:02,299 ms,251 ms,347 ms
2022-04-19 14:28:04,300 ms,247 ms,352 ms
2022-04-19 14:28:06,301 ms,250 ms,353 ms
2022-04-19 14:28:08,303 ms,260 ms,346 ms
2022-04-19 14:28:10,318 ms,291 ms,344 ms
2022-04-19 14:28:12,315 ms,324 ms,305 ms
2022-04-19 14:28:14,428 ms,390 ms,465 ms
2022-04-19 14:28:16,475 ms,369 ms,582 ms
2022-04-19 14:28:18,488 ms,368 ms,608 ms
2022-04-19 14:28:20,508 ms,364 ms,652 ms
2022-04-19 14:28:22,462 ms,296 ms,628 ms
2022-04-19 14:28:24,352 ms,297 ms,406 ms
2022-04-19 14:28:26,343 ms,294 ms,393 ms
2022-04-19 14:28:28,290 ms,290 ms,291 ms
2022-04-19 14:28:30,283 ms,281 ms,286 ms
2022-04-19 14:28:32,290 ms,295 ms,284 ms
2022-04-19 14:28:34,338 ms,385 ms,291 ms
2022-04-19 14:28:36,403 ms,394 ms,413 ms
2022-04-19 14:28:38,416 ms,394 ms,439 ms
2022-04-19 14:28:40,464 ms,379 ms,550 ms
2022-04-19 14:28:42,433 ms,291 ms,574 ms
2022-04-19 14:28:44,517 ms,297 ms,736 ms
2022-04-19 14:28:46,517 ms,296 ms,737 ms
2022-04-19 14:28:48,540 ms,300 ms,780 ms
2022-04-19 14:28:50,598 ms,308 ms,889 ms

