"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 14:03:34,267 ms,249 ms,284 ms
2022-04-19 14:03:36,266 ms,255 ms,278 ms
2022-04-19 14:03:38,260 ms,258 ms,261 ms
2022-04-19 14:03:40,262 ms,265 ms,258 ms
2022-04-19 14:03:42,334 ms,391 ms,277 ms
2022-04-19 14:03:44,408 ms,519 ms,297 ms
2022-04-19 14:03:46,423 ms,537 ms,309 ms
2022-04-19 14:03:48,428 ms,538 ms,319 ms
2022-04-19 14:03:50,453 ms,600 ms,305 ms
2022-04-19 14:03:52,368 ms,436 ms,300 ms
2022-04-19 14:03:54,358 ms,433 ms,283 ms
2022-04-19 14:03:56,356 ms,418 ms,295 ms
2022-04-19 14:03:58,308 ms,322 ms,295 ms
2022-04-19 14:04:00,318 ms,334 ms,302 ms
2022-04-19 14:04:02,349 ms,370 ms,329 ms
2022-04-19 14:04:04,363 ms,371 ms,355 ms
2022-04-19 14:04:06,355 ms,370 ms,341 ms
2022-04-19 14:04:08,379 ms,419 ms,340 ms
2022-04-19 14:04:10,351 ms,372 ms,330 ms
2022-04-19 14:04:12,334 ms,365 ms,303 ms
2022-04-19 14:04:14,309 ms,361 ms,258 ms
2022-04-19 14:04:16,264 ms,260 ms,267 ms
2022-04-19 14:04:18,276 ms,267 ms,285 ms
2022-04-19 14:04:20,278 ms,271 ms,284 ms
2022-04-19 14:04:22,280 ms,266 ms,294 ms
2022-04-19 14:04:24,270 ms,246 ms,294 ms
2022-04-19 14:04:26,266 ms,262 ms,269 ms
2022-04-19 14:04:28,264 ms,260 ms,269 ms
2022-04-19 14:04:30,260 ms,267 ms,252 ms
2022-04-19 14:04:32,254 ms,265 ms,243 ms
2022-04-19 14:04:34,250 ms,259 ms,240 ms
2022-04-19 14:04:36,250 ms,263 ms,237 ms
2022-04-19 14:04:38,255 ms,262 ms,248 ms
2022-04-19 14:04:40,264 ms,261 ms,267 ms
2022-04-19 14:04:42,275 ms,266 ms,284 ms
2022-04-19 14:04:44,283 ms,283 ms,284 ms
2022-04-19 14:04:46,280 ms,271 ms,288 ms
2022-04-19 14:04:48,279 ms,268 ms,291 ms
2022-04-19 14:04:50,283 ms,298 ms,269 ms
2022-04-19 14:04:52,288 ms,311 ms,266 ms
2022-04-19 14:04:54,295 ms,316 ms,273 ms
2022-04-19 14:04:56,292 ms,324 ms,259 ms
2022-04-19 14:04:58,344 ms,330 ms,358 ms
2022-04-19 14:05:00,305 ms,248 ms,362 ms
2022-04-19 14:05:02,309 ms,246 ms,372 ms
2022-04-19 14:05:04,333 ms,245 ms,422 ms
2022-04-19 14:05:06,302 ms,246 ms,358 ms
2022-04-19 14:05:08,372 ms,259 ms,486 ms
2022-04-19 14:05:10,390 ms,270 ms,510 ms
2022-04-19 14:05:12,367 ms,259 ms,475 ms
2022-04-19 14:05:14,368 ms,260 ms,477 ms
2022-04-19 14:05:16,356 ms,313 ms,398 ms
2022-04-19 14:05:18,302 ms,300 ms,305 ms
2022-04-19 14:05:20,298 ms,296 ms,300 ms
2022-04-19 14:05:22,294 ms,304 ms,285 ms
2022-04-19 14:05:24,284 ms,298 ms,270 ms
2022-04-19 14:05:26,317 ms,366 ms,268 ms
2022-04-19 14:05:28,329 ms,400 ms,258 ms
2022-04-19 14:05:30,331 ms,405 ms,257 ms
2022-04-19 14:05:32,315 ms,388 ms,243 ms
2022-04-19 14:05:34,320 ms,389 ms,250 ms
2022-04-19 14:05:36,257 ms,262 ms,251 ms
2022-04-19 14:05:38,257 ms,265 ms,248 ms
2022-04-19 14:05:40,253 ms,261 ms,245 ms
2022-04-19 14:05:42,274 ms,299 ms,249 ms
2022-04-19 14:05:44,278 ms,302 ms,254 ms
