"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:11:36,290 ms
2022-04-18 15:11:38,281 ms
2022-04-18 15:11:40,283 ms
2022-04-18 15:11:42,263 ms
2022-04-18 15:11:44,233 ms
2022-04-18 15:11:46,217 ms
2022-04-18 15:11:48,226 ms
2022-04-18 15:11:50,235 ms
2022-04-18 15:11:52,235 ms
2022-04-18 15:11:54,235 ms
2022-04-18 15:11:56,258 ms
2022-04-18 15:11:58,252 ms
2022-04-18 15:12:00,273 ms
2022-04-18 15:12:02,293 ms
2022-04-18 15:12:04,283 ms
2022-04-18 15:12:06,280 ms
2022-04-18 15:12:08,287 ms
2022-04-18 15:12:10,242 ms
2022-04-18 15:12:12,247 ms
2022-04-18 15:12:14,239 ms
2022-04-18 15:12:16,242 ms
2022-04-18 15:12:18,230 ms
2022-04-18 15:12:20,237 ms
2022-04-18 15:12:22,241 ms
2022-04-18 15:12:24,247 ms
2022-04-18 15:12:26,248 ms
2022-04-18 15:12:28,253 ms
2022-04-18 15:12:30,250 ms
2022-04-18 15:12:32,233 ms
2022-04-18 15:12:34,242 ms
2022-04-18 15:12:36,244 ms
2022-04-18 15:12:38,233 ms
2022-04-18 15:12:40,233 ms
2022-04-18 15:12:42,234 ms
2022-04-18 15:12:44,238 ms
2022-04-18 15:12:46,278 ms
2022-04-18 15:12:48,269 ms
2022-04-18 15:12:50,268 ms
2022-04-18 15:12:52,264 ms
2022-04-18 15:12:54,262 ms
2022-04-18 15:12:56,247 ms
2022-04-18 15:12:58,247 ms
2022-04-18 15:13:00,236 ms
2022-04-18 15:13:02,242 ms
2022-04-18 15:13:04,230 ms
2022-04-18 15:13:06,223 ms
2022-04-18 15:13:08,167 ms
2022-04-18 15:13:10,241 ms
2022-04-18 15:13:12,296 ms
2022-04-18 15:13:14,289 ms
2022-04-18 15:13:16,274 ms
2022-04-18 15:13:18,265 ms
2022-04-18 15:13:20,248 ms
2022-04-18 15:13:22,251 ms
2022-04-18 15:13:24,261 ms
2022-04-18 15:13:26,271 ms
2022-04-18 15:13:28,275 ms
2022-04-18 15:13:30,265 ms
2022-04-18 15:13:32,255 ms
2022-04-18 15:13:34,269 ms
2022-04-18 15:13:36,259 ms
2022-04-18 15:13:38,263 ms
2022-04-18 15:13:40,265 ms
2022-04-18 15:13:42,284 ms
2022-04-18 15:13:44,262 ms
2022-04-18 15:13:46,256 ms
2022-04-18 15:13:48,290 ms
2022-04-18 15:13:50,280 ms
2022-04-18 15:13:52,289 ms
2022-04-18 15:13:54,301 ms
2022-04-18 15:13:56,278 ms
2022-04-18 15:13:58,253 ms
2022-04-18 15:14:00,252 ms
2022-04-18 15:14:02,258 ms
2022-04-18 15:14:04,265 ms
2022-04-18 15:14:06,293 ms
2022-04-18 15:14:08,289 ms
2022-04-18 15:14:10,292 ms
2022-04-18 15:14:12,278 ms
2022-04-18 15:14:14,272 ms
2022-04-18 15:14:16,256 ms
2022-04-18 15:14:18,249 ms
2022-04-18 15:14:20,239 ms
2022-04-18 15:14:22,236 ms
2022-04-18 15:14:24,233 ms
2022-04-18 15:14:26,228 ms
2022-04-18 15:14:28,232 ms
2022-04-18 15:14:30,234 ms
2022-04-18 15:14:32,230 ms
2022-04-18 15:14:34,236 ms
2022-04-18 15:14:36,252 ms
2022-04-18 15:14:38,259 ms
2022-04-18 15:14:40,259 ms
2022-04-18 15:14:42,254 ms
2022-04-18 15:14:44,330 ms
2022-04-18 15:14:46,313 ms
2022-04-18 15:14:48,304 ms
2022-04-18 15:14:50,308 ms
2022-04-18 15:14:52,265 ms
2022-04-18 15:14:54,239 ms
2022-04-18 15:14:56,240 ms
2022-04-18 15:14:58,247 ms
2022-04-18 15:15:00,253 ms
2022-04-18 15:15:02,251 ms
2022-04-18 15:15:04,251 ms
2022-04-18 15:15:06,254 ms
2022-04-18 15:15:08,256 ms
2022-04-18 15:15:10,262 ms
2022-04-18 15:15:12,269 ms
2022-04-18 15:15:14,265 ms
2022-04-18 15:15:16,257 ms
2022-04-18 15:15:18,254 ms
2022-04-18 15:15:20,256 ms
2022-04-18 15:15:22,251 ms
2022-04-18 15:15:24,257 ms
2022-04-18 15:15:26,258 ms
2022-04-18 15:15:28,253 ms
2022-04-18 15:15:30,261 ms
2022-04-18 15:15:32,247 ms
2022-04-18 15:15:34,247 ms
2022-04-18 15:15:36,245 ms
2022-04-18 15:15:38,245 ms
2022-04-18 15:15:40,260 ms
