"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:31:18,259 ms
2022-04-18 15:31:20,290 ms
2022-04-18 15:31:22,292 ms
2022-04-18 15:31:24,291 ms
2022-04-18 15:31:26,282 ms
2022-04-18 15:31:28,247 ms
2022-04-18 15:31:30,243 ms
2022-04-18 15:31:32,229 ms
2022-04-18 15:31:34,238 ms
2022-04-18 15:31:36,257 ms
2022-04-18 15:31:38,239 ms
2022-04-18 15:31:40,244 ms
2022-04-18 15:31:42,239 ms
2022-04-18 15:31:44,231 ms
2022-04-18 15:31:46,230 ms
2022-04-18 15:31:48,235 ms
2022-04-18 15:31:50,234 ms
2022-04-18 15:31:52,245 ms
2022-04-18 15:31:54,248 ms
2022-04-18 15:31:56,256 ms
2022-04-18 15:31:58,269 ms
2022-04-18 15:32:00,317 ms
2022-04-18 15:32:02,334 ms
2022-04-18 15:32:04,344 ms
2022-04-18 15:32:06,331 ms
2022-04-18 15:32:08,302 ms
2022-04-18 15:32:10,250 ms
2022-04-18 15:32:12,251 ms
2022-04-18 15:32:14,242 ms
2022-04-18 15:32:16,245 ms
2022-04-18 15:32:18,257 ms
2022-04-18 15:32:20,279 ms
2022-04-18 15:32:22,278 ms
2022-04-18 15:32:24,280 ms
2022-04-18 15:32:26,330 ms
2022-04-18 15:32:28,300 ms
2022-04-18 15:32:30,306 ms
2022-04-18 15:32:32,291 ms
2022-04-18 15:32:34,282 ms
2022-04-18 15:32:36,266 ms
2022-04-18 15:32:38,269 ms
2022-04-18 15:32:40,271 ms
2022-04-18 15:32:42,268 ms
2022-04-18 15:32:44,267 ms
2022-04-18 15:32:46,261 ms
2022-04-18 15:32:48,254 ms
2022-04-18 15:32:50,254 ms
2022-04-18 15:32:52,255 ms
2022-04-18 15:32:54,253 ms
2022-04-18 15:32:56,261 ms
2022-04-18 15:32:58,310 ms
2022-04-18 15:33:00,317 ms
2022-04-18 15:33:02,335 ms
2022-04-18 15:33:04,330 ms
2022-04-18 15:33:06,368 ms
2022-04-18 15:33:08,274 ms
2022-04-18 15:33:10,274 ms
2022-04-18 15:33:12,285 ms
2022-04-18 15:33:14,326 ms
2022-04-18 15:33:16,328 ms
2022-04-18 15:33:18,330 ms
2022-04-18 15:33:20,323 ms
2022-04-18 15:33:22,318 ms
2022-04-18 15:33:24,258 ms
2022-04-18 15:33:26,263 ms
2022-04-18 15:33:28,270 ms
2022-04-18 15:33:30,273 ms
2022-04-18 15:33:32,272 ms
2022-04-18 15:33:34,272 ms
2022-04-18 15:33:36,283 ms
2022-04-18 15:33:38,272 ms
2022-04-18 15:33:40,276 ms
2022-04-18 15:33:42,278 ms
2022-04-18 15:33:44,260 ms
2022-04-18 15:33:46,255 ms
2022-04-18 15:33:48,257 ms
2022-04-18 15:33:50,255 ms
2022-04-18 15:33:52,257 ms
2022-04-18 15:33:54,253 ms
2022-04-18 15:33:56,264 ms
2022-04-18 15:33:58,256 ms
2022-04-18 15:34:00,257 ms
2022-04-18 15:34:02,257 ms
2022-04-18 15:34:04,257 ms
2022-04-18 15:34:06,255 ms
2022-04-18 15:34:08,274 ms
2022-04-18 15:34:10,271 ms
2022-04-18 15:34:12,286 ms
2022-04-18 15:34:14,293 ms
2022-04-18 15:34:16,284 ms
2022-04-18 15:34:18,283 ms
2022-04-18 15:34:20,267 ms
2022-04-18 15:34:22,266 ms
2022-04-18 15:34:24,258 ms
2022-04-18 15:34:26,257 ms
2022-04-18 15:34:28,238 ms
2022-04-18 15:34:30,246 ms
2022-04-18 15:34:32,258 ms
2022-04-18 15:34:34,260 ms
2022-04-18 15:34:36,266 ms
2022-04-18 15:34:38,278 ms
2022-04-18 15:34:40,272 ms
2022-04-18 15:34:42,272 ms
2022-04-18 15:34:44,262 ms

