"Time","Average Response Rate","edge-server-cv-74d975f7cd-64tvg Response","edge-server-cv-74d975f7cd-xj7sb Response"
2022-04-18 16:41:22,517 ms,679 ms,356 ms
2022-04-18 16:41:24,568 ms,705 ms,431 ms
2022-04-18 16:41:26,474 ms,553 ms,395 ms
2022-04-18 16:41:28,485 ms,580 ms,390 ms
2022-04-18 16:41:30,600 ms,580 ms,619 ms
2022-04-18 16:41:32,664 ms,599 ms,729 ms
2022-04-18 16:41:34,672 ms,568 ms,776 ms
2022-04-18 16:41:36,549 ms,354 ms,744 ms
2022-04-18 16:41:38,529 ms,275 ms,783 ms
2022-04-18 16:41:40,400 ms,339 ms,460 ms
2022-04-18 16:41:42,426 ms,401 ms,451 ms
2022-04-18 16:41:44,685 ms,885 ms,486 ms
2022-04-18 16:41:46,653 ms,847 ms,459 ms
2022-04-18 16:41:48,649 ms,870 ms,428 ms
2022-04-18 16:41:50,606 ms,762 ms,450 ms
2022-04-18 16:41:52,496 ms,679 ms,313 ms
2022-04-18 16:41:54,366 ms,405 ms,326 ms
2022-04-18 16:41:56,396 ms,375 ms,417 ms
2022-04-18 16:41:58,414 ms,402 ms,426 ms
2022-04-18 16:42:00,433 ms,390 ms,477 ms
2022-04-18 16:42:02,519 ms,454 ms,584 ms
2022-04-18 16:42:04,555 ms,537 ms,573 ms
2022-04-18 16:42:06,537 ms,513 ms,562 ms
2022-04-18 16:42:08,548 ms,576 ms,519 ms
2022-04-18 16:42:10,568 ms,701 ms,434 ms
2022-04-18 16:42:12,528 ms,757 ms,299 ms
2022-04-18 16:42:14,511 ms,725 ms,296 ms
2022-04-18 16:42:16,483 ms,675 ms,292 ms
2022-04-18 16:42:18,432 ms,537 ms,327 ms
2022-04-18 16:42:20,381 ms,380 ms,382 ms
2022-04-18 16:42:22,362 ms,341 ms,383 ms
2022-04-18 16:42:24,421 ms,333 ms,509 ms
2022-04-18 16:42:26,425 ms,326 ms,524 ms
2022-04-18 16:42:28,483 ms,284 ms,682 ms
2022-04-18 16:42:30,521 ms,291 ms,751 ms
2022-04-18 16:42:32,495 ms,369 ms,621 ms
2022-04-18 16:42:34,479 ms,369 ms,588 ms
2022-04-18 16:42:36,372 ms,389 ms,355 ms
2022-04-18 16:42:38,381 ms,409 ms,353 ms
2022-04-18 16:42:40,403 ms,398 ms,409 ms
2022-04-18 16:42:42,421 ms,375 ms,467 ms
2022-04-18 16:42:44,460 ms,374 ms,546 ms
2022-04-18 16:42:46,450 ms,333 ms,567 ms
2022-04-18 16:42:48,448 ms,321 ms,575 ms
2022-04-18 16:42:50,432 ms,279 ms,585 ms
2022-04-18 16:42:52,610 ms,709 ms,511 ms
2022-04-18 16:42:54,665 ms,868 ms,461 ms
2022-04-18 16:42:56,782 ms,898 ms,666 ms
2022-04-18 16:42:58,1.23 s,1.06 s,1.40 s
2022-04-18 16:43:00,1.53 s,1.32 s,1.74 s
2022-04-18 16:43:02,1.67 s,1.34 s,1.99 s
2022-04-18 16:43:04,1.79 s,1.38 s,2.20 s
2022-04-18 16:43:06,1.61 s,1.21 s,2.02 s
2022-04-18 16:43:08,1.30 s,877 ms,1.72 s
2022-04-18 16:43:10,806 ms,424 ms,1.19 s
2022-04-18 16:43:12,512 ms,368 ms,657 ms
2022-04-18 16:43:14,330 ms,280 ms,380 ms
2022-04-18 16:43:16,318 ms,266 ms,370 ms
2022-04-18 16:43:18,317 ms,281 ms,352 ms
2022-04-18 16:43:20,519 ms,288 ms,750 ms
2022-04-18 16:43:22,852 ms,447 ms,1.26 s
2022-04-18 16:43:24,1.11 s,924 ms,1.30 s
2022-04-18 16:43:26,1.11 s,1.05 s,1.17 s
2022-04-18 16:43:28,1.06 s,1.06 s,1.06 s
2022-04-18 16:43:30,946 ms,1.04 s,857 ms
2022-04-18 16:43:32,722 ms,750 ms,694 ms
2022-04-18 16:43:34,663 ms,819 ms,507 ms
2022-04-18 16:43:36,807 ms,1.02 s,597 ms
2022-04-18 16:43:38,806 ms,1.04 s,574 ms
2022-04-18 16:43:40,784 ms,1.03 s,537 ms
2022-04-18 16:43:42,726 ms,918 ms,533 ms
2022-04-18 16:43:44,572 ms,843 ms,301 ms
2022-04-18 16:43:46,520 ms,740 ms,300 ms
2022-04-18 16:43:48,506 ms,695 ms,316 ms
2022-04-18 16:43:50,583 ms,781 ms,384 ms
2022-04-18 16:43:52,618 ms,733 ms,502 ms
2022-04-18 16:43:54,504 ms,505 ms,504 ms
2022-04-18 16:43:56,539 ms,572 ms,506 ms
2022-04-18 16:43:58,914 ms,1.27 s,560 ms
2022-04-18 16:44:00,895 ms,1.21 s,575 ms
2022-04-18 16:44:02,888 ms,1.30 s,479 ms
2022-04-18 16:44:04,893 ms,1.14 s,647 ms
2022-04-18 16:44:06,969 ms,1.04 s,893 ms
2022-04-18 16:44:08,767 ms,565 ms,970 ms
2022-04-18 16:44:10,696 ms,460 ms,933 ms
2022-04-18 16:44:12,640 ms,428 ms,853 ms
2022-04-18 16:44:14,487 ms,471 ms,504 ms
2022-04-18 16:44:16,444 ms,426 ms,461 ms
2022-04-18 16:44:18,402 ms,452 ms,353 ms
2022-04-18 16:44:20,460 ms,534 ms,385 ms
2022-04-18 16:44:22,473 ms,627 ms,319 ms
2022-04-18 16:44:24,581 ms,547 ms,615 ms
2022-04-18 16:44:26,775 ms,598 ms,952 ms
2022-04-18 16:44:28,749 ms,626 ms,873 ms
2022-04-18 16:44:30,780 ms,721 ms,838 ms
2022-04-18 16:44:32,884 ms,727 ms,1.04 s
2022-04-18 16:44:34,1.19 s,921 ms,1.47 s
2022-04-18 16:44:36,1.22 s,874 ms,1.57 s
2022-04-18 16:44:38,1.29 s,782 ms,1.80 s
2022-04-18 16:44:40,1.27 s,841 ms,1.69 s
2022-04-18 16:44:42,743 ms,612 ms,874 ms
2022-04-18 16:44:44,647 ms,660 ms,634 ms
2022-04-18 16:44:46,635 ms,794 ms,476 ms
2022-04-18 16:44:48,626 ms,760 ms,491 ms
2022-04-18 16:44:50,668 ms,852 ms,484 ms
2022-04-18 16:44:52,725 ms,909 ms,540 ms
2022-04-18 16:44:54,729 ms,693 ms,764 ms
2022-04-18 16:44:56,779 ms,739 ms,819 ms
2022-04-18 16:44:58,693 ms,608 ms,778 ms
2022-04-18 16:45:00,630 ms,570 ms,690 ms
2022-04-18 16:45:02,412 ms,393 ms,432 ms
2022-04-18 16:45:04,372 ms,321 ms,422 ms
2022-04-18 16:45:06,369 ms,328 ms,410 ms
2022-04-18 16:45:08,398 ms,321 ms,474 ms
2022-04-18 16:45:10,552 ms,407 ms,698 ms
2022-04-18 16:45:12,572 ms,346 ms,799 ms
2022-04-18 16:45:14,657 ms,366 ms,948 ms
2022-04-18 16:45:16,574 ms,353 ms,795 ms
2022-04-18 16:45:18,523 ms,317 ms,730 ms
2022-04-18 16:45:20,388 ms,367 ms,409 ms
2022-04-18 16:45:22,446 ms,373 ms,520 ms
2022-04-18 16:45:24,465 ms,364 ms,566 ms
2022-04-18 16:45:26,468 ms,371 ms,565 ms
2022-04-18 16:45:28,446 ms,332 ms,560 ms
2022-04-18 16:45:30,437 ms,392 ms,482 ms
2022-04-18 16:45:32,449 ms,407 ms,492 ms
2022-04-18 16:45:34,418 ms,446 ms,390 ms
2022-04-18 16:45:36,526 ms,563 ms,488 ms
2022-04-18 16:45:38,678 ms,607 ms,750 ms
2022-04-18 16:45:40,857 ms,855 ms,859 ms
2022-04-18 16:45:42,826 ms,840 ms,812 ms
2022-04-18 16:45:44,842 ms,803 ms,881 ms
2022-04-18 16:45:46,755 ms,728 ms,783 ms
2022-04-18 16:45:48,534 ms,687 ms,382 ms
2022-04-18 16:45:50,405 ms,473 ms,337 ms
2022-04-18 16:45:52,506 ms,414 ms,598 ms
2022-04-18 16:45:54,600 ms,456 ms,743 ms
2022-04-18 16:45:56,593 ms,441 ms,745 ms
2022-04-18 16:45:58,592 ms,438 ms,745 ms
2022-04-18 16:46:00,623 ms,514 ms,732 ms
2022-04-18 16:46:02,742 ms,1.12 s,365 ms
2022-04-18 16:46:04,865 ms,1.45 s,283 ms
2022-04-18 16:46:06,989 ms,1.70 s,273 ms
2022-04-18 16:46:08,1.16 s,1.65 s,673 ms
2022-04-18 16:46:10,1.18 s,1.54 s,820 ms
2022-04-18 16:46:12,1.23 s,1.26 s,1.20 s
2022-04-18 16:46:14,1.30 s,1.16 s,1.45 s
2022-04-18 16:46:16,989 ms,579 ms,1.40 s
2022-04-18 16:46:18,900 ms,447 ms,1.35 s
2022-04-18 16:46:20,817 ms,461 ms,1.17 s
2022-04-18 16:46:22,632 ms,400 ms,865 ms
2022-04-18 16:46:24,430 ms,357 ms,503 ms
2022-04-18 16:46:26,435 ms,375 ms,495 ms
2022-04-18 16:46:28,578 ms,539 ms,617 ms
2022-04-18 16:46:30,563 ms,518 ms,609 ms
2022-04-18 16:46:32,598 ms,577 ms,619 ms
2022-04-18 16:46:34,641 ms,594 ms,687 ms
2022-04-18 16:46:36,623 ms,736 ms,510 ms
2022-04-18 16:46:38,828 ms,1.16 s,493 ms
2022-04-18 16:46:40,1.01 s,1.51 s,503 ms
2022-04-18 16:46:42,1.00 s,1.42 s,587 ms
2022-04-18 16:46:44,965 ms,1.33 s,598 ms
2022-04-18 16:46:46,942 ms,1.22 s,667 ms
2022-04-18 16:46:48,636 ms,651 ms,620 ms
2022-04-18 16:46:50,650 ms,684 ms,616 ms
