Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-19 15:20:12,370 ms,0.226,26.8,2.76,709,0.268,72.0,0.333,3.0,35.5
2022-04-19 15:20:14,355 ms,0.226,26.8,2.72,709,0.268,72.0,0.0,3.0,35.5
2022-04-19 15:20:15,355 ms,0.429,35.5,2.72,808,0.355,84.0,0.0,3.0,40.4
2022-04-19 15:20:16,509 ms,0.429,35.5,3.0,808,0.355,84.0,3.0,3.0,40.4
2022-04-19 15:20:18,543 ms,0.429,35.5,3.07,808,0.355,84.0,0.665,3.0,40.4
2022-04-19 15:20:20,528 ms,0.429,35.5,3.07,808,0.355,84.0,1.0,3.0,40.4
2022-04-19 15:20:22,551 ms,0.429,35.5,3.31,808,0.355,84.0,2.33,3.0,40.4
2022-04-19 15:20:24,527 ms,0.429,35.5,3.41,808,0.355,84.0,0.667,3.0,40.4
2022-04-19 15:20:26,363 ms,0.429,35.5,3.48,808,0.355,84.0,0.667,3.0,40.4
2022-04-19 15:20:28,369 ms,0.429,35.5,3.28,808,0.355,84.0,0.333,3.0,40.4
2022-04-19 15:20:30,333 ms,0.429,35.5,3.28,808,0.355,98.0,1.0,3.0,40.4
2022-04-19 15:20:32,304 ms,0.429,35.5,3.28,808,0.355,98.0,0.0,3.0,40.4
2022-04-19 15:20:34,388 ms,0.429,35.5,3.21,808,0.355,98.0,1.67,3.0,40.4
2022-04-19 15:20:36,404 ms,0.429,35.5,3.07,808,0.355,98.0,0.667,3.0,40.4
2022-04-19 15:20:38,432 ms,0.429,35.5,2.83,808,0.355,98.0,0.333,3.0,40.4
2022-04-19 15:20:40,424 ms,0.429,35.5,2.93,808,0.355,98.0,1.33,3.0,40.4
2022-04-19 15:20:42,402 ms,0.429,35.5,2.93,808,0.355,98.0,0.667,3.0,40.4
2022-04-19 15:20:44,303 ms,0.429,35.5,2.97,808,0.355,98.0,0.667,3.0,40.4
2022-04-19 15:20:45,303 ms,0.364,35.4,2.97,795,0.354,83.0,0.667,3.0,39.8
2022-04-19 15:20:46,317 ms,0.364,35.4,2.62,795,0.354,83.0,0.668,3.0,39.8
2022-04-19 15:20:48,413 ms,0.364,35.4,2.66,795,0.354,83.0,0.668,3.0,39.8
2022-04-19 15:20:50,547 ms,0.364,35.4,2.72,795,0.354,83.0,1.33,3.0,39.8
2022-04-19 15:20:52,562 ms,0.364,35.4,2.55,795,0.354,83.0,1.0,3.0,39.8
2022-04-19 15:20:54,542 ms,0.364,35.4,2.48,795,0.354,83.0,1.0,3.0,39.8
2022-04-19 15:20:56,544 ms,0.364,35.4,2.48,795,0.354,83.0,0.667,3.0,39.8
2022-04-19 15:20:58,369 ms,0.364,35.4,2.38,795,0.354,83.0,0.333,3.0,39.8
2022-04-19 15:21:00,311 ms,0.364,35.4,2.31,795,0.354,69.0,1.33,3.0,39.8
2022-04-19 15:21:02,300 ms,0.364,35.4,2.45,795,0.354,69.0,0.667,3.0,39.8
2022-04-19 15:21:04,352 ms,0.364,35.4,2.45,795,0.354,69.0,1.67,3.0,39.8
2022-04-19 15:21:06,395 ms,0.364,35.4,2.52,795,0.354,69.0,0.333,3.0,39.8
2022-04-19 15:21:08,508 ms,0.364,35.4,2.72,795,0.354,69.0,2.0,3.0,39.8
2022-04-19 15:21:10,569 ms,0.364,35.4,2.79,795,0.354,69.0,1.33,3.0,39.8
2022-04-19 15:21:12,554 ms,0.364,35.4,2.79,795,0.354,69.0,0.997,3.0,39.8
2022-04-19 15:21:14,465 ms,0.364,35.4,2.69,795,0.354,69.0,0.333,3.0,39.8
2022-04-19 15:21:15,465 ms,0.44,36.6,2.69,815,0.366,82.0,0.333,3.0,40.8
2022-04-19 15:21:16,459 ms,0.44,36.6,2.76,815,0.366,82.0,1.0,3.0,40.8
2022-04-19 15:21:18,381 ms,0.44,36.6,2.69,815,0.366,82.0,1.0,3.0,40.8
2022-04-19 15:21:20,368 ms,0.44,36.6,2.62,815,0.366,82.0,1.0,3.0,40.8
2022-04-19 15:21:22,418 ms,0.44,36.6,2.66,815,0.366,82.0,0.333,3.0,40.8
2022-04-19 15:21:24,337 ms,0.44,36.6,2.48,815,0.366,82.0,0.0,3.0,40.8
2022-04-19 15:21:26,428 ms,0.44,36.6,2.62,815,0.366,82.0,0.667,3.0,40.8
2022-04-19 15:21:28,628 ms,0.44,36.6,2.86,815,0.366,82.0,1.67,3.0,40.8
2022-04-19 15:21:30,727 ms,0.44,36.6,2.83,815,0.366,85.0,1.67,3.0,40.8
2022-04-19 15:21:32,718 ms,0.44,36.6,2.93,815,0.366,85.0,1.33,3.0,40.8
2022-04-19 15:21:34,734 ms,0.44,36.6,2.66,815,0.366,85.0,0.333,3.0,40.8
2022-04-19 15:21:36,674 ms,0.44,36.6,2.69,815,0.366,85.0,0.667,3.0,40.8
2022-04-19 15:21:38,498 ms,0.44,36.6,2.62,815,0.366,85.0,1.67,3.0,40.8
2022-04-19 15:21:40,439 ms,0.44,36.6,2.55,815,0.366,85.0,1.0,3.0,40.8
2022-04-19 15:21:42,432 ms,0.44,36.6,2.59,815,0.366,85.0,1.33,3.0,40.8
2022-04-19 15:21:44,378 ms,0.44,36.6,2.62,815,0.366,85.0,1.33,3.0,40.8
2022-04-19 15:21:45,378 ms,0.527,35.2,2.62,749,0.352,78.0,1.33,3.0,37.5
2022-04-19 15:21:46,403 ms,0.527,35.2,2.62,749,0.352,78.0,0.667,3.0,37.5
