Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-19 13:59:50,274 ms,0.22,28.0,5.41,1065,0.559,158.0,4.0,2.0,26.6
2022-04-19 13:59:52,288 ms,0.22,28.0,5.45,1065,0.559,158.0,2.0,2.0,26.6
2022-04-19 13:59:54,281 ms,0.22,28.0,5.66,1065,0.559,158.0,3.0,2.0,26.6
2022-04-19 13:59:56,286 ms,0.22,28.0,5.52,1065,0.559,158.0,2.0,2.0,26.6
2022-04-19 13:59:58,290 ms,0.22,28.0,5.59,1065,0.559,158.0,2.5,2.0,26.6
2022-04-19 14:00:00,289 ms,0.22,28.0,5.34,1065,0.559,160.0,2.48,2.0,26.6
2022-04-19 14:00:02,323 ms,0.22,28.0,5.41,1065,0.559,160.0,2.5,2.0,26.6
2022-04-19 14:00:04,359 ms,0.22,28.0,5.59,1065,0.559,160.0,2.5,2.0,26.6
2022-04-19 14:00:06,348 ms,0.22,28.0,5.28,1065,0.559,160.0,3.0,2.0,26.6
2022-04-19 14:00:08,350 ms,0.22,28.0,5.31,1065,0.559,160.0,2.0,2.0,26.6
2022-04-19 14:00:10,353 ms,0.22,28.0,5.24,1065,0.559,160.0,2.0,2.0,26.6
2022-04-19 14:00:12,293 ms,0.22,28.0,5.21,1065,0.559,160.0,2.0,2.0,26.6
2022-04-19 14:00:14,275 ms,0.22,28.0,5.24,1065,0.559,160.0,3.5,2.0,26.6
2022-04-19 14:00:15,275 ms,0.533,56.9,5.24,1060,1.14,160.0,3.5,2.0,26.5
2022-04-19 14:00:16,273 ms,0.533,56.9,5.34,1060,1.14,160.0,4.0,2.0,26.5
2022-04-19 14:00:18,283 ms,0.533,56.9,5.31,1060,1.14,160.0,2.0,2.0,26.5
2022-04-19 14:00:20,281 ms,0.533,56.9,5.31,1060,1.14,160.0,4.5,2.0,26.5
2022-04-19 14:00:22,288 ms,0.533,56.9,5.31,1060,1.14,160.0,4.49,2.0,26.5
