Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-18 15:05:45,256 ms,0.181,19.4,0.931,716,0.387,28.0,0.0,1.0,17.9
2022-04-18 15:05:46,259 ms,0.181,19.4,0.931,716,0.387,28.0,1.0,1.0,17.9
2022-04-18 15:05:47,259 ms,0.181,19.4,1.0,716,0.387,28.0,2.0,1.0,17.9
2022-04-18 15:05:48,251 ms,0.181,19.4,1.07,716,0.387,28.0,3.0,1.0,17.9
2022-04-18 15:05:49,251 ms,0.181,19.4,1.14,716,0.387,28.0,2.0,1.0,17.9
2022-04-18 15:05:50,250 ms,0.181,19.4,1.21,716,0.387,28.0,2.0,1.0,17.9
2022-04-18 15:05:51,250 ms,0.181,19.4,1.14,716,0.387,28.0,1.0,1.0,17.9
2022-04-18 15:05:52,244 ms,0.181,19.4,1.07,716,0.387,28.0,0.0,1.0,17.9
2022-04-18 15:05:53,244 ms,0.181,19.4,1.1,716,0.387,28.0,1.0,1.0,17.9
2022-04-18 15:05:54,245 ms,0.181,19.4,1.07,716,0.387,28.0,0.0,1.0,17.9
2022-04-18 15:05:55,245 ms,0.181,19.4,1.07,716,0.387,28.0,0.0,1.0,17.9
2022-04-18 15:05:56,247 ms,0.181,19.4,1.14,716,0.387,28.0,2.0,1.0,17.9
2022-04-18 15:05:57,247 ms,0.181,19.4,1.14,716,0.387,28.0,1.0,1.0,17.9
2022-04-18 15:05:58,237 ms,0.181,19.4,1.1,716,0.387,28.0,0.0,1.0,17.9
2022-04-18 15:05:59,237 ms,0.181,19.4,1.14,716,0.387,28.0,2.0,1.0,17.9
2022-04-18 15:06:00,241 ms,0.181,19.4,1.24,716,0.387,37.0,3.0,1.0,17.9
2022-04-18 15:06:01,241 ms,0.181,19.4,1.28,716,0.387,37.0,2.0,1.0,17.9
2022-04-18 15:06:02,238 ms,0.181,19.4,1.24,716,0.387,37.0,3.0,1.0,17.9
2022-04-18 15:06:03,238 ms,0.181,19.4,1.17,716,0.387,37.0,0.0,1.0,17.9
2022-04-18 15:06:04,238 ms,0.181,19.4,1.14,716,0.387,37.0,0.0,1.0,17.9
2022-04-18 15:06:05,238 ms,0.181,19.4,1.14,716,0.387,37.0,0.0,1.0,17.9
2022-04-18 15:06:06,241 ms,0.181,19.4,1.17,716,0.387,37.0,1.0,1.0,17.9
2022-04-18 15:06:07,241 ms,0.181,19.4,1.17,716,0.387,37.0,1.0,1.0,17.9
2022-04-18 15:06:08,243 ms,0.181,19.4,1.17,716,0.387,37.0,1.0,1.0,17.9
2022-04-18 15:06:09,243 ms,0.181,19.4,1.17,716,0.387,37.0,0.0,1.0,17.9
2022-04-18 15:06:10,246 ms,0.181,19.4,1.14,716,0.387,37.0,2.0,1.0,17.9
2022-04-18 15:06:11,246 ms,0.181,19.4,1.14,716,0.387,37.0,1.0,1.0,17.9
2022-04-18 15:06:12,252 ms,0.181,19.4,1.14,716,0.387,37.0,2.0,1.0,17.9
2022-04-18 15:06:13,252 ms,0.181,19.4,1.21,716,0.387,37.0,2.0,1.0,17.9
2022-04-18 15:06:14,251 ms,0.181,19.4,1.21,716,0.387,37.0,0.0,1.0,17.9
2022-04-18 15:06:15,251 ms,0.21,23.4,1.21,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:16,240 ms,0.21,23.4,1.21,790,0.469,36.0,2.0,1.0,19.8
2022-04-18 15:06:17,240 ms,0.21,23.4,1.1,790,0.469,36.0,0.0,1.0,19.8
2022-04-18 15:06:18,239 ms,0.21,23.4,1.07,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:19,239 ms,0.21,23.4,1.03,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:20,248 ms,0.21,23.4,1.03,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:21,248 ms,0.21,23.4,1.14,790,0.469,36.0,3.0,1.0,19.8
2022-04-18 15:06:22,265 ms,0.21,23.4,1.14,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:23,265 ms,0.21,23.4,1.14,790,0.469,36.0,0.0,1.0,19.8
2022-04-18 15:06:24,265 ms,0.21,23.4,1.21,790,0.469,36.0,2.0,1.0,19.8
2022-04-18 15:06:25,265 ms,0.21,23.4,1.14,790,0.469,36.0,0.0,1.0,19.8
2022-04-18 15:06:26,274 ms,0.21,23.4,1.14,790,0.469,36.0,1.0,1.0,19.8
2022-04-18 15:06:27,274 ms,0.21,23.4,1.21,790,0.469,36.0,2.0,1.0,19.8
