Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-18 14:29:04,299 ms,0.521,47.3,2.9,1487,0.946,89.0,2.0,1.0,37.2
2022-04-18 14:29:06,301 ms,0.521,47.3,2.79,1487,0.946,89.0,4.0,1.0,37.2
2022-04-18 14:29:08,294 ms,0.521,47.3,2.9,1487,0.946,89.0,3.0,1.0,37.2
2022-04-18 14:29:10,321 ms,0.521,47.3,2.76,1487,0.946,89.0,3.0,1.0,37.2
2022-04-18 14:29:12,406 ms,0.521,47.3,2.97,1487,0.946,89.0,4.0,1.0,37.2
2022-04-18 14:29:14,419 ms,0.521,47.3,3.0,1487,0.946,89.0,4.0,1.0,37.2
2022-04-18 14:29:15,419 ms,0.708,49.5,3.0,1288,0.99,89.0,4.0,1.0,32.2
2022-04-18 14:29:16,424 ms,0.708,49.5,3.0,1288,0.99,89.0,4.0,1.0,32.2
2022-04-18 14:29:18,449 ms,0.708,49.5,3.1,1288,0.99,89.0,3.0,1.0,32.2
2022-04-18 14:29:20,382 ms,0.708,49.5,2.93,1288,0.99,89.0,3.0,1.0,32.2
2022-04-18 14:29:22,368 ms,0.708,49.5,3.0,1288,0.99,89.0,5.0,1.0,32.2
2022-04-18 14:29:24,438 ms,0.708,49.5,3.24,1288,0.99,89.0,6.0,1.0,32.2
2022-04-18 14:29:26,421 ms,0.708,49.5,3.21,1288,0.99,89.0,2.0,1.0,32.2
2022-04-18 14:29:28,393 ms,0.708,49.5,3.28,1288,0.99,89.0,5.0,1.0,32.2
2022-04-18 14:29:30,388 ms,0.708,49.5,3.21,1288,0.99,96.0,3.0,1.0,32.2
2022-04-18 14:29:32,370 ms,0.708,49.5,3.24,1288,0.99,96.0,1.0,1.0,32.2
2022-04-18 14:29:34,320 ms,0.708,49.5,3.34,1288,0.99,96.0,6.0,1.0,32.2
2022-04-18 14:29:36,540 ms,0.708,49.5,3.45,1288,0.99,96.0,3.0,1.0,32.2
2022-04-18 14:29:38,571 ms,0.708,49.5,3.62,1288,0.99,96.0,5.0,1.0,32.2
2022-04-18 14:29:40,601 ms,0.708,49.5,3.66,1288,0.99,96.0,5.0,1.0,32.2
2022-04-18 14:29:42,603 ms,0.708,49.5,3.52,1288,0.99,96.0,3.0,1.0,32.2
2022-04-18 14:29:44,416 ms,0.708,49.5,3.59,1288,0.99,96.0,4.0,1.0,32.2
2022-04-18 14:29:45,416 ms,0.68,54.0,3.59,1222,1.08,108.0,4.0,1.0,30.6
2022-04-18 14:29:46,367 ms,0.68,54.0,3.66,1222,1.08,108.0,5.0,1.0,30.6
2022-04-18 14:29:48,335 ms,0.68,54.0,3.79,1222,1.08,108.0,4.0,1.0,30.6
2022-04-18 14:29:50,303 ms,0.68,54.0,3.76,1222,1.08,108.0,3.0,1.0,30.6
2022-04-18 14:29:52,325 ms,0.68,54.0,3.76,1222,1.08,108.0,4.0,1.0,30.6
2022-04-18 14:29:54,325 ms,0.68,54.0,3.59,1222,1.08,108.0,2.0,1.0,30.6
2022-04-18 14:29:56,422 ms,0.68,54.0,3.76,1222,1.08,108.0,4.0,1.0,30.6
2022-04-18 14:29:58,446 ms,0.68,54.0,3.76,1222,1.08,108.0,4.0,1.0,30.6
2022-04-18 14:30:00,452 ms,0.68,54.0,3.79,1222,1.08,114.0,2.0,1.0,30.6
2022-04-18 14:30:02,461 ms,0.68,54.0,3.76,1222,1.08,114.0,1.0,1.0,30.6
2022-04-18 14:30:04,364 ms,0.68,54.0,3.55,1222,1.08,114.0,4.0,1.0,30.6
2022-04-18 14:30:06,319 ms,0.68,54.0,3.62,1222,1.08,114.0,4.99,1.0,30.6
2022-04-18 14:30:08,318 ms,0.68,54.0,3.59,1222,1.08,114.0,3.0,1.0,30.6
2022-04-18 14:30:10,481 ms,0.68,54.0,3.83,1222,1.08,114.0,6.0,1.0,30.6
2022-04-18 14:30:12,485 ms,0.68,54.0,3.9,1222,1.08,114.0,3.0,1.0,30.6
2022-04-18 14:30:14,483 ms,0.68,54.0,3.93,1222,1.08,114.0,5.0,1.0,30.6
2022-04-18 14:30:15,483 ms,1.08,81.5,3.93,1239,1.63,114.0,5.0,1.0,31.0
2022-04-18 14:30:16,499 ms,1.08,81.5,3.76,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:18,384 ms,1.08,81.5,3.76,1239,1.63,114.0,5.0,1.0,31.0
2022-04-18 14:30:20,383 ms,1.08,81.5,3.69,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:22,403 ms,1.08,81.5,3.76,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:24,494 ms,1.08,81.5,3.83,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:26,522 ms,1.08,81.5,3.79,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:28,538 ms,1.08,81.5,3.76,1239,1.63,114.0,3.0,1.0,31.0
2022-04-18 14:30:30,524 ms,1.08,81.5,3.86,1239,1.63,116.0,3.0,1.0,31.0
2022-04-18 14:30:32,422 ms,1.08,81.5,3.97,1239,1.63,116.0,2.0,1.0,31.0
2022-04-18 14:30:34,399 ms,1.08,81.5,4.0,1239,1.63,116.0,6.0,1.0,31.0
2022-04-18 14:30:36,311 ms,1.08,81.5,4.0,1239,1.63,116.0,7.0,1.0,31.0
2022-04-18 14:30:38,333 ms,1.08,81.5,3.9,1239,1.63,116.0,4.0,1.0,31.0
2022-04-18 14:30:40,384 ms,1.08,81.5,3.76,1239,1.63,116.0,3.0,1.0,31.0
2022-04-18 14:30:42,453 ms,1.08,81.5,3.76,1239,1.63,116.0,4.0,1.0,31.0
2022-04-18 14:30:44,485 ms,1.08,81.5,3.69,1239,1.63,116.0,2.0,1.0,31.0
2022-04-18 14:30:45,485 ms,0.845,48.2,3.69,1233,0.964,111.0,2.0,1.0,30.8
2022-04-18 14:30:46,463 ms,0.845,48.2,3.79,1233,0.964,111.0,5.0,1.0,30.8
2022-04-18 14:30:48,433 ms,0.845,48.2,3.59,1233,0.964,111.0,2.0,1.0,30.8
2022-04-18 14:30:50,378 ms,0.845,48.2,3.66,1233,0.964,111.0,4.0,1.0,30.8
2022-04-18 14:30:52,319 ms,0.845,48.2,3.48,1233,0.964,111.0,2.0,1.0,30.8
2022-04-18 14:30:54,311 ms,0.845,48.2,3.55,1233,0.964,111.0,4.0,1.0,30.8
2022-04-18 14:30:56,314 ms,0.845,48.2,3.45,1233,0.964,111.0,1.0,1.0,30.8
2022-04-18 14:30:58,317 ms,0.845,48.2,3.38,1233,0.964,111.0,2.0,1.0,30.8
2022-04-18 14:31:00,340 ms,0.845,48.2,3.34,1233,0.964,100.0,3.0,1.0,30.8
2022-04-18 14:31:02,334 ms,0.845,48.2,3.34,1233,0.964,100.0,4.0,1.0,30.8
2022-04-18 14:31:04,347 ms,0.845,48.2,3.31,1233,0.964,100.0,3.0,1.0,30.8
2022-04-18 14:31:06,335 ms,0.845,48.2,3.21,1233,0.964,100.0,4.0,1.0,30.8
2022-04-18 14:31:08,394 ms,0.845,48.2,3.31,1233,0.964,100.0,7.0,1.0,30.8
2022-04-18 14:31:10,380 ms,0.845,48.2,3.28,1233,0.964,100.0,3.0,1.0,30.8
2022-04-18 14:31:12,362 ms,0.845,48.2,3.24,1233,0.964,100.0,4.0,1.0,30.8
