Time,Response,Throttling,Cpu%,Requests/30,Memory in MB,Cores,Total_requests/interval,Requests/2s,No of replicas,Memory%
2022-04-19 17:15:34,344 ms,0.284,39.3,6.83,1336,0.786,200.0,4.0,3.0,33.4
2022-04-19 17:15:36,340 ms,0.284,39.3,7.0,1336,0.786,200.0,2.0,3.0,33.4
2022-04-19 17:15:38,353 ms,0.284,39.3,6.97,1336,0.786,200.0,2.33,3.0,33.4
2022-04-19 17:15:40,411 ms,0.284,39.3,7.41,1336,0.786,200.0,4.0,3.0,33.4
2022-04-19 17:15:42,408 ms,0.284,39.3,7.83,1336,0.786,200.0,3.33,3.0,33.4
2022-04-19 17:15:44,382 ms,0.284,39.3,7.83,1336,0.786,200.0,3.0,3.0,33.4
2022-04-19 17:15:45,382 ms,0.381,34.3,7.83,1182,0.685,235.0,3.0,3.0,29.6
2022-04-19 17:15:46,376 ms,0.381,34.3,7.97,1182,0.685,235.0,3.0,3.0,29.6
2022-04-19 17:15:48,390 ms,0.381,34.3,7.93,1182,0.685,235.0,2.33,3.0,29.6
2022-04-19 17:15:50,324 ms,0.381,34.3,8.0,1182,0.685,235.0,2.0,3.0,29.6
2022-04-19 17:15:52,319 ms,0.381,34.3,7.66,1182,0.685,235.0,0.667,3.0,29.6
2022-04-19 17:15:54,307 ms,0.381,34.3,7.45,1182,0.685,235.0,1.0,3.0,29.6
2022-04-19 17:15:56,292 ms,0.381,34.3,7.41,1182,0.685,235.0,2.0,3.0,29.6
2022-04-19 17:15:58,269 ms,0.381,34.3,7.28,1182,0.685,235.0,1.34,3.0,29.6
2022-04-19 17:16:00,281 ms,0.381,34.3,7.55,1182,0.685,227.0,2.0,3.0,29.6
2022-04-19 17:16:02,284 ms,0.381,34.3,7.55,1182,0.685,227.0,3.0,3.0,29.6
2022-04-19 17:16:04,304 ms,0.381,34.3,7.52,1182,0.685,227.0,3.67,3.0,29.6
2022-04-19 17:16:06,319 ms,0.381,34.3,7.59,1182,0.685,227.0,2.33,3.0,29.6
2022-04-19 17:16:08,330 ms,0.381,34.3,7.62,1182,0.685,227.0,2.0,3.0,29.6
2022-04-19 17:16:10,341 ms,0.381,34.3,7.34,1182,0.685,227.0,3.34,3.0,29.6
2022-04-19 17:16:12,360 ms,0.381,34.3,7.52,1182,0.685,227.0,4.34,3.0,29.6
