"Time","60s"
2022-04-18 13:52:30,0.330
2022-04-18 13:52:45,0.331
2022-04-18 13:53:00,0.331
2022-04-18 13:53:15,0.315
2022-04-18 13:53:30,0.315
2022-04-18 13:53:45,0.259
2022-04-18 13:54:00,0.259
2022-04-18 13:54:15,0.631
2022-04-18 13:54:30,0.631
2022-04-18 13:54:45,0.352
2022-04-18 13:55:00,0.352
2022-04-18 13:55:15,0.513
2022-04-18 13:55:30,0.513
2022-04-18 13:55:45,0.443
2022-04-18 13:56:00,0.443
2022-04-18 13:56:15,0.295
2022-04-18 13:56:30,0.295
2022-04-18 13:56:45,0.357
2022-04-18 13:57:00,0.357
2022-04-18 13:57:15,0.464
2022-04-18 13:57:30,0.464
2022-04-18 13:57:45,0.204
2022-04-18 13:58:00,0.204
2022-04-18 13:58:15,0.225
2022-04-18 13:58:30,0.225
2022-04-18 13:58:45,0.741
2022-04-18 13:59:00,0.741
2022-04-18 13:59:15,0.530
2022-04-18 13:59:30,0.530
2022-04-18 13:59:45,0.445
2022-04-18 14:00:00,0.445
2022-04-18 14:00:15,0.200
2022-04-18 14:00:30,0.200
2022-04-18 14:00:45,0.230
2022-04-18 14:01:00,0.230
2022-04-18 14:01:15,0.512
2022-04-18 14:01:30,0.512
2022-04-18 14:01:45,0.405
2022-04-18 14:02:00,0.405
2022-04-18 14:02:15,0.400
2022-04-18 14:02:30,0.400
2022-04-18 14:02:45,0.187
2022-04-18 14:03:00,0.187
2022-04-18 14:03:15,0.544
2022-04-18 14:03:30,0.544
2022-04-18 14:03:45,0.156
2022-04-18 14:04:00,0.156
2022-04-18 14:04:15,0.567
2022-04-18 14:04:30,0.567
2022-04-18 14:04:45,0.819
2022-04-18 14:05:00,0.819
2022-04-18 14:05:15,0.721
2022-04-18 14:05:30,0.721
2022-04-18 14:05:45,0.601
2022-04-18 14:06:00,0.601
2022-04-18 14:06:15,0.273
2022-04-18 14:06:30,0.273
2022-04-18 14:06:45,0.765
2022-04-18 14:07:00,0.765
2022-04-18 14:07:15,0.362
2022-04-18 14:07:30,0.362
2022-04-18 14:07:45,0.273
2022-04-18 14:08:00,0.273
2022-04-18 14:08:15,0.573
2022-04-18 14:08:30,0.573
2022-04-18 14:08:45,0.340
2022-04-18 14:09:00,0.340
2022-04-18 14:09:15,0.415
2022-04-18 14:09:30,0.415
2022-04-18 14:09:45,0.280
2022-04-18 14:10:00,0.280
2022-04-18 14:10:15,0.428
2022-04-18 14:10:30,0.428
2022-04-18 14:10:45,0.627
2022-04-18 14:11:00,0.627
2022-04-18 14:11:15,0.837
2022-04-18 14:11:30,0.837
2022-04-18 14:11:45,0.587
2022-04-18 14:12:00,0.587
2022-04-18 14:12:15,0.279
2022-04-18 14:12:30,0.279
2022-04-18 14:12:45,0.726
2022-04-18 14:13:00,0.726
2022-04-18 14:13:15,0.440
2022-04-18 14:13:30,0.440
2022-04-18 14:13:45,0.603
2022-04-18 14:14:00,0.603
2022-04-18 14:14:15,1.14
2022-04-18 14:14:30,1.14
2022-04-18 14:14:45,0.683
2022-04-18 14:15:00,0.683
2022-04-18 14:15:15,0.290
2022-04-18 14:15:30,0.290
2022-04-18 14:15:45,0.0945
2022-04-18 14:16:00,0.0945
2022-04-18 14:16:15,0.401
2022-04-18 14:16:30,0.401
2022-04-18 14:16:45,0.965
2022-04-18 14:17:00,0.965
2022-04-18 14:17:15,0.332
2022-04-18 14:17:30,0.332
2022-04-18 14:17:45,0.553
2022-04-18 14:18:00,0.553
2022-04-18 14:18:15,0.545
2022-04-18 14:18:30,0.545
2022-04-18 14:18:45,0.417
2022-04-18 14:19:00,0.417
2022-04-18 14:19:15,0.433
2022-04-18 14:19:30,0.433
2022-04-18 14:19:45,0.336
2022-04-18 14:20:00,0.336
2022-04-18 14:20:15,0.278
2022-04-18 14:20:30,0.278
2022-04-18 14:20:45,0.165
2022-04-18 14:21:00,0.165
2022-04-18 14:21:15,0.802
2022-04-18 14:21:30,0.802

