"Time","Value"
2022-04-18 13:52:30,31.2
2022-04-18 13:52:45,36.1
2022-04-18 13:53:00,36.1
2022-04-18 13:53:15,31.0
2022-04-18 13:53:30,31.0
2022-04-18 13:53:45,30.2
2022-04-18 13:54:00,30.2
2022-04-18 13:54:15,41.8
2022-04-18 13:54:30,41.8
2022-04-18 13:54:45,37.4
2022-04-18 13:55:00,37.4
2022-04-18 13:55:15,42.3
2022-04-18 13:55:30,42.3
2022-04-18 13:55:45,33.5
2022-04-18 13:56:00,33.5
2022-04-18 13:56:15,30.0
2022-04-18 13:56:30,30.0
2022-04-18 13:56:45,37.4
2022-04-18 13:57:00,37.4
2022-04-18 13:57:15,44.5
2022-04-18 13:57:30,44.5
2022-04-18 13:57:45,19.7
2022-04-18 13:58:00,19.7
2022-04-18 13:58:15,27.1
2022-04-18 13:58:30,27.1
2022-04-18 13:58:45,36.7
2022-04-18 13:59:00,36.7
2022-04-18 13:59:15,44.9
2022-04-18 13:59:30,44.9
2022-04-18 13:59:45,41.5
2022-04-18 14:00:00,41.5
2022-04-18 14:00:15,19.6
2022-04-18 14:00:30,19.6
2022-04-18 14:00:45,25.5
2022-04-18 14:01:00,25.5
2022-04-18 14:01:15,45.4
2022-04-18 14:01:30,45.4
2022-04-18 14:01:45,33.4
2022-04-18 14:02:00,33.4
2022-04-18 14:02:15,35.8
2022-04-18 14:02:30,35.8
2022-04-18 14:02:45,30.4
2022-04-18 14:03:00,30.4
2022-04-18 14:03:15,42.1
2022-04-18 14:03:30,42.1
2022-04-18 14:03:45,37.0
2022-04-18 14:04:00,37.0
2022-04-18 14:04:15,35.6
2022-04-18 14:04:30,35.6
2022-04-18 14:04:45,60.6
2022-04-18 14:05:00,60.6
2022-04-18 14:05:15,31.6
2022-04-18 14:05:30,31.6
2022-04-18 14:05:45,47.8
2022-04-18 14:06:00,47.8
2022-04-18 14:06:15,45.8
2022-04-18 14:06:30,45.8
2022-04-18 14:06:45,34.5
2022-04-18 14:07:00,34.5
2022-04-18 14:07:15,39.9
2022-04-18 14:07:30,39.9
2022-04-18 14:07:45,33.3
2022-04-18 14:08:00,33.3
2022-04-18 14:08:15,48.3
2022-04-18 14:08:30,48.3
2022-04-18 14:08:45,35.7
2022-04-18 14:09:00,35.7
2022-04-18 14:09:15,38.4
2022-04-18 14:09:30,38.4
2022-04-18 14:09:45,24.7
2022-04-18 14:10:00,24.7
2022-04-18 14:10:15,46.2
2022-04-18 14:10:30,46.2
2022-04-18 14:10:45,42.8
2022-04-18 14:11:00,42.8
2022-04-18 14:11:15,61.0
2022-04-18 14:11:30,61.0
2022-04-18 14:11:45,23.0
2022-04-18 14:12:00,23.0
2022-04-18 14:12:15,40.1
2022-04-18 14:12:30,40.1
2022-04-18 14:12:45,40.4
2022-04-18 14:13:00,40.4
2022-04-18 14:13:15,39.9
2022-04-18 14:13:30,39.9
2022-04-18 14:13:45,44.3
2022-04-18 14:14:00,44.3
2022-04-18 14:14:15,49.5
2022-04-18 14:14:30,49.5
2022-04-18 14:14:45,52.9
2022-04-18 14:15:00,52.9
2022-04-18 14:15:15,38.5
2022-04-18 14:15:30,38.5
2022-04-18 14:15:45,14.7
2022-04-18 14:16:00,14.7
2022-04-18 14:16:15,48.2
2022-04-18 14:16:30,48.2
2022-04-18 14:16:45,45.5
2022-04-18 14:17:00,45.5
2022-04-18 14:17:15,40.6
2022-04-18 14:17:30,40.6
2022-04-18 14:17:45,47.1
2022-04-18 14:18:00,47.1
2022-04-18 14:18:15,55.0
2022-04-18 14:18:30,55.0
2022-04-18 14:18:45,29.4
2022-04-18 14:19:00,29.4
2022-04-18 14:19:15,38.0
2022-04-18 14:19:30,38.0
2022-04-18 14:19:45,32.3
2022-04-18 14:20:00,32.3
2022-04-18 14:20:15,32.3
2022-04-18 14:20:30,32.3
2022-04-18 14:20:45,26.4
2022-04-18 14:21:00,26.4
2022-04-18 14:21:15,54.5
2022-04-18 14:21:30,54.5

