"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-18 13:58:22,461 ms
2022-04-18 13:58:24,440 ms
2022-04-18 13:58:26,350 ms
2022-04-18 13:58:28,357 ms
2022-04-18 13:58:30,507 ms
2022-04-18 13:58:32,469 ms
2022-04-18 13:58:34,461 ms
2022-04-18 13:58:36,457 ms
2022-04-18 13:58:38,457 ms
2022-04-18 13:58:40,348 ms
2022-04-18 13:58:42,511 ms
2022-04-18 13:58:44,496 ms
2022-04-18 13:58:46,580 ms
2022-04-18 13:58:48,619 ms
2022-04-18 13:58:50,650 ms
2022-04-18 13:58:52,649 ms
2022-04-18 13:58:54,613 ms
2022-04-18 13:58:56,546 ms
2022-04-18 13:58:58,476 ms
2022-04-18 13:59:00,387 ms
2022-04-18 13:59:02,370 ms
2022-04-18 13:59:04,399 ms
2022-04-18 13:59:06,375 ms
2022-04-18 13:59:08,355 ms
2022-04-18 13:59:10,362 ms
2022-04-18 13:59:12,376 ms
2022-04-18 13:59:14,330 ms
2022-04-18 13:59:16,442 ms
2022-04-18 13:59:18,461 ms
2022-04-18 13:59:20,520 ms
2022-04-18 13:59:22,610 ms
2022-04-18 13:59:24,520 ms
2022-04-18 13:59:26,446 ms
2022-04-18 13:59:28,427 ms
2022-04-18 13:59:30,304 ms
2022-04-18 13:59:32,303 ms
2022-04-18 13:59:34,338 ms
2022-04-18 13:59:36,366 ms
2022-04-18 13:59:38,343 ms
2022-04-18 13:59:40,389 ms
2022-04-18 13:59:42,389 ms
2022-04-18 13:59:44,365 ms
2022-04-18 13:59:46,365 ms
2022-04-18 13:59:48,388 ms
2022-04-18 13:59:50,384 ms
2022-04-18 13:59:52,354 ms
2022-04-18 13:59:54,355 ms
2022-04-18 13:59:56,339 ms
2022-04-18 13:59:58,339 ms
2022-04-18 14:00:00,279 ms
2022-04-18 14:00:02,285 ms
2022-04-18 14:00:04,286 ms
2022-04-18 14:00:06,285 ms
2022-04-18 14:00:08,287 ms
2022-04-18 14:00:10,306 ms
2022-04-18 14:00:12,377 ms
2022-04-18 14:00:14,391 ms
2022-04-18 14:00:16,355 ms
2022-04-18 14:00:18,354 ms
2022-04-18 14:00:20,338 ms
2022-04-18 14:00:22,268 ms
2022-04-18 14:00:24,274 ms
2022-04-18 14:00:26,280 ms
2022-04-18 14:00:28,376 ms
2022-04-18 14:00:30,391 ms
2022-04-18 14:00:32,432 ms
2022-04-18 14:00:34,376 ms
2022-04-18 14:00:36,312 ms
2022-04-18 14:00:38,225 ms
2022-04-18 14:00:40,232 ms
2022-04-18 14:00:42,235 ms
2022-04-18 14:00:44,235 ms
2022-04-18 14:00:46,425 ms
2022-04-18 14:00:48,464 ms
2022-04-18 14:00:50,518 ms
2022-04-18 14:00:52,518 ms
2022-04-18 14:00:54,546 ms
2022-04-18 14:00:56,401 ms
2022-04-18 14:00:58,426 ms
2022-04-18 14:01:00,413 ms
2022-04-18 14:01:02,419 ms
2022-04-18 14:01:04,443 ms
2022-04-18 14:01:06,415 ms
