"Time","Total"
2022-04-18 13:52:30,1
2022-04-18 13:52:45,1
2022-04-18 13:53:00,1
2022-04-18 13:53:15,1
2022-04-18 13:53:30,1
2022-04-18 13:53:45,1
2022-04-18 13:54:00,1
2022-04-18 13:54:15,1
2022-04-18 13:54:30,1
2022-04-18 13:54:45,1
2022-04-18 13:55:00,1
2022-04-18 13:55:15,1
2022-04-18 13:55:30,1
2022-04-18 13:55:45,1
2022-04-18 13:56:00,1
2022-04-18 13:56:15,1
2022-04-18 13:56:30,1
2022-04-18 13:56:45,1
2022-04-18 13:57:00,1
2022-04-18 13:57:15,1
2022-04-18 13:57:30,1
2022-04-18 13:57:45,1
2022-04-18 13:58:00,1
2022-04-18 13:58:15,1
2022-04-18 13:58:30,1
2022-04-18 13:58:45,1
2022-04-18 13:59:00,1
2022-04-18 13:59:15,1
2022-04-18 13:59:30,1
2022-04-18 13:59:45,1
2022-04-18 14:00:00,1
2022-04-18 14:00:15,1
2022-04-18 14:00:30,1
2022-04-18 14:00:45,1
2022-04-18 14:01:00,1
2022-04-18 14:01:15,1
2022-04-18 14:01:30,1
2022-04-18 14:01:45,1
2022-04-18 14:02:00,1
2022-04-18 14:02:15,1
2022-04-18 14:02:30,1
2022-04-18 14:02:45,1
2022-04-18 14:03:00,1
2022-04-18 14:03:15,1
2022-04-18 14:03:30,1
2022-04-18 14:03:45,1
2022-04-18 14:04:00,1
2022-04-18 14:04:15,1
2022-04-18 14:04:30,1
2022-04-18 14:04:45,1
2022-04-18 14:05:00,1
2022-04-18 14:05:15,1
2022-04-18 14:05:30,1
2022-04-18 14:05:45,1
2022-04-18 14:06:00,1
2022-04-18 14:06:15,1
2022-04-18 14:06:30,1
2022-04-18 14:06:45,1
2022-04-18 14:07:00,1
2022-04-18 14:07:15,1
2022-04-18 14:07:30,1
2022-04-18 14:07:45,1
2022-04-18 14:08:00,1
2022-04-18 14:08:15,1
2022-04-18 14:08:30,1
2022-04-18 14:08:45,1
2022-04-18 14:09:00,1
2022-04-18 14:09:15,1
2022-04-18 14:09:30,1
2022-04-18 14:09:45,1
2022-04-18 14:10:00,1
2022-04-18 14:10:15,1
2022-04-18 14:10:30,1
2022-04-18 14:10:45,1
2022-04-18 14:11:00,1
2022-04-18 14:11:15,1
2022-04-18 14:11:30,1
2022-04-18 14:11:45,1
2022-04-18 14:12:00,1
2022-04-18 14:12:15,1
2022-04-18 14:12:30,1
2022-04-18 14:12:45,1
2022-04-18 14:13:00,1
2022-04-18 14:13:15,1
2022-04-18 14:13:30,1
2022-04-18 14:13:45,1
2022-04-18 14:14:00,1
2022-04-18 14:14:15,1
2022-04-18 14:14:30,1
2022-04-18 14:14:45,1
2022-04-18 14:15:00,1
2022-04-18 14:15:15,1
2022-04-18 14:15:30,1
2022-04-18 14:15:45,1
2022-04-18 14:16:00,1
2022-04-18 14:16:15,1
2022-04-18 14:16:30,1
2022-04-18 14:16:45,1
2022-04-18 14:17:00,1
2022-04-18 14:17:15,1
2022-04-18 14:17:30,1
2022-04-18 14:17:45,1
2022-04-18 14:18:00,1
2022-04-18 14:18:15,1
2022-04-18 14:18:30,1
2022-04-18 14:18:45,1
2022-04-18 14:19:00,1
2022-04-18 14:19:15,1
2022-04-18 14:19:30,1
2022-04-18 14:19:45,1
2022-04-18 14:20:00,1
2022-04-18 14:20:15,1
2022-04-18 14:20:30,1
2022-04-18 14:20:45,1
2022-04-18 14:21:00,1
2022-04-18 14:21:15,1
2022-04-18 14:21:30,1

