"Time","Total requests"
2022-04-18 13:52:30,22
2022-04-18 13:52:45,18
2022-04-18 13:53:00,26
2022-04-18 13:53:15,26
2022-04-18 13:53:30,32
2022-04-18 13:53:45,37
2022-04-18 13:54:00,30
2022-04-18 13:54:15,25
2022-04-18 13:54:30,29
2022-04-18 13:54:45,33
2022-04-18 13:55:00,30
2022-04-18 13:55:15,39
2022-04-18 13:55:30,33
2022-04-18 13:55:45,20
2022-04-18 13:56:00,23
2022-04-18 13:56:15,33
2022-04-18 13:56:30,29
2022-04-18 13:56:45,29
2022-04-18 13:57:00,26
2022-04-18 13:57:15,24
2022-04-18 13:57:30,25
2022-04-18 13:57:45,26
2022-04-18 13:58:00,25
2022-04-18 13:58:15,21
2022-04-18 13:58:30,22
2022-04-18 13:58:45,27
2022-04-18 13:59:00,27
2022-04-18 13:59:15,27
2022-04-18 13:59:30,29
2022-04-18 13:59:45,18
2022-04-18 14:00:00,13
2022-04-18 14:00:15,23
2022-04-18 14:00:30,25
2022-04-18 14:00:45,17
2022-04-18 14:01:00,25
2022-04-18 14:01:15,20
2022-04-18 14:01:30,30
2022-04-18 14:01:45,34
2022-04-18 14:02:00,25
2022-04-18 14:02:15,22
2022-04-18 14:02:30,22
2022-04-18 14:02:45,27
2022-04-18 14:03:00,27
2022-04-18 14:03:15,27
2022-04-18 14:03:30,30
2022-04-18 14:03:45,27
2022-04-18 14:04:00,31
2022-04-18 14:04:15,34
2022-04-18 14:04:30,34
2022-04-18 14:04:45,37
2022-04-18 14:05:00,41
2022-04-18 14:05:15,34
2022-04-18 14:05:30,29
2022-04-18 14:05:45,34
2022-04-18 14:06:00,34
2022-04-18 14:06:15,28
2022-04-18 14:06:30,22
2022-04-18 14:06:45,18
2022-04-18 14:07:00,24
2022-04-18 14:07:15,24
2022-04-18 14:07:30,25
2022-04-18 14:07:45,29
2022-04-18 14:08:00,26
2022-04-18 14:08:15,28
2022-04-18 14:08:30,25
2022-04-18 14:08:45,29
2022-04-18 14:09:00,27
2022-04-18 14:09:15,22
2022-04-18 14:09:30,29
2022-04-18 14:09:45,34
2022-04-18 14:10:00,27
2022-04-18 14:10:15,30
2022-04-18 14:10:30,32
2022-04-18 14:10:45,30
2022-04-18 14:11:00,33
2022-04-18 14:11:15,31
2022-04-18 14:11:30,28
2022-04-18 14:11:45,21
2022-04-18 14:12:00,27
2022-04-18 14:12:15,27
2022-04-18 14:12:30,21
2022-04-18 14:12:45,24
2022-04-18 14:13:00,33
2022-04-18 14:13:15,29
2022-04-18 14:13:30,21
2022-04-18 14:13:45,33
2022-04-18 14:14:00,42
2022-04-18 14:14:15,30
2022-04-18 14:14:30,21
2022-04-18 14:14:45,27
2022-04-18 14:15:00,28
2022-04-18 14:15:15,23
2022-04-18 14:15:30,21
2022-04-18 14:15:45,28
2022-04-18 14:16:00,32
2022-04-18 14:16:15,22
2022-04-18 14:16:30,25
2022-04-18 14:16:45,28
2022-04-18 14:17:00,31
2022-04-18 14:17:15,35
2022-04-18 14:17:30,35
2022-04-18 14:17:45,35
2022-04-18 14:18:00,32
2022-04-18 14:18:15,28
2022-04-18 14:18:30,20
2022-04-18 14:18:45,18
2022-04-18 14:19:00,24
2022-04-18 14:19:15,26
2022-04-18 14:19:30,16
2022-04-18 14:19:45,12
2022-04-18 14:20:00,19
2022-04-18 14:20:15,21
2022-04-18 14:20:30,21
2022-04-18 14:20:45,22
2022-04-18 14:21:00,26
2022-04-18 14:21:15,30
2022-04-18 14:21:30,21

